txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-07-01,2026-07-01 00:00:00,0001780030-26-000006,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,4400.0,23.4,102960.0,46088.0,I,590849043.6467628,0.00017425770779711086
2026-07-01,2026-07-01 00:00:00,0001780030-26-000006,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,600.0,24.22,14532.0,46688.0,I,590849043.6467628,2.4595114701899912e-05
2026-06-30,2026-07-01 00:00:00,0001780030-26-000006,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,4255.0,24.98,106289.90000000001,41688.0,I,590849043.6467628,0.0001798934958817418
2026-06-30,2026-07-01 00:00:00,0001780030-26-000006,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,1910.0,22.95,43834.5,35795.0,I,590849043.6467628,7.418900050925074e-05
2026-06-30,2026-07-01 00:00:00,0001780030-26-000006,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,1638.0,23.88,39115.439999999995,37433.0,I,590849043.6467628,6.620208735310239e-05
2026-06-29,2026-07-01 00:00:00,0001780030-26-000006,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,831.0,23.34,19395.54,33885.0,I,590849043.6467628,3.2826557322136514e-05
2026-06-26,2026-06-26 00:00:00,0001780030-26-000005,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,4212.0,24.9,104878.79999999999,31596.0,I,590849043.6467628,0.000177505237806057
2026-06-26,2026-06-26 00:00:00,0001780030-26-000005,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,1358.0,25.55,34696.9,32954.0,I,590849043.6467628,5.87237981902251e-05
2026-06-26,2026-06-26 00:00:00,0001780030-26-000005,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,580.0,23.61,13693.8,27384.0,I,590849043.6467628,2.3176478234577278e-05
2026-06-26,2026-06-26 00:00:00,0001780030-26-000005,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,100.0,26.39,2639.0,33054.0,I,590849043.6467628,4.466453874092614e-06
2026-06-24,2026-06-26 00:00:00,0001780030-26-000005,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,3400.0,26.98,91732.0,26704.0,I,590849043.6467628,0.00015525454595614386
2026-06-24,2026-06-26 00:00:00,0001780030-26-000005,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,3000.0,25.98,77940.0,23304.0,I,590849043.6467628,0.0001319118662170437
2026-06-24,2026-06-26 00:00:00,0001780030-26-000005,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,2891.0,25.22,72911.01999999999,20304.0,I,590849043.6467628,0.00012340041975863737
2026-06-24,2026-06-26 00:00:00,0001780030-26-000005,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,100.0,27.77,2777.0,26804.0,I,590849043.6467628,4.700016069857973e-06
2026-06-23,2026-06-24 00:00:00,0001780030-26-000004,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,6836.0,24.12,164884.32,15019.0,I,590849043.6467628,0.0002790633610614348
2026-06-23,2026-06-24 00:00:00,0001780030-26-000004,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,1969.0,24.84,48909.96,16988.0,I,590849043.6467628,8.277911342315832e-05
2026-06-23,2026-06-24 00:00:00,0001780030-26-000004,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,425.0,25.91,11011.75,17413.0,I,590849043.6467628,1.863716311028395e-05
2026-06-22,2026-06-24 00:00:00,0001780030-26-000004,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,3329.0,23.28,77499.12000000001,7827.0,I,590849043.6467628,0.0001311656857759638
2026-06-22,2026-06-24 00:00:00,0002111813-26-000010,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Parikh Anand Kiran,0002111813,President and CEO,true,true,false,P,2806.0,19.76,55446.560000000005,764234.0,D,590849043.6467628,9.38421760959108e-05
2026-06-22,2026-06-24 00:00:00,0001780030-26-000004,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,1797.0,20.23,36353.31,1797.0,I,590849043.6467628,6.152723845607797e-05
2026-06-22,2026-06-24 00:00:00,0001780030-26-000004,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,1583.0,22.4,35459.2,4498.0,I,590849043.6467628,6.001397544987677e-05
2026-06-22,2026-06-24 00:00:00,0001780030-26-000004,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,1118.0,20.82,23276.760000000002,2915.0,I,590849043.6467628,3.939544330364684e-05
2026-06-22,2026-06-24 00:00:00,0001780030-26-000004,FTH,"Faeth Therapeutics, Inc.",0001829802,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,STEPHENSON BRIAN C,0001780030,Chief Financial Officer,false,true,false,P,356.0,23.95,8526.199999999999,8183.0,I,590849043.6467628,1.4430420243004335e-05
