txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-03,2026-02-05 00:00:00,0001347919-26-000001,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Rodeheaver Carissa Lynn,0001347919,,true,false,false,P,117.467,39.68,4661.09056,47297.0045,D,244395040.48630905,1.9071952322457676e-05
2026-02-03,2026-02-05 00:00:00,0001609298-26-000001,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Boal Brian R.,0001609298,,true,false,false,P,74.865,39.68,2970.6432,20838.928,D,244395040.48630905,1.2155087902311237e-05
2026-02-03,2026-02-05 00:00:00,0001354841-26-000001,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Rush Jason Barry,0001354841,President & CEO,false,true,false,P,72.576,39.68,2879.8156799999997,25246.193,D,244395040.48630905,1.1783445663502842e-05
2026-02-03,2026-02-05 00:00:00,0001347919-26-000001,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Rodeheaver Carissa Lynn,0001347919,,true,false,false,P,41.6553,39.6,1649.54988,46908.6782,D,244395040.48630905,6.749522726474506e-06
2026-02-03,2026-02-05 00:00:00,0001644053-26-000001,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Sturm Tonya K.,0001644053,EVP & CFO,false,true,false,P,2.815,39.68,111.69919999999999,10826.9988,D,244395040.48630905,4.570436444935033e-07
2025-11-03,2025-11-05 00:00:00,0001347919-25-000003,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Rodeheaver Carissa Lynn,0001347919,"Chairman, President & CEO",true,true,false,P,131.638,35.15,4627.0757,46998.6609,D,244395040.48630905,1.893277249322581e-05
2025-11-03,2025-11-05 00:00:00,0001609298-25-000003,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Boal Brian R.,0001609298,,true,false,false,P,83.896,35.15,2948.9444,20764.063,D,244395040.48630905,1.2066302139896325e-05
2025-11-03,2025-11-05 00:00:00,0001354841-25-000003,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Rush Jason Barry,0001354841,SVP & COO,false,true,false,P,81.332,35.15,2858.8197999999998,25088.77,D,244395040.48630905,1.1697536064199102e-05
2025-11-03,2025-11-06 00:00:00,0001644053-25-000003,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Sturm Tonya K.,0001644053,SVP & CFO,false,true,false,P,63.674,35.15,2238.1411,10762.7159,D,244395040.48630905,9.157882645844362e-06
2025-11-03,2025-11-05 00:00:00,0001347919-25-000003,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Rodeheaver Carissa Lynn,0001347919,"Chairman, President & CEO",true,true,false,P,46.2267,35.42,1637.3497140000002,46867.0229,D,244395040.48630905,6.699602867316467e-06
2025-08-04,2025-08-04 00:00:00,0001014100-25-000041,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Rodeheaver Carissa Lynn,0001347919,"Chairman, President & CEO",true,true,false,P,120.479,32.28,3889.06212,46675.6248,D,244395040.48630905,1.5913015715299936e-05
2025-08-04,2025-08-04 00:00:00,0001014100-25-000039,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Boal Brian R.,0001609298,,true,false,false,P,76.784,32.28,2478.5875200000005,20680.167,D,244395040.48630905,1.0141725933013974e-05
2025-08-04,2025-08-04 00:00:00,0001014100-25-000040,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Rush Jason Barry,0001354841,SVP & COO,false,true,false,P,74.438,32.28,2402.8586400000004,24918.965,D,244395040.48630905,9.831863343947881e-06
2025-08-01,2025-08-04 00:00:00,0001014100-25-000041,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Rodeheaver Carissa Lynn,0001347919,"Chairman, President & CEO",true,true,false,P,38.3355,35.92,1377.0111600000002,46555.1458,D,244395040.48630905,5.634366218152206e-06
2025-05-02,2025-05-06 00:00:00,0001014100-25-000024,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Rush Jason Barry,0001354841,SVP & COO,false,true,false,P,78.015,30.58,2385.6987,24766.133,D,244395040.48630905,9.761649398665461e-06
2025-05-02,2025-05-06 00:00:00,0001014100-25-000025,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Boal Brian R.,0001609298,,true,false,false,P,69.939,30.58,2138.7346199999997,19128.383,D,244395040.48630905,8.751137567048178e-06
2025-05-01,2025-05-05 00:00:00,0001014100-25-000023,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Rodeheaver Carissa Lynn,0001347919,"Chairman, President & CEO",true,true,false,P,126.269,30.58,3861.30602,46690.1775,D,244395040.48630905,1.579944508004985e-05
2025-05-01,2025-05-05 00:00:00,0001014100-25-000023,FUNC,FIRST UNITED CORP/MD/,0000763907,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Rodeheaver Carissa Lynn,0001347919,"Chairman, President & CEO",true,true,false,P,45.6036,29.975,1366.96791,46563.9085,D,244395040.48630905,5.593271889969376e-06
