txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-27,2026-03-31 00:00:00,0001193125-26-133610,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,48814.0,8.96,437373.44000000006,3325077.0,I,303740652.878273,0.0014399568706243667
2026-03-27,2026-03-31 00:00:00,0001193125-26-133610,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,38561.0,8.96,345506.56000000006,2626673.0,I,303740652.878273,0.001137505160161966
2026-03-27,2026-03-31 00:00:00,0001193125-26-133610,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,21227.0,8.96,190193.92,1445933.0,I,303740652.878273,0.0006261720918741228
2026-03-27,2026-03-31 00:00:00,0001193125-26-133610,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,16268.0,8.96,145761.28000000003,8094301.0,D,303740652.878273,0.00047988729404099643
2026-03-27,2026-03-31 00:00:00,0001193125-26-133610,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,4571.0,8.85,40453.35,311376.0,I,303740652.878273,0.00013318385147546274
2026-03-27,2026-03-31 00:00:00,0001193125-26-133610,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,3943.0,8.96,35329.280000000006,268593.0,I,303740652.878273,0.0001163139660931675
2026-03-27,2026-03-31 00:00:00,0001193125-26-133610,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,1702.0,8.96,15249.920000000002,115994.0,I,303740652.878273,5.0207042934458806e-05
2026-01-06,2026-01-07 00:00:00,0001193125-26-005892,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,1785.0,8.89,15868.650000000001,8078033.0,D,303740652.878273,5.22440768123308e-05
2025-12-29,2025-12-30 00:00:00,0001193125-25-337328,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,96357.0,8.6,828670.2,8087148.0,D,303740652.878273,0.002728216299489214
2025-12-29,2025-12-30 00:00:00,0001193125-25-337328,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,71360.0,8.6,613696.0,3282803.0,I,303740652.878273,0.0020204605283637967
2025-12-29,2025-12-30 00:00:00,0001193125-25-337328,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,56260.0,8.6,483836.0,2588112.0,I,303740652.878273,0.0015929247383092377
2025-12-29,2025-12-30 00:00:00,0001193125-25-337328,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,30970.0,8.6,266342.0,1424706.0,I,303740652.878273,0.0008768730740390524
2025-12-29,2025-12-30 00:00:00,0001193125-25-337328,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,7054.0,8.6,60664.399999999994,324505.0,I,303740652.878273,0.00019972433530098403
2025-12-29,2025-12-30 00:00:00,0001193125-25-337328,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,5752.0,8.6,49467.2,264650.0,I,303740652.878273,0.00016285999101945848
2025-12-29,2025-12-30 00:00:00,0001193125-25-337328,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,2484.0,8.6,21362.399999999998,114292.0,I,303740652.878273,7.033105314539896e-05
2025-09-29,2025-10-01 00:00:00,0001193125-25-226554,FUND,SPROTT FOCUS TRUST INC.,0000825202,NASDAQ,0000,SIC 0000,,GEORGE W WHITNEY,0001185838,,true,false,true,P,59537.0,8.18,487012.66,7990791.0,D,303740652.878273,0.0016033832000590812
