txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-18,2026-02-18 00:00:00,0001193125-26-057335,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",McPhearson John Lee,0001469094,,true,false,false,P,1500.0,8.3,12450.000000000002,3000.0,I,91859905.5,0.00013553247123686626
2025-12-03,2025-12-04 00:00:00,0001193125-25-308283,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Pierce Staci,0002021067,,true,false,false,P,750.0,13.74,10305.0,8850.0,D,91859905.5,0.00011218169607196037
2025-12-01,2025-12-02 00:00:00,0001193125-25-305351,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",FIELD Robert C,0002032475,,true,false,false,P,1000.0,13.61,13610.0,8000.0,I,91859905.5,0.00014816039626777103
2025-11-26,2025-11-26 00:00:00,0001193125-25-300822,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",FIELD Robert C,0002032475,,true,false,false,P,3000.0,13.59,40770.0,7000.0,I,91859905.5,0.0004438280202672318
2025-11-25,2025-11-26 00:00:00,0001193125-25-300822,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",FIELD Robert C,0002032475,,true,false,false,P,4000.0,13.71,54840.0,4000.0,I,91859905.5,0.0005969960419782927
2025-11-25,2025-11-26 00:00:00,0001193125-25-300477,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Gordon Stephen Nathaniel,0002082908,,true,false,false,P,1000.0,13.8,13800.0,1700.0,D,91859905.5,0.0001502287632986951
2025-11-25,2025-11-26 00:00:00,0001193125-25-300822,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",FIELD Robert C,0002032475,,true,false,false,P,5.0,13.77,68.85,1960.0,D,91859905.5,7.495108951532722e-07
2025-11-21,2025-11-21 00:00:00,0001193125-25-291494,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Pierce Staci,0002021067,,true,false,false,P,250.0,13.83,3457.5,8100.0,D,91859905.5,3.763883689168394e-05
2025-11-20,2025-11-21 00:00:00,0001193125-25-291494,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Pierce Staci,0002021067,,true,false,false,P,250.0,13.65,3412.5,7850.0,D,91859905.5,3.7148960489622974e-05
2025-11-20,2025-11-21 00:00:00,0001193125-25-291496,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",FIELD Robert C,0002032475,,true,false,false,P,55.0,13.69,752.9499999999999,1955.0,D,91859905.5,8.196720820706701e-06
2025-11-19,2025-11-21 00:00:00,0001193125-25-291494,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Pierce Staci,0002021067,,true,false,false,P,200.0,13.51,2702.0,7600.0,D,91859905.5,2.941435640819378e-05
2025-11-17,2025-11-19 00:00:00,0001193125-25-287105,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Pierce Staci,0002021067,,true,false,false,P,300.0,13.4,4020.0,7400.0,D,91859905.5,4.3762291917445964e-05
2025-11-14,2025-11-14 00:00:00,0001193125-25-283386,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Pierce Staci,0002021067,,true,false,false,P,500.0,13.43,6715.0,7100.0,D,91859905.5,7.31004453297636e-05
2025-11-13,2025-11-14 00:00:00,0001193125-25-283386,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Pierce Staci,0002021067,,true,false,false,P,500.0,13.72,6860.0,6600.0,D,91859905.5,7.467893595862669e-05
2025-11-04,2025-11-05 00:00:00,0001193125-25-266361,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",BRIGGS ROBERT S,0001192251,,true,false,false,P,5000.0,13.3,66500.0,60892.0,D,91859905.5,0.000723928460823422
2025-11-03,2025-11-05 00:00:00,0001193125-25-266361,FUSB,"FIRST US BANCSHARES, INC.",0000717806,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",BRIGGS ROBERT S,0001192251,,true,false,false,P,5000.0,13.45,67250.0,55892.0,D,91859905.5,0.000732093067524438
