txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-11,2026-09-15 00:00:00,0001193125-26-391420,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,3500.0,1.3707,4797.45,451073.0,D,32545014.312562227,0.00014740967553202784
2026-09-09,2026-09-10 00:00:00,0001193125-26-387374,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,500.0,1.55,775.0,447573.0,D,32545014.312562227,2.3813171275848956e-05
2026-09-02,2026-09-04 00:00:00,0001193125-26-382900,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,1000.0,1.67,1670.0,447073.0,D,32545014.312562227,5.1313543265377754e-05
2026-08-21,2026-08-25 00:00:00,0001193125-26-364272,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,2500.0,1.455,3637.5,446073.0,D,32545014.312562227,0.00011176827163342011
2026-08-20,2026-08-21 00:00:00,0001193125-26-360068,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,1580.0,1.46,2306.7999999999997,443573.0,D,32545014.312562227,7.088028838597208e-05
2026-08-17,2026-08-19 00:00:00,0001193125-26-356247,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,3420.0,1.4734,5039.028,441993.0,D,32545014.312562227,0.00015483256364877242
2026-08-14,2026-08-18 00:00:00,0001193125-26-354800,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,7500.0,1.423,10672.5,438573.0,D,32545014.312562227,0.00032793041347290065
2026-08-13,2026-08-17 00:00:00,0001193125-26-354277,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,70750.0,1.2166,86074.45,431073.0,D,32545014.312562227,0.002644781445579996
2026-03-18,2026-03-20 00:00:00,0001193125-26-117332,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,2000.0,3.01,6020.0,306457.0,D,32545014.312562227,0.0001849745691362719
2026-03-17,2026-03-19 00:00:00,0001193125-26-115674,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,1514.0,3.073,4652.522,304457.0,D,32545014.312562227,0.00014295652032342624
2026-03-16,2026-03-18 00:00:00,0001193125-26-113518,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,5486.0,3.11,17061.46,302943.0,D,32545014.312562227,0.0005242418957368334
2026-03-13,2026-03-17 00:00:00,0001193125-26-109871,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,2000.0,3.07,6140.0,297457.0,D,32545014.312562227,0.00018866176984995173
2026-03-10,2026-03-11 00:00:00,0001193125-26-101703,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,10250.0,3.0847,31618.175000000003,295457.0,D,32545014.312562227,0.0009715213118771169
2026-03-06,2026-03-09 00:00:00,0001193125-26-098195,GAIA,"GAIA, INC",0001089872,NASDAQ,7812,Services-Motion Picture & Video Tape Production,Services,Sutherland Paul Howard,0001552487,,true,false,false,P,10000.0,3.154,31540.0,285207.0,D,32545014.312562227,0.0009691192542455175
