txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-20,2026-04-21 00:00:00,0000040417-26-000041,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Majmudar Anang K.,0001627821,Senior Vice-President,false,true,false,P,500.0,24.66,12330.0,12000.0,D,1561048492.560791,7.898537462967276e-06
2026-04-17,2026-04-17 00:00:00,0000040417-26-000040,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Majmudar Anang K.,0001627821,Senior Vice-President,false,true,false,P,1000.0,24.81,24810.0,11500.0,D,1561048492.560791,1.5893164189474298e-05
2026-04-08,2026-04-08 00:00:00,0000040417-26-000038,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Stark Eugene S,0001315319,VP Administration/CCO/PFO,false,true,false,P,5000.0,24.85,124250.0,34000.0,D,1561048492.560791,7.959393996542449e-05
2026-04-08,2026-04-08 00:00:00,0000040417-26-000039,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Priest Jeffrey W,0001317435,President & CEO,false,true,false,P,5000.0,24.685,123425.0,40691.0,D,1561048492.560791,7.906544901595588e-05
2026-04-08,2026-04-08 00:00:00,0000040417-26-000038,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Stark Eugene S,0001315319,VP Administration/CCO/PFO,false,true,false,P,1151.0,24.92,28682.920000000002,29000.0,D,1561048492.560791,1.837413772646337e-05
2026-03-30,2026-03-30 00:00:00,0000040417-26-000037,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Stark Eugene S,0001315319,VP Administration/CCO/PFO,false,true,false,P,638.0,24.95,15918.1,27849.0,D,1561048492.560791,1.0197056706347072e-05
2026-03-30,2026-03-30 00:00:00,0000040417-26-000036,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Stark Eugene S,0001315319,VP Administration/CCO/PFO,false,true,false,P,638.0,24.95,15918.1,27849.0,D,1561048492.560791,1.0197056706347072e-05
2026-03-27,2026-03-30 00:00:00,0000040417-26-000037,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Stark Eugene S,0001315319,VP Administration/CCO/PFO,false,true,false,P,200.0,24.92,4984.0,27211.0,D,1561048492.560791,3.1927259298806893e-06
2026-03-27,2026-03-30 00:00:00,0000040417-26-000036,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Stark Eugene S,0001315319,VP Administration/CCO/PFO,false,true,false,P,200.0,24.92,4984.0,27211.0,D,1561048492.560791,3.1927259298806893e-06
2026-03-20,2026-03-23 00:00:00,0000040417-26-000035,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Stark Eugene S,0001315319,VP Administration/CCO/PFO,false,true,false,P,11.0,24.95,274.45,27011.0,D,1561048492.560791,1.7581132252322537e-07
2026-03-13,2026-03-16 00:00:00,0000040417-26-000034,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Stark Eugene S,0001315319,VP Administration/CCO/PFO,false,true,false,P,3000.0,24.95,74850.0,27000.0,D,1561048492.560791,4.794854250633419e-05
2026-03-12,2026-03-13 00:00:00,0000040417-26-000033,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Priest Jeffrey W,0001317435,President & CEO,false,true,false,P,800.0,24.9,19920.0,35691.0,D,1561048492.560791,1.2760654198078518e-05
2026-02-04,2026-02-04 00:00:00,0000040417-26-000024,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Majmudar Anang K.,0001627821,Senior Vice-President,false,true,false,P,1095.0,25.0,27375.0,10500.0,D,1561048492.560791,1.753629059600399e-05
2026-02-03,2026-02-04 00:00:00,0000040417-26-000024,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Majmudar Anang K.,0001627821,Senior Vice-President,false,true,false,P,1700.0,25.0,42500.0,9405.0,D,1561048492.560791,2.72252913362619e-05
2026-01-13,2026-01-14 00:00:00,0000040417-26-000003,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Stark Eugene S,0001315319,VP Administration/CCO/PFO,false,true,false,P,4000.0,24.98,99920.0,24000.0,D,1561048492.560791,6.400826141927738e-05
2026-01-13,2026-01-14 00:00:00,0000040417-26-000004,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Majmudar Anang K.,0001627821,Senior Vice-President,false,true,false,P,64.0,24.98,1598.72,7705.0,D,1561048492.560791,1.0241321827084382e-06
2025-12-10,2025-12-10 00:00:00,0000040417-25-000063,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Priest Jeffrey W,0001317435,President & CEO,false,true,false,P,16608.0,25.0037,415261.4496,34891.0,D,1561048492.560791,0.00026601444579008087
2025-12-08,2025-12-09 00:00:00,0000040417-25-000062,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,DAVIDSON SPENCER,0001215920,,false,false,false,P,2000.0,25.0372,50074.399999999994,179099.0,D,1561048492.560791,3.2077414787965e-05
2025-12-08,2025-12-09 00:00:00,0000040417-25-000061,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Priest Jeffrey W,0001317435,President & CEO,false,true,false,P,60.0,25.0,1500.0,18283.0,D,1561048492.560791,9.608926353974787e-07
2025-12-08,2025-12-09 00:00:00,0000040417-25-000060,GAM,GENERAL AMERICAN INVESTORS CO INC,0000040417,NYSE,,,,Majmudar Anang K.,0001627821,Senior Vice-President,false,true,false,P,36.0,24.98,899.28,7641.0,D,1561048492.560791,5.760743527734964e-07
