txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-28,2026-04-28 00:00:00,0001437749-26-013629,GCBC,GREENE COUNTY BANCORP INC,0001070524,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Brust John,0002092267,,true,false,false,P,2041.0,24.5,50004.5,6221.0,I,405238493.40956116,0.00012339523715843573
2026-04-27,2026-04-28 00:00:00,0001437749-26-013629,GCBC,GREENE COUNTY BANCORP INC,0001070524,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Brust John,0002092267,,true,false,false,P,1040.0,24.06,25022.399999999998,4180.0,I,405238493.40956116,6.174734238465023e-05
2026-04-27,2026-04-28 00:00:00,0001437749-26-013629,GCBC,GREENE COUNTY BANCORP INC,0001070524,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Brust John,0002092267,,true,false,false,P,1040.0,24.05,25012.0,3140.0,I,405238493.40956116,6.172167848507224e-05
2026-03-18,2026-03-18 00:00:00,0001437749-26-008872,GCBC,GREENE COUNTY BANCORP INC,0001070524,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hada Tejraj S,0001951975,,true,false,false,P,4000.0,21.95,87800.0,35427.0,D,405238493.40956116,0.0002166625368218992
2026-03-18,2026-03-18 00:00:00,0001437749-26-008878,GCBC,GREENE COUNTY BANCORP INC,0001070524,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hogan Peter W.,0001592265,,true,false,false,P,3000.0,22.1,66300.0,75000.0,I,405238493.40956116,0.00016360735980970291
2026-03-17,2026-03-18 00:00:00,0001437749-26-008872,GCBC,GREENE COUNTY BANCORP INC,0001070524,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hada Tejraj S,0001951975,,true,false,false,P,2000.0,21.99,43980.0,31427.0,D,405238493.40956116,0.000108528683023088
2026-03-05,2026-03-05 00:00:00,0001437749-26-007094,GCBC,GREENE COUNTY BANCORP INC,0001070524,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Barzee Nick,0002026687,SVP and CFO,false,true,false,P,1280.0,22.55,28864.0,4520.0,I,405238493.40956116,7.122719205953643e-05
2026-03-02,2026-03-03 00:00:00,0001437749-26-006537,GCBC,GREENE COUNTY BANCORP INC,0001070524,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Cannucciari Christopher,0002043740,,true,false,false,P,1300.0,22.05,28665.0,4378.0,D,405238493.40956116,7.073612321184215e-05
2025-11-18,2025-11-19 00:00:00,0001437749-25-035736,GCBC,GREENE COUNTY BANCORP INC,0001070524,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Hada Tejraj S,0001951975,,true,false,false,P,3000.0,21.96,65880.0,27923.0,D,405238493.40956116,0.0001625709330959763
2025-11-18,2025-11-19 00:00:00,0001437749-25-035694,GCBC,GREENE COUNTY BANCORP INC,0001070524,NASDAQ,6036,"Savings Institutions, State-Chartered","Finance, Insurance, Real Estate",Antalek John,0002001764,EVP and CLO,false,true,false,P,1500.0,22.0,33000.0,7567.0,I,405238493.40956116,8.143352750709195e-05
