txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-09,2026-02-11 00:00:00,0000043920-26-000051,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Sathyanarayanan Bala,0001758337,"EVP, Chief Human Resources Off",false,true,false,P,1000.0,87.99,87990.0,8549.0,D,4975919375.405273,1.7683164328367655e-05
2026-02-09,2026-02-11 00:00:00,0000043920-26-000051,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Sathyanarayanan Bala,0001758337,"EVP, Chief Human Resources Off",false,true,false,P,819.0,86.27,70655.12999999999,7549.0,D,4975919375.405273,1.4199412142654612e-05
2026-02-05,2026-02-06 00:00:00,0000043920-26-000049,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Sathyanarayanan Bala,0001758337,"EVP, Chief Human Resources Off",false,true,false,P,1300.0,88.79,115427.00000000001,6730.0,D,4975919375.405273,2.3197120228781607e-05
2026-02-05,2026-02-06 00:00:00,0000043920-26-000049,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Sathyanarayanan Bala,0001758337,"EVP, Chief Human Resources Off",false,true,false,P,511.0,86.33,44114.63,5430.0,D,4975919375.405273,8.865623952439342e-06
2026-02-04,2026-02-05 00:00:00,0000043920-26-000039,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Hilsheimer Lawrence A.,0001414433,EVP and CFO,false,true,false,P,6475.0,91.2022,590534.245,11475.0,D,4975919375.405273,0.00011867841909152773
2026-02-04,2026-02-05 00:00:00,0000043920-26-000039,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Hilsheimer Lawrence A.,0001414433,EVP and CFO,false,true,false,P,230.0,90.57,20831.1,207416.0,D,4975919375.405273,4.18638213934151e-06
2026-02-04,2026-02-05 00:00:00,0000043920-26-000041,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Sathyanarayanan Bala,0001758337,"EVP, Chief Human Resources Off",false,true,false,P,100.0,89.97,8997.0,4819.0,D,4975919375.405273,1.8081080743530378e-06
2026-02-04,2026-02-05 00:00:00,0000043920-26-000041,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Sathyanarayanan Bala,0001758337,"EVP, Chief Human Resources Off",false,true,false,P,100.0,88.48,8848.0,4919.0,D,4975919375.405273,1.7781638592726108e-06
2026-02-03,2026-02-05 00:00:00,0000043920-26-000039,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Hilsheimer Lawrence A.,0001414433,EVP and CFO,false,true,false,P,6617.0,86.84,574620.28,207186.0,D,4975919375.405273,0.000115480223180505
2026-02-03,2026-02-05 00:00:00,0000043920-26-000039,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Hilsheimer Lawrence A.,0001414433,EVP and CFO,false,true,false,P,5000.0,88.181,440905.0,5000.0,D,4975919375.405273,8.860774597339405e-05
2026-02-03,2026-02-05 00:00:00,0000043920-26-000041,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Sathyanarayanan Bala,0001758337,"EVP, Chief Human Resources Off",false,true,false,P,100.0,87.69,8769.0,4719.0,D,4975919375.405273,1.762287396243391e-06
2025-11-20,2025-11-21 00:00:00,0000043920-25-000114,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Hilsheimer Lawrence A.,0001414433,EVP and CFO,false,true,false,P,1125.0,65.4889,73675.0125,200569.0,D,4975919375.405273,1.480631154599433e-05
2025-11-19,2025-11-21 00:00:00,0000043920-25-000114,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Hilsheimer Lawrence A.,0001414433,EVP and CFO,false,true,false,P,1000.0,65.5525,65552.5,199444.0,D,4975919375.405273,1.3173947376239582e-05
2025-11-18,2025-11-19 00:00:00,0000043920-25-000112,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Hilsheimer Lawrence A.,0001414433,EVP and CFO,false,true,false,P,1000.0,65.4897,65489.7,198444.0,D,4975919375.405273,1.3161326592970783e-05
2025-11-17,2025-11-19 00:00:00,0000043920-25-000112,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Hilsheimer Lawrence A.,0001414433,EVP and CFO,false,true,false,P,1000.0,65.6508,65650.8,197444.0,D,4975919375.405273,1.3193702519477206e-05
2025-11-13,2025-11-17 00:00:00,0000043920-25-000110,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Hilsheimer Lawrence A.,0001414433,EVP and CFO,false,true,false,P,6753.0,68.11,459946.83,196444.0,D,4975919375.405273,9.243454230255465e-05
2025-11-13,2025-11-17 00:00:00,0000043920-25-000110,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Hilsheimer Lawrence A.,0001414433,EVP and CFO,false,true,false,P,1589.0,67.03,106510.67,189691.0,D,4975919375.405273,2.140522423382815e-05
2025-11-12,2025-11-13 00:00:00,0000043920-25-000098,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Hilsheimer Lawrence A.,0001414433,EVP and CFO,false,true,false,P,12754.0,66.33,845972.82,183581.0,D,4975919375.405273,0.00017001336962600968
2025-11-12,2025-11-13 00:00:00,0000043920-25-000098,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Hilsheimer Lawrence A.,0001414433,EVP and CFO,false,true,false,P,4521.0,66.7,301550.7,188102.0,D,4975919375.405273,6.0602006835257377e-05
2025-11-12,2025-11-14 00:00:00,0000043920-25-000108,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,MARTZ GARY R,0001230861,EVP & General Counsel,false,true,false,P,2920.0,65.5141,191301.172,26020.0,D,4975919375.405273,3.844539221144818e-05
2025-11-12,2025-11-13 00:00:00,0000043920-25-000098,GEF,"GREIF, INC",0000043920,NYSE,3412,"Metal Shipping Barrels, Drums, Kegs & Pails",Manufacturing,Hilsheimer Lawrence A.,0001414433,EVP and CFO,false,true,false,P,2796.0,64.2,179503.2,169147.0,D,4975919375.405273,3.6074378714261225e-05
