txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-02,2026-03-04 00:00:00,0001225208-26-003111,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,1834.0,43.29,79393.86,357739.0,D,1439878761.4381866,5.5139267364913034e-05
2025-11-17,2025-11-18 00:00:00,0001225208-25-009280,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",Gould Jedd,0002096858,,true,false,false,P,15000.0,34.1122,511683.0,15051.0,D,1439878761.4381866,0.0003553653360987965
2025-09-26,2025-09-30 00:00:00,0001225208-25-008158,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,763.0,34.9989,26704.1607,1221358.0,D,1439878761.4381866,1.854611750320369e-05
2025-09-25,2025-09-25 00:00:00,0001225208-25-008129,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,1594.0,35.0,55790.0,1220595.0,D,1439878761.4381866,3.874631774155455e-05
2025-09-24,2025-09-25 00:00:00,0001225208-25-008129,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,725.0,35.0,25375.0,1219001.0,D,1439878761.4381866,1.762301151984131e-05
2025-09-22,2025-09-22 00:00:00,0001225208-25-008114,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,2178.0,34.9292,76075.7976,1218276.0,D,1439878761.4381866,5.283486334919866e-05
2025-09-18,2025-09-22 00:00:00,0001225208-25-008114,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,8092.0,34.9831,283083.2452,1216098.0,D,1439878761.4381866,0.00019660213955600639
2025-09-17,2025-09-17 00:00:00,0001225208-25-008035,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,42170.0,34.991,1475570.47,1208006.0,D,1439878761.4381866,0.0010247879957102524
2025-09-16,2025-09-17 00:00:00,0001225208-25-008035,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,2228.0,34.9335,77831.838,1165836.0,D,1439878761.4381866,5.4054438529435375e-05
2025-09-15,2025-09-17 00:00:00,0001225208-25-008035,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,5500.0,34.9617,192289.35,1163608.0,D,1439878761.4381866,0.00013354551449035656
2025-09-09,2025-09-10 00:00:00,0001225208-25-007865,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,13798.0,35.9881,496563.80380000005,1158108.0,D,1439878761.4381866,0.00034486501023462546
2025-09-09,2025-09-10 00:00:00,0001225208-25-007865,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,300.0,36.0,10800.0,314883.0,D,1439878761.4381866,7.500631504011276e-06
2025-09-08,2025-09-10 00:00:00,0001225208-25-007865,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,71.0,36.0,2556.0,1144310.0,D,1439878761.4381866,1.7751494559493354e-06
2025-09-04,2025-09-04 00:00:00,0001225208-25-007761,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,2700.0,36.0,97200.0,1144239.0,D,1439878761.4381866,6.750568353610148e-05
2025-09-02,2025-09-04 00:00:00,0001225208-25-007761,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,1000.0,36.0,36000.0,1141539.0,D,1439878761.4381866,2.5002105013370923e-05
2025-08-21,2025-08-25 00:00:00,0001225208-25-007454,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,16153.0,35.9843,581254.3979,1140539.0,D,1439878761.4381866,0.0004036828748827635
2025-08-20,2025-08-20 00:00:00,0001225208-25-007397,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,42605.0,35.8727,1528356.3835,1124386.0,D,1439878761.4381866,0.0010614479666145222
2025-08-20,2025-08-20 00:00:00,0001225208-25-007397,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,4844.0,35.9351,174069.6244,314583.0,D,1439878761.4381866,0.00012089186191352314
2025-08-19,2025-08-20 00:00:00,0001225208-25-007397,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,29556.0,35.9578,1062768.7368,1081781.0,D,1439878761.4381866,0.0007380959878444768
2025-08-19,2025-08-20 00:00:00,0001225208-25-007397,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,1688.0,35.9856,60743.6928,309739.0,D,1439878761.4381866,4.218667184126509e-05
2025-08-18,2025-08-20 00:00:00,0001225208-25-007397,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,66553.0,35.9367,2391695.1951,297198.0,D,1439878761.4381866,0.0016610392896629128
2025-08-18,2025-08-20 00:00:00,0001225208-25-007397,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,26247.0,35.7407,938086.1528999999,1052225.0,D,1439878761.4381866,0.0006515035696220814
2025-08-18,2025-08-20 00:00:00,0001225208-25-007397,GLIBA,"GCI Liberty, Inc.",0002057463,NASDAQ,4841,Cable & Other Pay Television Services,"Transportation, Communications, Electric, Gas",MALONE JOHN C,0000937797,,true,false,true,P,10853.0,35.3408,383553.7024,308051.0,D,1439878761.4381866,0.00026637916515755605
