txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-15,2026-06-16 00:00:00,0001339396-26-000079,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,5000.0,46.69,233450.0,136584.0,D,1446502700.0035095,0.00016138925976386605
2026-06-12,2026-06-16 00:00:00,0001339396-26-000079,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,5000.0,46.5,232500.0,131584.0,D,1446502700.0035095,0.00016073250329877429
2026-06-10,2026-06-11 00:00:00,0001339396-26-000077,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,5000.0,50.17,250850.0,126584.0,D,1446502700.0035095,0.00017341827291396787
2026-06-09,2026-06-11 00:00:00,0001339396-26-000077,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,5000.0,49.44,247200.0,121584.0,D,1446502700.0035095,0.00017089494544282583
2026-06-08,2026-06-08 00:00:00,0001339396-26-000075,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,5000.0,49.29,246450.0,116584.0,D,1446502700.0035095,0.00017037645349670075
2026-06-04,2026-06-08 00:00:00,0001339396-26-000075,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,5000.0,49.5,247500.0,111584.0,D,1446502700.0035095,0.00017110234222127586
2026-06-03,2026-06-03 00:00:00,0001339396-26-000073,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,5000.0,49.42,247100.0,106584.0,D,1446502700.0035095,0.00017082581318334249
2026-06-02,2026-06-03 00:00:00,0001339396-26-000073,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,5000.0,49.19,245950.0,101584.0,D,1446502700.0035095,0.00017003079219928403
2026-06-01,2026-06-03 00:00:00,0001339396-26-000073,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,5000.0,48.41,242049.99999999997,96584.0,D,1446502700.0035095,0.0001673346340794336
2026-05-29,2026-05-29 00:00:00,0001339396-26-000071,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,5000.0,47.22,236100.0,91584.0,D,1446502700.0035095,0.00016322126464017467
2026-05-28,2026-05-29 00:00:00,0001339396-26-000071,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,5000.0,48.35,241750.0,86584.0,D,1446502700.0035095,0.0001671272373009836
2026-05-27,2026-05-29 00:00:00,0001339396-26-000071,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,5000.0,48.94,244700.0,81584.0,D,1446502700.0035095,0.0001691666389557422
2026-05-26,2026-05-26 00:00:00,0001339396-26-000068,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,5000.0,48.92,244600.0,76584.0,D,1446502700.0035095,0.00016909750669625887
2026-05-22,2026-05-26 00:00:00,0001339396-26-000068,GLP,GLOBAL PARTNERS LP,0001323468,NYSE,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Global GP LLC,0001339396,,false,false,false,P,4184.0,50.05,209409.19999999998,71584.0,D,1446502700.0035095,0.00014476931152599431
