txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-12,2026-03-13 00:00:00,0001213900-26-027820,GOGO,Gogo Inc.,0001537054,NASDAQ,4899,"Communications Services, Nec","Transportation, Communications, Electric, Gas",TOWNSEND CHARLES C,0001579494,,true,false,false,P,158591.0,4.5651,723983.7741,418686.0,D,546363627.7610598,0.0013250951148904417
2026-03-11,2026-03-13 00:00:00,0001213900-26-027820,GOGO,Gogo Inc.,0001537054,NASDAQ,4899,"Communications Services, Nec","Transportation, Communications, Electric, Gas",TOWNSEND CHARLES C,0001579494,,true,false,false,P,91409.0,4.537,414722.633,260095.0,D,546363627.7610598,0.0007590597395721406
2025-12-12,2025-12-16 00:00:00,0001213900-25-122308,GOGO,Gogo Inc.,0001537054,NASDAQ,4899,"Communications Services, Nec","Transportation, Communications, Electric, Gas",THORNE OAKLEIGH,0001135089,Executive Chair,true,true,true,P,150000.0,5.35,802500.0,954098.0,D,546363627.7610598,0.0014688020197987188
2025-12-12,2025-12-16 00:00:00,0001213900-25-122308,GOGO,Gogo Inc.,0001537054,NASDAQ,4899,"Communications Services, Nec","Transportation, Communications, Electric, Gas",THORNE OAKLEIGH,0001135089,Executive Chair,true,true,true,P,20000.0,5.24,104800.0,804098.0,D,546363627.7610598,0.00019181364694692305
2025-11-19,2025-11-20 00:00:00,0001213900-25-113107,GOGO,Gogo Inc.,0001537054,NASDAQ,4899,"Communications Services, Nec","Transportation, Communications, Electric, Gas",TOWNSEND CHARLES C,0001579494,,true,false,false,P,31228.0,7.1714,223948.4792,168686.0,D,546363627.7610598,0.00040988906988138495
2025-11-18,2025-11-20 00:00:00,0001213900-25-113107,GOGO,Gogo Inc.,0001537054,NASDAQ,4899,"Communications Services, Nec","Transportation, Communications, Electric, Gas",TOWNSEND CHARLES C,0001579494,,true,false,false,P,58763.0,6.8679,403578.4077,137458.0,D,546363627.7610598,0.0007386626546752782
2025-11-17,2025-11-18 00:00:00,0001213900-25-112086,GOGO,Gogo Inc.,0001537054,NASDAQ,4899,"Communications Services, Nec","Transportation, Communications, Electric, Gas",TOWNSEND CHARLES C,0001579494,,true,false,false,P,78695.0,7.07,556373.65,78695.0,D,546363627.7610598,0.0010183211724396081
2025-11-14,2025-11-18 00:00:00,0001213900-25-112086,GOGO,Gogo Inc.,0001537054,NASDAQ,4899,"Communications Services, Nec","Transportation, Communications, Electric, Gas",TOWNSEND CHARLES C,0001579494,,true,false,false,P,31314.0,7.099,222298.086,1972002.0,I,546363627.7610598,0.0004068683834444727
2025-08-08,2025-08-11 00:00:00,0001213900-25-074284,GOGO,Gogo Inc.,0001537054,NASDAQ,4899,"Communications Services, Nec","Transportation, Communications, Electric, Gas",Moore Christopher John,0002046276,Chief Executive Officer,true,true,false,P,10000.0,12.11,121100.0,10000.0,D,546363627.7610598,0.00022164725806557615
2025-05-13,2025-05-15 00:00:00,0001213900-25-044151,GOGO,Gogo Inc.,0001537054,NASDAQ,4899,"Communications Services, Nec","Transportation, Communications, Electric, Gas",CRANDALL ROBERT L,0001206595,,true,false,false,P,25000.0,11.84,296000.0,103934.0,I,546363627.7610598,0.0005417637356516147
