txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-29,2026-07-01 00:00:00,0001214659-26-008052,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,Horne William B.,0001333268,Chief Executive Officer,true,true,false,P,5000.0,19.0,95000.0,5000.0,D,52168898.073005676,0.001821008369144697
2026-06-18,2026-06-22 00:00:00,0001214659-26-007591,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,18000.0,0.2688,4838.4,744300.0,D,52168898.073005676,9.274491466599687e-05
2026-06-16,2026-06-17 00:00:00,0001214659-26-007532,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,50000.0,0.2353,11765.0,2750005.0,I,52168898.073005676,0.00022551751013670908
2026-06-16,2026-06-17 00:00:00,0001214659-26-007532,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,5000.0,0.2359,1179.5,726300.0,D,52168898.073005676,2.2609256541117583e-05
2026-06-11,2026-06-12 00:00:00,0001214659-26-007425,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,Horne William B.,0001333268,Chief Executive Officer,true,true,false,P,200000.0,0.1688,33760.0,200000.0,D,52168898.073005676,0.0006471288688665787
2026-06-11,2026-06-12 00:00:00,0001214659-26-007423,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,100000.0,0.1594,15939.999999999998,2700005.0,I,52168898.073005676,0.0003055460358333313
2026-06-11,2026-06-12 00:00:00,0001214659-26-007423,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,15000.0,0.1634,2451.0,721300.0,D,52168898.073005676,4.6982015923933184e-05
2026-06-10,2026-06-12 00:00:00,0001214659-26-007423,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,40000.0,0.1662,6647.999999999999,706300.0,D,52168898.073005676,0.000127432248821831
2026-05-28,2026-05-29 00:00:00,0001214659-26-006922,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,100.0,21.19,2119.0,100.0,I,52168898.073005676,4.0618070886501194e-05
2026-05-19,2026-05-20 00:00:00,0001214659-26-006624,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,397500.0,0.1318,52390.5,666300.0,D,52168898.073005676,0.0010042477785650026
2026-05-19,2026-05-20 00:00:00,0001214659-26-006624,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,100000.0,0.1343,13430.0,2600005.0,I,52168898.073005676,0.0002574330778696135
2025-12-31,2026-01-02 00:00:00,0001214659-26-000004,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,1000000.0,0.1829,182900.0,2500005.0,I,52168898.073005676,0.0035059203233322642
2025-12-31,2026-01-02 00:00:00,0001214659-26-000004,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,48800.0,0.1837,8964.56,268800.0,D,52168898.073005676,0.0001718372503757872
2025-12-30,2026-01-02 00:00:00,0001214659-26-000004,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,500000.0,0.1894,94700.0,1500005.0,I,52168898.073005676,0.0018152578164000296
2025-12-30,2026-01-02 00:00:00,0001214659-26-000004,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,60000.0,0.1924,11544.0,220000.0,D,52168898.073005676,0.00022128126961480405
2025-12-29,2025-12-30 00:00:00,0001214659-25-018630,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,100000.0,0.2029,20290.0,1000005.0,I,52168898.073005676,0.0003889290506310095
2025-12-29,2025-12-30 00:00:00,0001214659-25-018630,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,59450.0,0.2027,12050.515,160000.0,D,52168898.073005676,0.00023099040702635482
2025-12-29,2025-12-30 00:00:00,0001214659-25-018630,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,33.0,22.83,753.39,149.0,D,52168898.073005676,1.4441363107683404e-05
2025-12-29,2026-01-02 00:00:00,0001214659-26-000004,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,33.0,22.83,753.39,149.0,D,52168898.073005676,1.4441363107683404e-05
2025-12-26,2025-12-30 00:00:00,0001214659-25-018630,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,10000.0,0.214,2140.0,100550.0,D,52168898.073005676,4.1020609578627915e-05
2025-12-24,2025-12-30 00:00:00,0001214659-25-018630,GPUS,"Hyperscale Data, Inc.",0000896493,AMEX,3533,Oil & Gas Field Machinery & Equipment,Manufacturing,AULT MILTON C III,0001212502,Executive Chairman,true,true,true,P,5000.0,0.2255,1127.5,90550.0,D,52168898.073005676,2.1612494065375223e-05
