txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-18,2026-05-18 00:00:00,0001628280-26-036061,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Perry Griffin,0001950683,,true,false,false,P,100000.0,5.49,549000.0,1163903.0,D,722790027.7157164,0.0007595566885932875
2026-05-14,2026-05-14 00:00:00,0001628280-26-035006,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Everard Michele J,0001950349,,true,false,false,P,1000.0,5.28,5280.0,72143.0,D,722790027.7157164,7.305026076088448e-06
2026-05-13,2026-05-13 00:00:00,0001628280-26-034605,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Miller Matthew Reade,0001951282,,true,false,false,P,18180.0,5.21,94717.8,1350213.0,D,722790027.7157164,0.00013104469675563076
2026-05-13,2026-05-13 00:00:00,0001628280-26-034627,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Farquharson Tyler,0001688716,President and CEO,false,true,false,P,10000.0,5.15,51500.0,344743.0,D,722790027.7157164,7.125167479518089e-05
2026-03-13,2026-03-16 00:00:00,0001628280-26-017978,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Kettler Ronald Kyle,0002112743,Chief Financial Officer,false,true,false,P,3000.0,5.17,15510.0,123276.0,D,722790027.7157164,2.1458514098509816e-05
2026-03-13,2026-03-17 00:00:00,0001628280-26-018416,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Miller Matthew Reade,0001951282,,true,false,false,P,658.0,5.15,3388.7000000000003,1328839.0,D,722790027.7157164,4.688360201522903e-06
2026-03-12,2026-03-12 00:00:00,0001628280-26-017163,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Everard Michele J,0001950349,,true,false,false,P,5000.0,5.17,25850.0,71143.0,D,722790027.7157164,3.5764190164183024e-05
2026-03-12,2026-03-16 00:00:00,0001628280-26-017977,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,5000.0,5.16,25800.0,136143.0,D,722790027.7157164,3.5695013780886733e-05
2026-03-11,2026-03-12 00:00:00,0001628280-26-017169,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,2000.0,5.12,10240.0,131143.0,D,722790027.7157164,1.4167323299080625e-05
2026-03-10,2026-03-11 00:00:00,0001628280-26-016687,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Farquharson Tyler,0001688716,President and CEO,false,true,false,P,12500.0,5.21,65125.0,334743.0,D,722790027.7157164,9.010223924342048e-05
2026-03-10,2026-03-11 00:00:00,0001628280-26-016706,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Miller Matthew Reade,0001951282,,true,false,false,P,10000.0,5.1,51000.0,1328181.0,D,722790027.7157164,7.055991096221796e-05
2026-03-10,2026-03-11 00:00:00,0001628280-26-016701,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Kettler Ronald Kyle,0002112743,Chief Financial Officer,false,true,false,P,5000.0,5.18,25900.0,120276.0,D,722790027.7157164,3.583336654747932e-05
2025-12-15,2025-12-17 00:00:00,0001628280-25-057530,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Miller Matthew Reade,0001951282,,true,false,false,P,648.0,5.13,3324.24,1298166.0,D,722790027.7157164,4.599178008177322e-06
2025-12-08,2025-12-09 00:00:00,0001628280-25-056029,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,5000.0,5.26,26300.0,113117.0,D,722790027.7157164,3.6386777613849655e-05
2025-12-05,2025-12-08 00:00:00,0001628280-25-055761,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,4000.0,5.41,21640.0,108117.0,D,722790027.7157164,2.993953869063523e-05
2025-12-04,2025-12-05 00:00:00,0001628280-25-055514,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Miller Matthew Reade,0001951282,,true,false,false,P,9388.0,5.33,50038.04,1297518.0,D,722790027.7157164,6.922901268870394e-05
2025-12-01,2025-12-02 00:00:00,0001628280-25-054844,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,1026.0,5.23,5365.9800000000005,104117.0,D,722790027.7157164,7.423981784804753e-06
2025-11-21,2025-11-21 00:00:00,0001628280-25-053515,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Lazarine Kirk,0001950633,,true,false,false,P,5000.0,5.0,25000.0,1051997.0,D,722790027.7157164,3.458819164814606e-05
2025-11-21,2025-11-21 00:00:00,0001628280-25-053515,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Lazarine Kirk,0001950633,,true,false,false,P,5000.0,4.95,24750.0,1046997.0,D,722790027.7157164,3.42423097316646e-05
2025-11-19,2025-11-20 00:00:00,0001628280-25-053376,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,4000.0,5.05,20200.0,103091.0,D,722790027.7157164,2.7947258851702018e-05
2025-11-18,2025-11-20 00:00:00,0001628280-25-053376,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,4000.0,5.07,20280.0,99091.0,D,722790027.7157164,2.8057941064976084e-05
2025-11-17,2025-11-18 00:00:00,0001628280-25-052807,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,4000.0,5.18,20720.0,95091.0,D,722790027.7157164,2.8666693237983456e-05
2025-11-13,2025-11-17 00:00:00,0001628280-25-052500,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,4000.0,5.17,20680.0,91091.0,D,722790027.7157164,2.861135213134642e-05
2025-11-11,2025-11-12 00:00:00,0001628280-25-051722,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,4000.0,5.26,21040.0,87091.0,D,722790027.7157164,2.9109422091079725e-05
2025-09-15,2025-09-17 00:00:00,0001951282-25-000003,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Miller Matthew Reade,0001951282,,true,false,false,P,600.0,5.35,3210.0,1284664.0,D,722790027.7157164,4.4411238076219545e-06
2025-08-21,2025-08-25 00:00:00,0000923380-25-000018,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,974.0,5.3,5162.2,83091.0,D,722790027.7157164,7.1420465170423835e-06
2025-08-18,2025-08-20 00:00:00,0000923380-25-000016,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,5000.0,5.25,26250.0,82117.0,D,722790027.7157164,3.6317601230553365e-05
2025-08-15,2025-08-18 00:00:00,0000923380-25-000014,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,5000.0,5.3,26500.0,77117.0,D,722790027.7157164,3.666348314703482e-05
2025-08-13,2025-08-14 00:00:00,0000923380-25-000012,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,MCCARTNEY JOHN,0000923380,,true,false,false,P,3000.0,5.41,16230.0,72117.0,D,722790027.7157164,2.2454654017976422e-05
2025-08-12,2025-08-12 00:00:00,0001628280-25-039863,GRNT,"Granite Ridge Resources, Inc.",0001928446,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Miller Matthew Reade,0001951282,,true,false,false,P,18700.0,5.36,100232.0,1284064.0,D,722790027.7157164,0.00013867374501107902
