txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-11,2026-08-13 00:00:00,0001510281-26-000266,GRX,Gabelli Healthcare & WellnessRx Trust,0001391437,NYSE,,,,"Saba Capital Management, L.P.",0001510281,,false,false,true,P,200.0,9.93,1986.0,2118401.0,I,149453286.78310394,1.328843307997775e-05
2026-01-12,2026-01-14 00:00:00,0001185533-26-000006,GRX,Gabelli Healthcare & WellnessRx Trust,0001391437,NYSE,,,,GABELLI MARIO J,0001185533,,true,false,false,P,3800.0,9.58,36404.0,316026.0,I,149453286.78310394,0.00024358112680942097
2026-01-12,2026-01-14 00:00:00,0001185533-26-000006,GRX,Gabelli Healthcare & WellnessRx Trust,0001391437,NYSE,,,,GABELLI MARIO J,0001185533,,true,false,false,P,1010.0,9.58,9675.8,10000.0,I,149453286.78310394,6.474129949408293e-05
2026-01-08,2026-01-12 00:00:00,0001185533-26-000004,GRX,Gabelli Healthcare & WellnessRx Trust,0001391437,NYSE,,,,GABELLI MARIO J,0001185533,,true,false,false,P,990.0,9.58,9484.2,8990.0,I,149453286.78310394,6.345929356350704e-05
2025-12-26,2026-01-02 00:00:00,0001185533-26-000001,GRX,Gabelli Healthcare & WellnessRx Trust,0001391437,NYSE,,,,GABELLI MARIO J,0001185533,,true,false,true,P,1000000.0,10.0,10000000.0,1000000.0,D,149453286.78310394,0.06691053917410751
2025-12-26,2026-01-02 00:00:00,0001185533-26-000001,GRX,Gabelli Healthcare & WellnessRx Trust,0001391437,NYSE,,,,GABELLI MARIO J,0001185533,,true,false,true,P,500000.0,10.0,5000000.0,700000.0,I,149453286.78310394,0.033455269587053756
2025-12-26,2026-01-02 00:00:00,0001185533-26-000001,GRX,Gabelli Healthcare & WellnessRx Trust,0001391437,NYSE,,,,GABELLI MARIO J,0001185533,,true,false,true,P,200000.0,10.0,2000000.0,200000.0,I,149453286.78310394,0.0133821078348215
2025-12-26,2026-01-02 00:00:00,0001185533-26-000001,GRX,Gabelli Healthcare & WellnessRx Trust,0001391437,NYSE,,,,GABELLI MARIO J,0001185533,,true,false,true,P,100000.0,10.0,1000000.0,100000.0,I,149453286.78310394,0.00669105391741075
2025-12-26,2025-12-30 00:00:00,0001185533-25-000016,GRX,Gabelli Healthcare & WellnessRx Trust,0001391437,NYSE,,,,GABELLI MARIO J,0001185533,,true,false,true,P,100000.0,10.0,1000000.0,500000.0,I,149453286.78310394,0.00669105391741075
2025-12-17,2025-12-18 00:00:00,0001510281-25-000628,GRX,Gabelli Healthcare & WellnessRx Trust,0001391437,NYSE,,,,"Saba Capital Management, L.P.",0001510281,,false,false,true,P,4084.0,9.36,38226.24,2118201.0,I,149453286.78310394,0.0002557738328998835
2025-12-16,2025-12-18 00:00:00,0001510281-25-000628,GRX,Gabelli Healthcare & WellnessRx Trust,0001391437,NYSE,,,,"Saba Capital Management, L.P.",0001510281,,false,false,true,P,11312.0,9.37,105993.43999999999,2114117.0,I,149453286.78310394,0.0007092078219318413
2025-12-03,2025-12-04 00:00:00,0001185533-25-000010,GRX,Gabelli Healthcare & WellnessRx Trust,0001391437,NYSE,,,,GABELLI MARIO J,0001185533,,true,false,false,P,2500.0,9.6877,24219.25,239425.0,D,149453286.78310394,0.00016205230758925033
2025-11-25,2025-11-26 00:00:00,0001510281-25-000595,GRX,Gabelli Healthcare & WellnessRx Trust,0001391437,NYSE,,,,"Saba Capital Management, L.P.",0001510281,,false,false,true,P,14451.0,9.62,139018.62,2102805.0,I,149453286.78310394,0.0009301810819440365
