txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-04,2026-08-05 00:00:00,0000935836-26-000372,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,34000.0,6.8841,234059.4,4403200.0,I,350620045.99137497,0.0006675585228967704
2026-08-03,2026-08-05 00:00:00,0000935836-26-000372,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,24000.0,6.8945,165468.0,4369200.0,I,350620045.99137497,0.0004719296625842962
2026-06-25,2026-06-29 00:00:00,0000935836-26-000335,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,32000.0,6.0355,193136.0,4345200.0,I,350620045.99137497,0.0005508412944670911
2026-06-09,2026-06-09 00:00:00,0000935836-26-000314,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,51000.0,7.2203,368235.3,4313200.0,I,350620045.99137497,0.0010502402934744305
2026-06-05,2026-06-09 00:00:00,0000935836-26-000314,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,35000.0,7.6173,266605.5,4262200.0,I,350620045.99137497,0.0007603829360245943
2026-05-26,2026-05-26 00:00:00,0000935836-26-000300,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,41000.0,8.1833,335515.3,4227200.0,I,350620045.99137497,0.0009569199018593861
2026-05-22,2026-05-26 00:00:00,0000935836-26-000300,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,34000.0,8.4765,288201.0,4186200.0,I,350620045.99137497,0.0008219752501175861
2026-05-11,2026-05-11 00:00:00,0000935836-26-000241,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,12000.0,8.876,106512.0,4152200.0,I,350620045.99137497,0.0003037818322647192
2026-05-07,2026-05-11 00:00:00,0000935836-26-000241,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,18000.0,8.3005,149409.0,4140200.0,I,350620045.99137497,0.0004261279459294674
2026-05-05,2026-05-05 00:00:00,0000935836-26-000226,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,45000.0,9.2986,418437.0,4122200.0,I,350620045.99137497,0.001193420070483629
2026-05-01,2026-05-05 00:00:00,0000935836-26-000226,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,52000.0,9.0952,472950.4,4077200.0,I,350620045.99137497,0.0013488972048438849
2026-03-04,2026-03-04 00:00:00,0000935836-26-000143,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,24000.0,6.384,153216.0,4025200.0,I,350620045.99137497,0.00043698585335240364
2026-03-03,2026-03-04 00:00:00,0000935836-26-000143,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,20000.0,6.5176,130352.0,4001200.0,I,350620045.99137497,0.0003717756628302039
2026-03-02,2026-03-04 00:00:00,0000935836-26-000143,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset Management Inc.,0002057190,,false,false,true,P,50000.0,6.4198,320990.0,3981200.0,I,350620045.99137497,0.0009154924359570021
2026-02-17,2026-02-17 00:00:00,0000935836-26-000121,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,"LM Asset Management, Inc.",0002057190,,false,false,true,P,20000.0,5.3,106000.0,207000.0,I,350620045.99137497,0.0003023215620780779
2026-02-13,2026-02-17 00:00:00,0000935836-26-000121,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,"LM Asset Management, Inc.",0002057190,,false,false,true,P,10000.0,5.4,54000.0,187000.0,I,350620045.99137497,0.00015401287124732272
2026-02-12,2026-02-17 00:00:00,0000935836-26-000121,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,"LM Asset Management, Inc.",0002057190,,false,false,true,P,32000.0,5.3285,170512.0,177000.0,I,350620045.99137497,0.00048631560559487944
2026-01-07,2026-01-09 00:00:00,0000935836-26-000023,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset (IM) Inc.,0002057190,,false,false,true,P,80000.0,3.8714,309712.0,3931200.0,I,350620045.99137497,0.000883326562587978
2026-01-06,2026-01-07 00:00:00,0000935836-26-000014,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset (IM) Inc.,0002057190,,false,false,true,P,80000.0,4.0037,320296.0,3851200.0,I,350620045.99137497,0.0009135130853524532
2026-01-05,2026-01-07 00:00:00,0000935836-26-000014,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset (IM) Inc.,0002057190,,false,false,true,P,100000.0,4.0405,404050.0,3771200.0,I,350620045.99137497,0.0011523870486570508
2025-12-19,2025-12-22 00:00:00,0000935836-25-000733,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,LM Asset (IM) Inc.,0002057190,,false,false,true,P,140000.0,3.8733,542262.0,3671200.0,I,350620045.99137497,0.001546580140524365
2025-12-18,2025-12-19 00:00:00,0000935836-25-000730,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Lau Daniel,0001950123,,false,false,true,P,360000.0,3.9548,1423728.0,3531200.0,I,350620045.99137497,0.0040606006880594125
2025-11-26,2025-12-01 00:00:00,0001013594-25-001476,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,3075.0,4.36,13407.000000000002,2586854.0,I,350620045.99137497,3.823797342246029e-05
2025-11-26,2025-12-01 00:00:00,0001013594-25-001476,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,1025.0,4.36,4469.0,2584304.0,I,350620045.99137497,1.2745991140820097e-05
2025-11-25,2025-11-25 00:00:00,0001013594-25-001471,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,60306.0,4.23,255094.38000000003,2583779.0,I,350620045.99137497,0.0007275521833862152
2025-11-25,2025-11-25 00:00:00,0001013594-25-001471,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,20102.0,4.23,85031.46,2583279.0,I,350620045.99137497,0.0002425173944620717
2025-11-24,2025-11-25 00:00:00,0001013594-25-001471,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,20300.0,4.35,88305.0,2523473.0,I,350620045.99137497,0.0002518538258424969
2025-11-24,2025-11-25 00:00:00,0001013594-25-001471,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,6767.0,4.35,29436.449999999997,2563177.0,I,350620045.99137497,8.39554108116343e-05
2025-11-21,2025-11-25 00:00:00,0001013594-25-001471,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,37500.0,4.35,163125.0,2503173.0,I,350620045.99137497,0.0004652472152262873
2025-11-21,2025-11-25 00:00:00,0001013594-25-001471,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,12500.0,4.35,54374.99999999999,2556410.0,I,350620045.99137497,0.0001550824050754291
2025-11-19,2025-11-20 00:00:00,0001013594-25-001457,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,22800.0,4.36,99408.00000000001,2465673.0,I,350620045.99137497,0.00028352058342507143
2025-11-19,2025-11-20 00:00:00,0001013594-25-001457,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,7600.0,4.36,33136.0,2543910.0,I,350620045.99137497,9.450686114169047e-05
2025-11-18,2025-11-20 00:00:00,0001013594-25-001457,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,26835.0,4.23,113512.05000000002,2442873.0,I,350620045.99137497,0.00032374660632721595
2025-11-18,2025-11-20 00:00:00,0001013594-25-001457,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,8945.0,4.23,37837.350000000006,2536310.0,I,350620045.99137497,0.00010791553544240531
2025-11-17,2025-11-17 00:00:00,0001013594-25-001448,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,54025.0,4.21,227445.25,2416038.0,I,350620045.99137497,0.0006486943704456505
2025-11-17,2025-11-17 00:00:00,0001013594-25-001448,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,54025.0,4.21,227445.25,2527365.0,I,350620045.99137497,0.0006486943704456505
2025-11-17,2025-11-17 00:00:00,0001013594-25-001448,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,18076.0,4.21,76099.96,659996.0,I,350620045.99137497,0.00021704395076678536
2025-11-14,2025-11-17 00:00:00,0001013594-25-001448,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,25856.0,4.32,111697.92000000001,2362013.0,I,350620045.99137497,0.0003185725439176621
2025-11-14,2025-11-17 00:00:00,0001013594-25-001448,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,25778.0,4.32,111360.96,2473340.0,I,350620045.99137497,0.0003176115036010788
2025-11-14,2025-11-17 00:00:00,0001013594-25-001448,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,17185.0,4.32,74239.20000000001,550317.0,I,350620045.99137497,0.0002117368953908193
2025-11-14,2025-11-17 00:00:00,0001013594-25-001448,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,8593.0,4.32,37121.76,641920.0,I,350620045.99137497,0.00010587460821025952
2025-11-13,2025-11-17 00:00:00,0001013594-25-001448,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,7648.0,4.39,33574.72,2336157.0,I,350620045.99137497,9.575813015786872e-05
2025-11-13,2025-11-17 00:00:00,0001013594-25-001448,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,7626.0,4.39,33478.14,2447562.0,I,350620045.99137497,9.548267528555267e-05
2025-11-13,2025-11-17 00:00:00,0001013594-25-001448,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,5084.0,4.39,22318.76,533132.0,I,350620045.99137497,6.365511685703512e-05
2025-11-13,2025-11-17 00:00:00,0001013594-25-001448,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,2542.0,4.39,11159.38,633327.0,I,350620045.99137497,3.182755842851756e-05
2025-11-12,2025-11-12 00:00:00,0001013594-25-001388,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,38453.0,4.32,166116.96000000002,2328509.0,I,350620045.99137497,0.00047378055504586407
2025-11-12,2025-11-12 00:00:00,0001013594-25-001388,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,38339.0,4.32,165624.48,2439936.0,I,350620045.99137497,0.00047237595766008847
2025-11-12,2025-11-12 00:00:00,0001013594-25-001388,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,25559.0,4.32,110414.88,528048.0,I,350620045.99137497,0.0003149131980968257
2025-11-12,2025-11-12 00:00:00,0001013594-25-001388,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,12780.0,4.32,55209.600000000006,630785.0,I,350620045.99137497,0.00015746275956326274
2025-11-11,2025-11-12 00:00:00,0001013594-25-001388,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,5269.0,4.33,22814.77,2290056.0,I,350620045.99137497,6.506978212124594e-05
2025-11-11,2025-11-12 00:00:00,0001013594-25-001388,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,5254.0,4.33,22749.82,2401597.0,I,350620045.99137497,6.48845388622179e-05
2025-11-11,2025-11-12 00:00:00,0001013594-25-001388,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,3503.0,4.33,15167.99,502489.0,I,350620045.99137497,4.3260475758345896e-05
2025-11-11,2025-11-12 00:00:00,0001013594-25-001388,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,1751.0,4.33,7581.83,618005.0,I,350620045.99137497,2.1624063103872014e-05
2025-11-07,2025-11-12 00:00:00,0001013594-25-001388,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,16928.0,4.11,69574.08,2284787.0,I,350620045.99137497,0.00019843155231835056
2025-11-07,2025-11-12 00:00:00,0001013594-25-001388,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,16877.0,4.11,69364.47,2396343.0,I,350620045.99137497,0.0001978337256897922
2025-11-07,2025-11-12 00:00:00,0001013594-25-001388,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,11251.0,4.11,46241.61,498986.0,I,350620045.99137497,0.00013188524309627612
2025-11-07,2025-11-12 00:00:00,0001013594-25-001388,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,5626.0,4.11,23122.86,616254.0,I,350620045.99137497,6.594848259351608e-05
2025-11-06,2025-11-06 00:00:00,0001013594-25-001337,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,66800.0,4.07,271876.0,2267859.0,I,350620045.99137497,0.0007754148774673539
2025-11-06,2025-11-06 00:00:00,0001013594-25-001337,GTE,GRAN TIERRA ENERGY INC.,0001273441,AMEX,1311,Crude Petroleum & Natural Gas,Mining,Equinox Partners Investment Management LLC,0000938552,,true,false,true,P,66600.0,4.07,271062.0,2379466.0,I,350620045.99137497,0.0007730932760378109
