txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-04,2026-06-04 00:00:00,0001225208-26-005798,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,4798.0,20.3,97399.40000000001,10000.0,I,33427382915.65663,2.913760860243125e-06
2026-06-03,2026-06-04 00:00:00,0001225208-26-005798,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,5202.0,20.35,105860.70000000001,5202.0,I,33427382915.65663,3.166885671759163e-06
2026-06-03,2026-06-04 00:00:00,0001225208-26-005798,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,873.0,16.46,14369.58,12000.0,I,33427382915.65663,4.2987451444395346e-07
2026-06-02,2026-06-04 00:00:00,0001225208-26-005798,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,11127.0,16.5,183595.5,11127.0,I,33427382915.65663,5.492368351517223e-06
2026-04-28,2026-04-29 00:00:00,0001225208-26-004706,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,3029.0,21.05,63760.450000000004,9500.0,D,33427382915.65663,1.9074317053440655e-06
2026-04-27,2026-04-29 00:00:00,0001225208-26-004706,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,6500.0,17.09,111085.0,11500.0,D,33427382915.65663,3.323173707025993e-06
2026-04-27,2026-04-29 00:00:00,0001225208-26-004706,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,1971.0,21.05,41489.55,6471.0,D,33427382915.65663,1.2411845134477229e-06
2026-03-12,2026-03-16 00:00:00,0001225208-26-003718,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",STEINOUR STEPHEN D,0001213991,"President, CEO & Chairman",true,true,false,P,32277.0,15.49,499970.73,1442844.545,D,33427382915.65663,1.4956921134433919e-05
2026-03-09,2026-03-09 00:00:00,0001225208-26-003432,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,1091.0,25.39,27700.49,3964.0,D,33427382915.65663,8.286765993584774e-07
2026-03-09,2026-03-09 00:00:00,0001225208-26-003432,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,36.0,25.38,913.68,4000.0,D,33427382915.65663,2.7333279494400767e-08
2026-03-06,2026-03-09 00:00:00,0001225208-26-003432,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,85.0,17.65,1500.2499999999998,5000.0,D,33427382915.65663,4.4880869189951345e-08
2026-03-03,2026-03-04 00:00:00,0001225208-26-003113,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,4915.0,17.65,86749.75,4915.0,D,33427382915.65663,2.5951702596307168e-06
2026-03-02,2026-03-03 00:00:00,0001225208-26-003071,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,500.0,21.4,10700.0,4500.0,D,33427382915.65663,3.200968507465286e-07
2026-02-27,2026-03-03 00:00:00,0001225208-26-003071,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,4000.0,21.75,87000.0,4000.0,D,33427382915.65663,2.6026566369110266e-06
2026-02-27,2026-03-03 00:00:00,0001225208-26-003071,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",ROLLINS JAMES D III,0001213483,,true,false,false,P,2873.0,25.38,72916.73999999999,2873.0,D,33427382915.65663,2.1813475552059277e-06
2026-02-19,2026-02-23 00:00:00,0001225208-26-002416,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",TORGOW GARY,0001251487,,true,false,false,P,14200.0,17.81,252901.99999999997,943340.95,D,33427382915.65663,7.56571343434566e-06
2025-11-04,2025-11-05 00:00:00,0001225208-25-008949,HBAN,HUNTINGTON BANCSHARES INC /MD/,0000049196,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Inglis John C,0001657175,,true,false,false,P,6506.0,15.3,99541.8,89831.2577,D,33427382915.65663,2.9778520278168973e-06
