txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-19,2026-03-19 00:00:00,0002090078-26-000002,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,Lam Dennis,0002090078,,true,false,false,P,100.0,1.76,176.0,22484.0,D,105346573.01994395,1.6706760832806598e-06
2026-03-18,2026-03-18 00:00:00,0001793896-26-000002,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,Lin Xi,0001793896,President and CEO,false,true,false,P,8367.0,1.7961,15027.9687,424171.0,D,105346573.01994395,0.00014265265845102472
2026-03-18,2026-03-19 00:00:00,0002090078-26-000002,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,Lam Dennis,0002090078,,true,false,false,P,8000.0,1.7966,14372.8,22384.0,D,105346573.01994395,0.00013643348414645607
2026-03-18,2026-03-18 00:00:00,0001886874-26-000002,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,Chang Christine,0001886874,Chief Administrative Officer,false,true,false,P,4000.0,1.7399,6959.6,237995.0,D,105346573.01994395,6.6063848120455e-05
2026-03-18,2026-03-18 00:00:00,0001780044-26-000002,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,McGarry Paul E,0001780044,CFO,false,true,false,P,2500.0,1.76,4400.0,9700.0,D,105346573.01994395,4.17669020820165e-05
2025-11-14,2025-11-17 00:00:00,0002090078-25-000004,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,Lam Dennis,0002090078,,true,false,false,P,1000.0,2.25,2250.0,2000.0,D,105346573.01994395,2.1358074928303892e-05
2025-11-13,2025-11-17 00:00:00,0001579198-25-000006,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,Taylor Jeffery L,0001579198,,true,false,false,P,10000.0,2.25,22500.0,10000.0,D,105346573.01994395,0.0002135807492830389
2025-11-13,2025-11-17 00:00:00,0001886874-25-000004,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,Chang Christine,0001886874,Chief Compliance Officer & GC,false,true,false,P,2000.0,2.28,4560.0,233995.0,D,105346573.01994395,4.3285698521362554e-05
2025-11-13,2025-11-17 00:00:00,0002090078-25-000004,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,Lam Dennis,0002090078,,true,false,false,P,1000.0,2.25,2250.0,1000.0,D,105346573.01994395,2.1358074928303892e-05
2025-11-12,2025-11-18 00:00:00,0001793896-25-000004,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,Lin Xi,0001793896,President and CEO,false,true,false,P,3795.0,2.23,8462.85,415804.0,D,105346573.01994395,8.033341529199848e-05
2025-11-12,2025-11-18 00:00:00,0001793896-25-000004,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,Lin Xi,0001793896,President and CEO,false,true,false,P,699.0,2.28,1593.7199999999998,412009.0,D,105346573.01994395,1.512835163321621e-05
2025-08-12,2025-08-13 00:00:00,0001628280-25-040101,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,Lin Xi,0001793896,President and CEO,false,true,false,P,3080.0,3.248,10003.84,411310.0,D,105346573.01994395,9.496122857367271e-05
2025-08-12,2025-08-13 00:00:00,0001628280-25-040102,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,Chang Christine,0001886874,Chief Compliance Officer & GC,false,true,false,P,1390.0,3.19,4434.1,231995.0,D,105346573.01994395,4.209059557315213e-05
2025-05-14,2025-05-14 00:00:00,0001680873-25-000038,HFFG,HF Foods Group Inc.,0001680873,NASDAQ,5140,Wholesale-Groceries & Related Products,Wholesale Trade,Lin Xi,0001793896,President and CEO,false,true,false,P,2631.0,3.8099,10023.8469,408230.0,D,105346573.01994395,9.515114362668742e-05
