txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-08-27,2025-08-29 00:00:00,0001562180-25-006043,HTH,Hilltop Holdings Inc.,0001265131,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SOBEL JONATHAN S,0001086618,Hilltop Securities Chairman,true,true,false,P,10000.0,35.36,353600.0,127428.694,D,2238780035.25,0.0001579431629872089
2025-08-26,2025-08-26 00:00:00,0001562180-25-006017,HTH,Hilltop Holdings Inc.,0001265131,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SOBEL JONATHAN S,0001086618,Hilltop Securities Chairman,true,true,false,P,10000.0,35.21,352100.0,117428.694,D,2238780035.25,0.00015727315522566813
2025-08-25,2025-08-26 00:00:00,0001562180-25-006017,HTH,Hilltop Holdings Inc.,0001265131,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SOBEL JONATHAN S,0001086618,Hilltop Securities Chairman,true,true,false,P,10000.0,34.75,347500.0,107428.694,D,2238780035.25,0.00015521846475694313
2025-08-22,2025-08-26 00:00:00,0001562180-25-006017,HTH,Hilltop Holdings Inc.,0001265131,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SOBEL JONATHAN S,0001086618,Hilltop Securities Chairman,true,true,false,P,10000.0,34.57,345700.0,97428.694,D,2238780035.25,0.0001544144554430942
2025-08-21,2025-08-21 00:00:00,0001562180-25-005935,HTH,Hilltop Holdings Inc.,0001265131,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SOBEL JONATHAN S,0001086618,Hilltop Securities Chairman,true,true,false,P,10000.0,33.19,331900.0,87428.694,D,2238780035.25,0.0001482503840369192
2025-08-20,2025-08-21 00:00:00,0001562180-25-005935,HTH,Hilltop Holdings Inc.,0001265131,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SOBEL JONATHAN S,0001086618,Hilltop Securities Chairman,true,true,false,P,10000.0,32.93,329300.0,77428.694,D,2238780035.25,0.00014708903725024855
2025-08-19,2025-08-21 00:00:00,0001562180-25-005935,HTH,Hilltop Holdings Inc.,0001265131,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SOBEL JONATHAN S,0001086618,Hilltop Securities Chairman,true,true,false,P,10000.0,32.92,329200.0,67428.694,D,2238780035.25,0.00014704437006614581
2025-08-18,2025-08-18 00:00:00,0001562180-25-005856,HTH,Hilltop Holdings Inc.,0001265131,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SOBEL JONATHAN S,0001086618,Hilltop Securities Chairman,true,true,false,P,10000.0,31.97,319700.0,57428.694,D,2238780035.25,0.00014280098757638767
2025-08-15,2025-08-18 00:00:00,0001562180-25-005856,HTH,Hilltop Holdings Inc.,0001265131,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SOBEL JONATHAN S,0001086618,Hilltop Securities Chairman,true,true,false,P,10000.0,32.37,323700.0,47428.694,D,2238780035.25,0.00014458767494049637
2025-08-14,2025-08-18 00:00:00,0001562180-25-005856,HTH,Hilltop Holdings Inc.,0001265131,NYSE,6022,State Commercial Banks,"Finance, Insurance, Real Estate",SOBEL JONATHAN S,0001086618,Hilltop Securities Chairman,true,true,false,P,10000.0,32.7,327000.0,37428.694,D,2238780035.25,0.00014606169201588604
