txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-16,2026-04-20 00:00:00,0001193125-26-162603,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,10000.0,1.69,16900.0,124818.0,D,16776085.82267332,0.0010073863580954746
2026-04-10,2026-04-14 00:00:00,0001193125-26-153729,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,5000.0,1.5,7500.0,114818.0,D,16776085.82267332,0.0004470649518175183
2026-04-09,2026-04-10 00:00:00,0001193125-26-150242,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,100.0,1.45,145.0,109818.0,D,16776085.82267332,8.643255735138686e-06
2026-04-08,2026-04-10 00:00:00,0001193125-26-150242,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,339.0,1.42,481.38,109718.0,D,16776085.82267332,2.8694416867455594e-05
2026-04-03,2026-04-07 00:00:00,0001193125-26-144487,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,179.0,1.39,248.80999999999997,109379.0,D,16776085.82267332,1.4831230754895563e-05
2026-04-03,2026-04-06 00:00:00,0001193125-26-142846,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,179.0,1.39,248.80999999999997,10029179.0,D,16776085.82267332,1.4831230754895563e-05
2026-04-02,2026-04-07 00:00:00,0001193125-26-144487,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,6000.0,1.42,8520.0,109200.0,D,16776085.82267332,0.0005078657852647007
2026-04-02,2026-04-06 00:00:00,0001193125-26-142846,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,6000.0,1.42,8520.0,10029000.0,D,16776085.82267332,0.0005078657852647007
2026-04-01,2026-04-07 00:00:00,0001193125-26-144485,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,7839032.0,0.014,109746.448,7839032.0,I,16776085.82267332,0.00654183873163517
2026-04-01,2026-04-01 00:00:00,0001193125-26-135581,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,7839032.0,0.014,109746.448,7839032.0,I,16776085.82267332,0.00654183873163517
2026-03-30,2026-04-07 00:00:00,0001193125-26-144485,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,2000.0,1.42,2840.0,103200.0,D,16776085.82267332,0.0001692885950882336
2026-03-30,2026-04-01 00:00:00,0001193125-26-135581,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,2000.0,1.42,2840.0,10023000.0,D,16776085.82267332,0.0001692885950882336
2026-03-30,2026-04-07 00:00:00,0001193125-26-144485,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,1000.0,1.39,1390.0,101200.0,D,16776085.82267332,8.285603773684672e-05
2026-03-30,2026-04-01 00:00:00,0001193125-26-135581,HUIZ,Huize Holding Ltd,0001778982,NASDAQ,6411,"Insurance Agents, Brokers & Service","Finance, Insurance, Real Estate",Ma Cunjun,0001845701,Chief Executive Officer,true,true,true,P,1000.0,1.39,1390.0,10021000.0,D,16776085.82267332,8.285603773684672e-05
