txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-24,2026-04-27 00:00:00,0001213900-26-048048,HYMC,HYCROFT MINING HOLDING CORP,0001718405,NASDAQ,1040,Gold Mining,Mining,Sprott Eric,0001491714,,false,false,true,P,100000.0,37.84,3784000.0000000005,37403704.0,I,3470753512.8701363,0.0010902531643253528
2026-04-09,2026-04-10 00:00:00,0001213900-26-042545,HYMC,HYCROFT MINING HOLDING CORP,0001718405,NASDAQ,1040,Gold Mining,Mining,Sprott Eric,0001491714,,false,false,true,P,100000.0,39.06,3906000.0,37203704.0,I,3470753512.8701363,0.0011254040327311912
2026-04-09,2026-04-10 00:00:00,0001213900-26-042545,HYMC,HYCROFT MINING HOLDING CORP,0001718405,NASDAQ,1040,Gold Mining,Mining,Sprott Eric,0001491714,,false,false,true,P,100000.0,38.28,3828000.0,37303704.0,I,3470753512.8701363,0.0011029305267012289
2026-03-05,2026-03-06 00:00:00,0001213900-26-024658,HYMC,HYCROFT MINING HOLDING CORP,0001718405,NASDAQ,1040,Gold Mining,Mining,Sprott Eric,0001491714,,false,false,true,P,100000.0,40.85,4085000.0,37103704.0,I,3470753512.8701363,0.001176977847851233
2026-03-04,2026-03-05 00:00:00,0001213900-26-024116,HYMC,HYCROFT MINING HOLDING CORP,0001718405,NASDAQ,1040,Gold Mining,Mining,Sprott Eric,0001491714,,false,false,true,P,100000.0,47.58,4758000.0,37003704.0,I,3470753512.8701363,0.001370883867827703
2026-02-20,2026-02-23 00:00:00,0001213900-26-019432,HYMC,HYCROFT MINING HOLDING CORP,0001718405,NASDAQ,1040,Gold Mining,Mining,Sprott Eric,0001491714,,false,false,true,P,150000.0,42.05,6307500.0,36903704.0,I,3470753512.8701363,0.0018173287087690703
2026-01-29,2026-01-30 00:00:00,0001213900-26-010449,HYMC,HYCROFT MINING HOLDING CORP,0001718405,NASDAQ,1040,Gold Mining,Mining,Sprott Eric,0001491714,,false,false,true,P,200000.0,45.99,9198000.0,36753704.0,I,3470753512.8701363,0.0026501449803024825
2026-01-26,2026-01-27 00:00:00,0001213900-26-008469,HYMC,HYCROFT MINING HOLDING CORP,0001718405,NASDAQ,1040,Gold Mining,Mining,Sprott Eric,0001491714,,false,false,true,P,100000.0,49.96,4996000.0,36553704.0,I,3470753512.8701363,0.001439456873406306
2026-01-14,2026-01-15 00:00:00,0001213900-26-004840,HYMC,HYCROFT MINING HOLDING CORP,0001718405,NASDAQ,1040,Gold Mining,Mining,Sprott Eric,0001491714,,false,false,true,P,200000.0,33.21,6642000.0,36453704.0,I,3470753512.8701363,0.0019137054750129475
2026-01-09,2026-01-09 00:00:00,0001213900-26-003026,HYMC,HYCROFT MINING HOLDING CORP,0001718405,NASDAQ,1040,Gold Mining,Mining,Sprott Eric,0001491714,,false,false,true,P,25000.0,27.05,676250.0,31581352.0,I,3470753512.8701363,0.00019484241606105174
