txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,802.0,206.06,165260.12,32385.0,D,5635727190.673218,2.9323655033106525e-05
2026-05-11,2026-05-12 00:00:00,0001628280-26-034261,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Wheeler Brad A,0002005602,Chief Operating Officer,false,true,false,P,716.0,209.13,149737.08,14988.0,D,5635727190.673218,2.6569256270567117e-05
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,520.0,205.08,106641.6,31583.0,D,5635727190.673218,1.8922420548759936e-05
2026-05-11,2026-05-12 00:00:00,0001628280-26-034268,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Hilsheimer Lawrence A.,0001414433,,true,false,false,P,475.0,206.215,97952.125,28468.0,D,5635727190.673218,1.7380565397506245e-05
2026-05-11,2026-05-12 00:00:00,0001628280-26-034265,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Niswonger Jason R,0001696709,Chief Admin. & Sustainability,false,true,false,P,455.0,214.8,97734.0,17122.0,D,5635727190.673218,1.7341861430365857e-05
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,244.0,204.1,49800.4,31063.0,D,5635727190.673218,8.836552642650377e-06
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,190.0,216.33,41102.700000000004,33099.0,D,5635727190.673218,7.293238052406519e-06
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,154.0,207.04,31884.16,32539.0,D,5635727190.673218,5.657505929805532e-06
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,110.0,217.46,23920.600000000002,33209.0,D,5635727190.673218,4.244456693998092e-06
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,110.0,208.43,22927.3,32649.0,D,5635727190.673218,4.068206147015645e-06
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,70.0,209.31,14651.7,32719.0,D,5635727190.673218,2.599788723671306e-06
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,50.0,213.88,10694.0,32879.0,D,5635727190.673218,1.897536846300494e-06
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,50.0,211.48,10574.0,32809.0,D,5635727190.673218,1.8762441193923156e-06
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,40.0,210.58,8423.2,32759.0,D,5635727190.673218,1.494607477441399e-06
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,30.0,215.24,6457.200000000001,32909.0,D,5635727190.673218,1.145761634929077e-06
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,20.0,212.75,4255.0,32829.0,D,5635727190.673218,7.55004608285824e-07
2026-05-11,2026-05-12 00:00:00,0001628280-26-034263,IBP,"Installed Building Products, Inc.",0001580905,NYSE,1520,General Building Contractors-Residential,Construction,Miller Michael Thomas,0001598873,Executive VP & CFO,true,true,false,P,10.0,217.905,2179.05,33219.0,D,5635727190.673218,3.8664930474388366e-07
