txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-01,2026-06-02 00:00:00,0001225208-26-005748,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,NYSE,2860,Industrial Organic Chemicals,Manufacturing,FRIBOURG PAUL J,0001070938,,true,false,false,P,260000.0,74.278,19312280.0,2682730.0,I,21914830166.33882,0.0008812425126462381
2026-06-01,2026-06-02 00:00:00,0001225208-26-005748,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,NYSE,2860,Industrial Organic Chemicals,Manufacturing,FRIBOURG PAUL J,0001070938,,true,false,false,P,13500.0,74.487,1005574.4999999999,43150.0,D,21914830166.33882,4.588557120303685e-05
2026-03-13,2026-03-16 00:00:00,0001225208-26-003696,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,NYSE,2860,Industrial Organic Chemicals,Manufacturing,Fyrwald J Erik,0001343564,Chief Executive Officer,true,true,false,P,13360.0,69.8521,933224.0559999999,91630.0,D,21914830166.33882,4.258413361712618e-05
2026-03-12,2026-03-16 00:00:00,0001225208-26-003697,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,NYSE,2860,Industrial Organic Chemicals,Manufacturing,FRIBOURG PAUL J,0001070938,,true,false,false,P,142000.0,70.1265,9957962.999999998,2422730.0,I,21914830166.33882,0.00045439380202432183
2026-03-12,2026-03-16 00:00:00,0001225208-26-003697,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,NYSE,2860,Industrial Organic Chemicals,Manufacturing,FRIBOURG PAUL J,0001070938,,true,false,false,P,14200.0,70.0715,995015.3,29650.0,D,21914830166.33882,4.540374223517112e-05
2026-03-12,2026-03-16 00:00:00,0001225208-26-003696,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,NYSE,2860,Industrial Organic Chemicals,Manufacturing,Fyrwald J Erik,0001343564,Chief Executive Officer,true,true,false,P,900.0,68.8667,61980.02999999999,78270.0,D,21914830166.33882,2.828223149782895e-06
2026-03-06,2026-03-16 00:00:00,0001225208-26-003697,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,NYSE,2860,Industrial Organic Chemicals,Manufacturing,FRIBOURG PAUL J,0001070938,,true,false,false,P,3.0,73.93,221.79000000000002,11.0,I,21914830166.33882,1.0120543865344183e-08
2026-02-09,2026-03-16 00:00:00,0001225208-26-003697,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,NYSE,2860,Industrial Organic Chemicals,Manufacturing,FRIBOURG PAUL J,0001070938,,true,false,false,P,146.0,74.63,10895.98,409.0,I,21914830166.33882,4.971966434280757e-07
2025-12-12,2025-12-12 00:00:00,0001225208-25-009913,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,NYSE,2860,Industrial Organic Chemicals,Manufacturing,Landsman Stephen N,0001305789,"EVP, General Counsel",false,true,false,P,3100.0,63.48,196788.0,15100.0,D,21914830166.33882,8.979672600989004e-06
2025-10-30,2026-03-16 00:00:00,0001225208-26-003697,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,NYSE,2860,Industrial Organic Chemicals,Manufacturing,FRIBOURG PAUL J,0001070938,,true,false,false,P,39.0,63.64,2481.96,39.0,I,21914830166.33882,1.1325481334609156e-07
2025-08-27,2026-03-16 00:00:00,0001225208-26-003697,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC,0000051253,NYSE,2860,Industrial Organic Chemicals,Manufacturing,FRIBOURG PAUL J,0001070938,,true,false,false,P,71.0,66.91,4750.61,450.0,I,21914830166.33882,2.1677603540350207e-07
