txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-09,2026-02-11 00:00:00,0001110803-26-000022,ILMN,"ILLUMINA, INC.",0001110803,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Gottlieb Scott,0001411359,,true,false,false,P,200.0,117.81,23562.0,12723.0,D,19425855872.975197,1.2129195312716651e-06
2025-11-03,2025-11-05 00:00:00,0001110803-25-000076,ILMN,"ILLUMINA, INC.",0001110803,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Gottlieb Scott,0001411359,,true,false,false,P,500.0,122.13,61065.0,12523.0,D,19425855872.975197,3.1434908402132345e-06
2025-05-13,2025-05-14 00:00:00,0001127602-25-014277,ILMN,"ILLUMINA, INC.",0001110803,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Thaysen Jacob,0001625263,Chief Executive Officer,true,true,false,P,4946.0,80.7,399142.2,82486.0,D,19425855872.975197,2.054695569708604e-05
2025-05-13,2025-05-14 00:00:00,0001127602-25-014277,ILMN,"ILLUMINA, INC.",0001110803,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Thaysen Jacob,0001625263,Chief Executive Officer,true,true,false,P,804.0,81.56,65574.24,83290.0,D,19425855872.975197,3.3756165200023634e-06
2025-05-13,2025-05-14 00:00:00,0001127602-25-014277,ILMN,"ILLUMINA, INC.",0001110803,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Thaysen Jacob,0001625263,Chief Executive Officer,true,true,false,P,100.0,82.26,8226.0,83390.0,D,19425855872.975197,4.2345624582975627e-07
2025-05-12,2025-05-14 00:00:00,0001127602-25-014280,ILMN,"ILLUMINA, INC.",0001110803,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Dhingra Ankur,0001849682,"SVP, Chief Financial Officer",false,true,false,P,6100.0,81.21,495380.99999999994,24906.0,D,19425855872.975197,2.55011157932641e-05
2025-05-12,2025-05-14 00:00:00,0001127602-25-014277,ILMN,"ILLUMINA, INC.",0001110803,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Thaysen Jacob,0001625263,Chief Executive Officer,true,true,false,P,3700.0,80.92,299404.0,75940.0,D,19425855872.975197,1.541265424585611e-05
2025-05-12,2025-05-14 00:00:00,0001127602-25-014277,ILMN,"ILLUMINA, INC.",0001110803,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Thaysen Jacob,0001625263,Chief Executive Officer,true,true,false,P,1400.0,81.54,114156.00000000001,77340.0,D,19425855872.975197,5.876497836000688e-06
2025-05-12,2025-05-14 00:00:00,0001127602-25-014277,ILMN,"ILLUMINA, INC.",0001110803,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Thaysen Jacob,0001625263,Chief Executive Officer,true,true,false,P,1200.0,79.7,95640.0,72240.0,D,19425855872.975197,4.923335199508618e-06
2025-05-12,2025-05-14 00:00:00,0001127602-25-014277,ILMN,"ILLUMINA, INC.",0001110803,NASDAQ,3826,Laboratory Analytical Instruments,Manufacturing,Thaysen Jacob,0001625263,Chief Executive Officer,true,true,false,P,200.0,82.66,16532.0,77540.0,D,19425855872.975197,8.510307143274411e-07
