txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-27,2026-04-27 00:00:00,0000919574-26-002414,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,250923.0,3.6391,913133.8893,12684884.0,D,134462142.5180006,0.006791011002801459
2026-04-27,2026-04-27 00:00:00,0000919574-26-002414,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,0.0,0.0,0.0,12684884.0,I,134462142.5180006,0.0
2026-04-24,2026-04-27 00:00:00,0000919574-26-002414,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,38880.0,3.5258,137083.104,12433961.0,D,134462142.5180006,0.0010194921889010397
2026-04-24,2026-04-27 00:00:00,0000919574-26-002414,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,0.0,0.0,0.0,12433961.0,I,134462142.5180006,0.0
2026-04-23,2026-04-27 00:00:00,0000919574-26-002414,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,280381.0,3.5025,982034.4525,12395081.0,D,134462142.5180006,0.007303427077019347
2026-04-23,2026-04-27 00:00:00,0000919574-26-002414,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,0.0,0.0,0.0,12395081.0,I,134462142.5180006,0.0
2026-04-20,2026-04-20 00:00:00,0000919574-26-002306,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,40690.0,3.8822,157966.718,12114700.0,D,134462142.5180006,0.0011748044099390488
2026-04-20,2026-04-20 00:00:00,0000919574-26-002306,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,0.0,0.0,0.0,12114700.0,I,134462142.5180006,0.0
2026-04-17,2026-04-20 00:00:00,0000919574-26-002306,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,40114.0,3.5711,143251.1054,12074010.0,D,134462142.5180006,0.0010653638467855203
2026-04-17,2026-04-20 00:00:00,0000919574-26-002306,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,0.0,0.0,0.0,12074010.0,I,134462142.5180006,0.0
2026-04-16,2026-04-20 00:00:00,0000919574-26-002306,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,102057.0,3.4457,351657.8049,12033896.0,D,134462142.5180006,0.0026152922920510743
2026-04-16,2026-04-20 00:00:00,0000919574-26-002306,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,0.0,0.0,0.0,12033896.0,I,134462142.5180006,0.0
2026-02-10,2026-02-12 00:00:00,0000919574-26-000779,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,521739.0,5.75,2999999.25,11931839.0,D,134462142.5180006,0.02231110700618493
2026-02-10,2026-02-12 00:00:00,0000919574-26-000779,IMDX,Insight Molecular Diagnostics Inc.,0001642380,NASDAQ,2835,In Vitro & In Vivo Diagnostic Substances,Manufacturing,"BROADWOOD PARTNERS, L.P.",0001278386,,false,false,true,P,0.0,0.0,0.0,11931839.0,I,134462142.5180006,0.0
