txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-23,2026-06-24 00:00:00,0001790340-26-000078,IMRX,Immuneering Corp,0001790340,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Zeskind Benjamin J.,0001870062,PRESIDENT AND CEO,true,true,false,P,2400.0,4.5617,10948.08,2315252.0,D,326721892.4400501,3.3508865654017515e-05
2026-06-15,2026-06-16 00:00:00,0001790340-26-000076,IMRX,Immuneering Corp,0001790340,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Hall Brett Matthew,0001870437,CHIEF SCIENTIFIC OFFICER,false,true,false,P,6035.0,4.15,25045.250000000004,382531.0,D,326721892.4400501,7.665617327616187e-05
2026-01-16,2026-01-21 00:00:00,0001790340-26-000016,IMRX,Immuneering Corp,0001790340,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Brakewood Harold Eugene,0001969578,Chief Business Officer,false,true,false,P,5250.0,4.76,24990.0,11050.0,D,326721892.4400501,7.648706921157843e-05
2026-01-15,2026-01-20 00:00:00,0001790340-26-000014,IMRX,Immuneering Corp,0001790340,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Schall Thomas J.,0001423084,,true,false,false,P,21645.0,4.6681,101041.0245,74530.0,D,326721892.4400501,0.00030925697615607415
2026-01-15,2026-01-16 00:00:00,0001790340-26-000012,IMRX,Immuneering Corp,0001790340,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Hall Brett Matthew,0001870437,CHIEF SCIENTIFIC OFFICER,false,true,false,P,2298.0,4.57,10501.86,376496.0,D,326721892.4400501,3.214311695359372e-05
2026-01-13,2026-01-15 00:00:00,0001790340-26-000010,IMRX,Immuneering Corp,0001790340,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Neufeld Leah R,0001950673,CHIEF PEOPLE OFFICER,false,true,false,P,2626.0,4.153,10905.777999999998,25970.0,D,326721892.4400501,3.337939162433411e-05
2026-01-12,2026-01-14 00:00:00,0001790340-26-000008,IMRX,Immuneering Corp,0001790340,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Feinberg Peter,0001870076,,true,false,false,P,20000.0,4.3452,86904.0,135441.0,I,326721892.4400501,0.0002659876855847544
2025-10-03,2025-10-07 00:00:00,0001790340-25-000127,IMRX,Immuneering Corp,0001790340,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Feinberg Peter,0001870076,,true,false,false,P,7500.0,6.67,50025.0,156766.0,D,326721892.4400501,0.00015311187024046464
2025-10-01,2025-10-02 00:00:00,0001790340-25-000121,IMRX,Immuneering Corp,0001790340,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Bookman Michael,0001840339,"CHIEF LEGAL OFFICER, SECRETARY",false,true,false,P,1020.0,6.8299,6966.4980000000005,4870.0,D,326721892.4400501,2.1322409551353453e-05
2025-10-01,2025-10-02 00:00:00,0001790340-25-000123,IMRX,Immuneering Corp,0001790340,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Neufeld Leah R,0001950673,CHIEF PEOPLE OFFICER,false,true,false,P,800.0,6.3792,5103.36,23344.0,D,326721892.4400501,1.5619889937238933e-05
2025-10-01,2025-10-02 00:00:00,0001790340-25-000125,IMRX,Immuneering Corp,0001790340,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Morales Mallory,0001941795,Chief Accounting Officer,false,true,false,P,300.0,6.39,1917.0,27533.0,D,326721892.4400501,5.867375417310759e-06
2025-09-30,2025-10-01 00:00:00,0001790340-25-000119,IMRX,Immuneering Corp,0001790340,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Feinberg Peter,0001870076,,true,false,false,P,7500.0,7.0307,52730.25,149266.0,D,326721892.4400501,0.00016139184799094974
2025-09-29,2025-09-30 00:00:00,0001790340-25-000117,IMRX,Immuneering Corp,0001790340,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Feinberg Peter,0001870076,,true,false,false,P,5000.0,7.18,35900.0,141766.0,D,326721892.4400501,0.00010987938314108307
