txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-07-02,2026-07-02 00:00:00,0001213900-26-075144,INM,InMed Pharmaceuticals Inc.,0001728328,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Vivo Opportunity, LLC",0001728970,,false,false,true,P,1460.0,1.55,2263.0,724395.0,I,5169938.090367794,0.00043772284318379685
2026-07-02,2026-07-02 00:00:00,0001213900-26-075144,INM,InMed Pharmaceuticals Inc.,0001728328,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Vivo Opportunity, LLC",0001728970,,false,false,true,P,147.0,1.55,227.85,73135.0,I,5169938.090367794,4.4072094484943924e-05
2026-07-01,2026-07-02 00:00:00,0001213900-26-075144,INM,InMed Pharmaceuticals Inc.,0001728328,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Vivo Opportunity, LLC",0001728970,,false,false,true,P,3946.0,1.55,6116.3,722935.0,I,5169938.090367794,0.0011830509172625085
2026-07-01,2026-07-02 00:00:00,0001213900-26-075144,INM,InMed Pharmaceuticals Inc.,0001728328,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Vivo Opportunity, LLC",0001728970,,false,false,true,P,398.0,1.55,616.9,72988.0,I,5169938.090367794,0.00011932444629256928
2026-06-30,2026-07-02 00:00:00,0001213900-26-075144,INM,InMed Pharmaceuticals Inc.,0001728328,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Vivo Opportunity, LLC",0001728970,,false,false,true,P,545.0,1.54,839.3000000000001,718989.0,I,5169938.090367794,0.00016234236954669056
2026-06-30,2026-07-02 00:00:00,0001213900-26-075144,INM,InMed Pharmaceuticals Inc.,0001728328,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Vivo Opportunity, LLC",0001728970,,false,false,true,P,55.0,1.54,84.7,72590.0,I,5169938.090367794,1.6383174908381614e-05
2026-06-08,2026-06-10 00:00:00,0001213900-26-067505,INM,InMed Pharmaceuticals Inc.,0001728328,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Vivo Opportunity, LLC",0001728970,,false,false,true,P,29518.0,1.52,44867.36,718444.0,I,5169938.090367794,0.008678510112837367
2026-06-08,2026-06-10 00:00:00,0001213900-26-067505,INM,InMed Pharmaceuticals Inc.,0001728328,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Vivo Opportunity, LLC",0001728970,,false,false,true,P,2982.0,1.52,4532.64,72535.0,I,5169938.090367794,0.0008767300344359721
2026-06-05,2026-06-10 00:00:00,0001213900-26-067505,INM,InMed Pharmaceuticals Inc.,0001728328,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Vivo Opportunity, LLC",0001728970,,false,false,true,P,49966.0,1.57,78446.62000000001,688926.0,I,5169938.090367794,0.015173609166839993
2026-06-05,2026-06-10 00:00:00,0001213900-26-067505,INM,InMed Pharmaceuticals Inc.,0001728328,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Vivo Opportunity, LLC",0001728970,,false,false,true,P,5045.0,1.57,7920.650000000001,69553.0,I,5169938.090367794,0.001532058965030376
