txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-17,2026-06-18 00:00:00,0002029118-26-000063,INR,"INFINITY NATURAL RESOURCES, INC.",0002029118,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Gieselman Scott,0001477713,,true,false,false,P,10000.0,12.944,129440.00000000001,95000.0,I,239833052.81468296,0.0005397087619112168
2026-06-12,2026-06-12 00:00:00,0002029118-26-000060,INR,"INFINITY NATURAL RESOURCES, INC.",0002029118,NYSE,1311,Crude Petroleum & Natural Gas,Mining,GRAY STEVEN D,0001086699,,true,false,false,P,25000.0,12.807,320175.0,40000.0,I,239833052.81468296,0.0013349911375534905
2026-06-11,2026-06-15 00:00:00,0001193125-26-271065,INR,"INFINITY NATURAL RESOURCES, INC.",0002029118,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Quinn William J,0001377293,,true,false,true,P,11497.0,13.1991,151750.0527,66000.0,D,239833052.81468296,0.0006327320230429457
2026-06-11,2026-06-11 00:00:00,0002029118-26-000058,INR,"INFINITY NATURAL RESOURCES, INC.",0002029118,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Poole David P,0001356213,,true,false,false,P,4000.0,13.5,54000.0,27646.0,I,239833052.81468296,0.0002251566219345311
2026-06-10,2026-06-11 00:00:00,0002029118-26-000058,INR,"INFINITY NATURAL RESOURCES, INC.",0002029118,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Poole David P,0001356213,,true,false,false,P,7500.0,13.995,104962.5,23646.0,I,239833052.81468296,0.0004376481838852448
2026-06-05,2026-06-08 00:00:00,0001193125-26-262545,INR,"INFINITY NATURAL RESOURCES, INC.",0002029118,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Quinn William J,0001377293,,true,false,true,P,44000.0,13.1865,580206.0,54503.0,D,239833052.81468296,0.0024192078330767877
2026-06-03,2026-06-05 00:00:00,0001193125-26-259528,INR,"INFINITY NATURAL RESOURCES, INC.",0002029118,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Quinn William J,0001377293,,true,false,true,P,10503.0,13.2,138639.6,10503.0,D,239833052.81468296,0.0005780671111547151
2026-06-03,2026-06-03 00:00:00,0001193125-26-255482,INR,"INFINITY NATURAL RESOURCES, INC.",0002029118,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Gieselman Scott,0001477713,,true,false,false,P,670.0,13.441,9005.470000000001,85000.0,I,239833052.81468296,3.754891118764374e-05
2026-06-02,2026-06-03 00:00:00,0001193125-26-255482,INR,"INFINITY NATURAL RESOURCES, INC.",0002029118,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Gieselman Scott,0001477713,,true,false,false,P,13430.0,13.353,179330.79,84330.0,I,239833052.81468296,0.000747731757134274
2026-05-26,2026-05-27 00:00:00,0001193125-26-241878,INR,"INFINITY NATURAL RESOURCES, INC.",0002029118,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Gieselman Scott,0001477713,,true,false,false,P,20000.0,14.103,282060.0,70900.0,I,239833052.81468296,0.0011760680885713674
2026-05-22,2026-05-27 00:00:00,0001193125-26-241878,INR,"INFINITY NATURAL RESOURCES, INC.",0002029118,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Gieselman Scott,0001477713,,true,false,false,P,900.0,14.34,12906.0,50900.0,I,239833052.81468296,5.381243264235293e-05
2025-12-16,2025-12-17 00:00:00,0001193125-25-323280,INR,"INFINITY NATURAL RESOURCES, INC.",0002029118,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Poole David P,0001356213,,true,false,false,P,8646.0,12.94,111879.23999999999,16146.0,I,239833052.81468296,0.00046648799524079014
