txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-27,2026-03-27 00:00:00,0001493152-26-013355,INSE,"Inspired Entertainment, Inc.",0001615063,NASDAQ,7372,Services-Prepackaged Software,Services,WEIL A LORNE,0000921873,Executive Chairman,true,true,true,P,20000.0,6.8,136000.0,622771.0,I,190499392.8877592,0.0007139130363535078
2026-03-27,2026-03-27 00:00:00,0001493152-26-013357,INSE,"Inspired Entertainment, Inc.",0001615063,NASDAQ,7372,Services-Prepackaged Software,Services,PIERCE BROOKS H,0001250108,President and CEO,false,true,false,P,5000.0,6.76,33800.0,57407.0,D,190499392.8877592,0.00017742838697609237
2026-03-26,2026-03-27 00:00:00,0001493152-26-013355,INSE,"Inspired Entertainment, Inc.",0001615063,NASDAQ,7372,Services-Prepackaged Software,Services,WEIL A LORNE,0000921873,Executive Chairman,true,true,true,P,21659.0,6.85,148364.15,602771.0,I,190499392.8877592,0.0007788169177390241
2026-03-26,2026-03-27 00:00:00,0001493152-26-013357,INSE,"Inspired Entertainment, Inc.",0001615063,NASDAQ,7372,Services-Prepackaged Software,Services,PIERCE BROOKS H,0001250108,President and CEO,false,true,false,P,13332.0,6.88,91724.16,52407.0,D,190499392.8877592,0.00048149318803363943
2026-03-26,2026-03-27 00:00:00,0001493152-26-013359,INSE,"Inspired Entertainment, Inc.",0001615063,NASDAQ,7372,Services-Prepackaged Software,Services,Chambrello Michael R.,0001332058,,true,false,false,P,5188.0,6.9,35797.200000000004,64568.0,D,190499392.8877592,0.00018791240988936611
2026-03-26,2026-03-27 00:00:00,0001493152-26-013359,INSE,"Inspired Entertainment, Inc.",0001615063,NASDAQ,7372,Services-Prepackaged Software,Services,Chambrello Michael R.,0001332058,,true,false,false,P,4812.0,6.95,33443.4,59380.0,D,190499392.8877592,0.000175556464999889
2026-03-25,2026-03-27 00:00:00,0001493152-26-013355,INSE,"Inspired Entertainment, Inc.",0001615063,NASDAQ,7372,Services-Prepackaged Software,Services,WEIL A LORNE,0000921873,Executive Chairman,true,true,true,P,8341.0,6.66,55551.06,581112.0,I,190499392.8877592,0.00029160754350923446
2026-03-25,2026-03-27 00:00:00,0001493152-26-013357,INSE,"Inspired Entertainment, Inc.",0001615063,NASDAQ,7372,Services-Prepackaged Software,Services,PIERCE BROOKS H,0001250108,President and CEO,false,true,false,P,1668.0,6.66,11108.880000000001,39075.0,D,190499392.8877592,5.831451655357909e-05
2025-11-26,2025-12-01 00:00:00,0001493152-25-025598,INSE,"Inspired Entertainment, Inc.",0001615063,NASDAQ,7372,Services-Prepackaged Software,Services,WEIL A LORNE,0000921873,Executive Chairman,true,true,true,P,50000.0,8.11,405500.0,572771.0,I,190499392.8877592,0.0021286157076569664
2025-11-21,2025-11-24 00:00:00,0001493152-25-024874,INSE,"Inspired Entertainment, Inc.",0001615063,NASDAQ,7372,Services-Prepackaged Software,Services,PIERCE BROOKS H,0001250108,President and CEO,false,true,false,P,10000.0,7.39,73900.0,22000.0,D,190499392.8877592,0.0003879277454891487
2025-11-20,2025-11-24 00:00:00,0001493152-25-024874,INSE,"Inspired Entertainment, Inc.",0001615063,NASDAQ,7372,Services-Prepackaged Software,Services,PIERCE BROOKS H,0001250108,President and CEO,false,true,false,P,10000.0,7.04,70400.0,12000.0,D,190499392.8877592,0.0003695549835241687
