txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-16,2026-04-17 00:00:00,0000842517-26-000090,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Bourland Jill,0001715727,,true,false,false,P,6.135,48.9,300.00149999999996,5853.2993,D,305268634.8323822,9.827459023581825e-07
2026-03-16,2026-03-18 00:00:00,0000842517-26-000073,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Bourland Jill,0001715727,,true,false,false,P,6.8135,44.03,299.99840500000005,5840.493,D,305268634.8323822,9.827357637469833e-07
2026-03-02,2026-03-04 00:00:00,0000842517-26-000062,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Schwind Jerome E,0001596032,President & CEO,true,true,false,P,396.0,31.47,12462.119999999999,37493.0473,D,305268634.8323822,4.0823453765051025e-05
2026-03-02,2026-03-04 00:00:00,0000842517-26-000067,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Catlin Jon D,0001893950,Chief Credit Officer,false,true,false,P,103.0,31.47,3241.41,1285.4153,D,305268634.8323822,1.0618221560101655e-05
2026-03-02,2026-03-04 00:00:00,0000842517-26-000065,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Huenemann Michael Kyle,0002076253,Chief Lending Officer,false,true,false,P,61.0,31.47,1919.6699999999998,1097.0622,D,305268634.8323822,6.2884613122932134e-06
2026-03-02,2026-03-04 00:00:00,0000842517-26-000063,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",McDonnell Neil Michael,0001666463,President,true,true,false,P,55.0,31.47,1730.85,12188.9588,D,305268634.8323822,5.669924134034864e-06
2026-02-17,2026-02-18 00:00:00,0000842517-26-000031,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Bourland Jill,0001715727,,true,false,false,P,5.8485,51.295,299.9988075,5825.6795,D,305268634.8323822,9.827370822578095e-07
2026-01-20,2026-01-23 00:00:00,0000842517-26-000015,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Coffin Melinda Marie,0001956983,,true,false,false,P,443.7273,49.58,21999.999534,5554.8758,D,305268634.8323822,7.206767097471322e-05
2026-01-20,2026-01-23 00:00:00,0000842517-26-000018,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Sackett Brian Roy,0002038303,,true,false,false,P,403.3885,49.58,20000.00183,4159.297,D,305268634.8323822,6.5516071904936e-05
2026-01-20,2026-01-23 00:00:00,0000842517-26-000014,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",McDonnell Neil Michael,0001666463,President,true,true,false,P,302.5414,49.58,15000.002612,9870.2812,D,305268634.8323822,4.9137057989060176e-05
2026-01-20,2026-01-23 00:00:00,0000842517-26-000019,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Opperman Sarah R,0001554598,,true,false,false,P,277.3296,49.58,13750.001568000001,24412.0602,D,305268634.8323822,4.5042300449733045e-05
2026-01-20,2026-01-21 00:00:00,0000842517-26-000007,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Bourland Jill,0001715727,,true,false,false,P,242.0331,49.58,12000.001097999999,5819.831,D,305268634.8323822,3.930964314296159e-05
2026-01-20,2026-01-23 00:00:00,0000842517-26-000016,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Behen David Brian,0002060315,,true,false,false,P,242.0331,49.58,12000.001097999999,610.9958,D,305268634.8323822,3.930964314296159e-05
2026-01-20,2026-01-23 00:00:00,0000842517-26-000017,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Evans Jae A,0001595809,,true,false,false,P,201.0,49.58,9965.58,26953.2488,D,305268634.8323822,3.2645279805676496e-05
2026-01-16,2026-01-21 00:00:00,0000842517-26-000007,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Bourland Jill,0001715727,,true,false,false,P,6.0,50.0,300.0,5577.7979,D,305268634.8323822,9.827409886532394e-07
2025-08-18,2025-08-19 00:00:00,0000842517-25-000137,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Bourland Jill,0001715727,,true,false,false,P,9.375,32.0,300.0,5509.0148,D,305268634.8323822,9.827409886532394e-07
2025-07-16,2025-07-17 00:00:00,0000842517-25-000129,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Bourland Jill,0001715727,,true,false,false,P,9.3691,32.02,299.998582,5499.6398,D,305268634.8323822,9.827363435641664e-07
2025-06-16,2025-06-18 00:00:00,0000842517-25-000123,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Bourland Jill,0001715727,,true,false,false,P,9.0868,33.015,300.000702,5481.8642,D,305268634.8323822,9.827432882671527e-07
2025-05-16,2025-05-16 00:00:00,0000842517-25-000107,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Bourland Jill,0001715727,,true,false,false,P,10.7972,27.785,300.000202,5458.7774,D,305268634.8323822,9.827416503655051e-07
2025-05-13,2025-05-14 00:00:00,0000842517-25-000106,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Behen David Brian,0002060315,,true,false,false,P,366.9725,27.25,10000.000625,366.9725,D,305268634.8323822,3.275803500248504e-05
2025-05-09,2025-05-13 00:00:00,0000842517-25-000105,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",McDonnell Neil Michael,0001666463,President,true,true,false,P,15.0,27.6,414.0,42.0,I,305268634.8323822,1.3561825643414704e-06
2025-05-01,2025-05-02 00:00:00,0000842517-25-000090,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Schaefer William M,0002018992,Chief Financial Officer,false,true,false,P,80.9717,24.7,2000.00099,7249.0831,D,305268634.8323822,6.551609834066859e-06
2025-05-01,2025-05-02 00:00:00,0000842517-25-000093,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Catlin Jon D,0001893950,Chief Credit Officer,false,true,false,P,12.1458,24.7,300.00126,1176.037,D,305268634.8323822,9.827451161653918e-07
2025-05-01,2025-05-02 00:00:00,0000842517-25-000092,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",WHEELER PEGGY,0001257659,Chief Operations Officer,false,true,false,P,10.1215,24.7,250.00104999999996,8871.1798,D,305268634.8323822,8.189542634711597e-07
2025-05-01,2025-05-02 00:00:00,0000842517-25-000091,ISBA,ISABELLA BANK CORP,0000842517,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Schwind Jerome E,0001596032,President & CEO,true,true,false,P,8.0972,24.7,200.00084,32021.7963,D,305268634.8323822,6.551634107769279e-07
