txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-27,2026-08-28 00:00:00,0001536588-26-000029,JCTC,JEWETT CAMERON TRADING CO LTD,0000885307,NASDAQ,5211,Retail-Lumber & Other Building Materials Dealers,Retail Trade,"AJB Investment Fund II, LP",0001536588,,false,false,true,P,2327.0,2.9,6748.3,476971.0,I,10349132.421422482,0.0006520643204865332
2026-08-26,2026-08-28 00:00:00,0001536588-26-000029,JCTC,JEWETT CAMERON TRADING CO LTD,0000885307,NASDAQ,5211,Retail-Lumber & Other Building Materials Dealers,Retail Trade,"AJB Investment Fund II, LP",0001536588,,false,false,true,P,209.0,2.9,606.1,474644.0,I,10349132.421422482,5.8565295651777155e-05
2026-08-25,2026-08-25 00:00:00,0001536588-26-000028,JCTC,JEWETT CAMERON TRADING CO LTD,0000885307,NASDAQ,5211,Retail-Lumber & Other Building Materials Dealers,Retail Trade,"AJB Investment Fund II, LP",0001536588,,false,false,true,P,5000.0,2.9,14500.0,473444.0,I,10349132.421422482,0.0014010836280329462
2026-08-25,2026-08-25 00:00:00,0001536588-26-000028,JCTC,JEWETT CAMERON TRADING CO LTD,0000885307,NASDAQ,5211,Retail-Lumber & Other Building Materials Dealers,Retail Trade,"AJB Investment Fund II, LP",0001536588,,false,false,true,P,991.0,2.9,2873.9,474435.0,I,10349132.421422482,0.00027769477507612995
2026-08-24,2026-08-25 00:00:00,0001536588-26-000028,JCTC,JEWETT CAMERON TRADING CO LTD,0000885307,NASDAQ,5211,Retail-Lumber & Other Building Materials Dealers,Retail Trade,"AJB Investment Fund II, LP",0001536588,,false,false,true,P,1197.0,2.9,3471.2999999999997,468444.0,I,10349132.421422482,0.0003354194205510873
2026-08-21,2026-08-21 00:00:00,0001536588-26-000026,JCTC,JEWETT CAMERON TRADING CO LTD,0000885307,NASDAQ,5211,Retail-Lumber & Other Building Materials Dealers,Retail Trade,"AJB Investment Fund II, LP",0001536588,,false,false,true,P,854.0,2.905,2480.87,467247.0,I,10349132.421422482,0.00023971767863986863
2026-08-20,2026-08-21 00:00:00,0001536588-26-000026,JCTC,JEWETT CAMERON TRADING CO LTD,0000885307,NASDAQ,5211,Retail-Lumber & Other Building Materials Dealers,Retail Trade,"AJB Investment Fund II, LP",0001536588,,false,false,true,P,5000.0,2.905,14524.999999999998,461350.0,I,10349132.421422482,0.001403499289460589
2026-08-20,2026-08-21 00:00:00,0001536588-26-000026,JCTC,JEWETT CAMERON TRADING CO LTD,0000885307,NASDAQ,5211,Retail-Lumber & Other Building Materials Dealers,Retail Trade,"AJB Investment Fund II, LP",0001536588,,false,false,true,P,5000.0,2.9014,14507.000000000002,466350.0,I,10349132.421422482,0.0014017600132326864
2026-08-20,2026-08-21 00:00:00,0001536588-26-000026,JCTC,JEWETT CAMERON TRADING CO LTD,0000885307,NASDAQ,5211,Retail-Lumber & Other Building Materials Dealers,Retail Trade,"AJB Investment Fund II, LP",0001536588,,false,false,true,P,43.0,2.9233,125.7019,466393.0,I,10349132.421422482,1.2146129248457559e-05
2026-08-14,2026-08-14 00:00:00,0001536588-26-000025,JCTC,JEWETT CAMERON TRADING CO LTD,0000885307,NASDAQ,5211,Retail-Lumber & Other Building Materials Dealers,Retail Trade,"AJB Investment Fund II, LP",0001536588,,false,false,true,P,519.0,2.905,1507.695,456350.0,I,10349132.421422482,0.00014568322624600914
