txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-26,2026-08-28 00:00:00,0001318894-26-000005,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Kinney Jonathan Craig,0001318894,,true,false,false,P,1238.0,22.92,28374.960000000003,279926.0,I,318369735.50330734,8.912580825291804e-05
2026-08-26,2026-08-28 00:00:00,0001318894-26-000005,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Kinney Jonathan Craig,0001318894,,true,false,false,P,1119.0,22.92,25647.480000000003,330001.0,D,318369735.50330734,8.055878791196711e-05
2026-08-26,2026-08-28 00:00:00,0001898808-26-000003,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Chase Philip,0001898808,,true,false,false,P,133.0,22.96,3053.6800000000003,32408.0,D,318369735.50330734,9.591615217986942e-06
2026-06-03,2026-06-05 00:00:00,0001318894-26-000002,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Kinney Jonathan Craig,0001318894,,true,false,false,P,1208.0,21.03,25404.24,278688.0,I,318369735.50330734,7.979477056711659e-05
2026-06-03,2026-06-05 00:00:00,0001318894-26-000002,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Kinney Jonathan Craig,0001318894,,true,false,false,P,1092.0,21.03,22964.760000000002,328882.0,D,318369735.50330734,7.213235882391666e-05
2026-06-03,2026-06-05 00:00:00,0001898828-26-000002,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Mahan Oscar Leland,0001898828,,true,false,false,P,179.0,21.03,3764.3700000000003,94981.0,D,318369735.50330734,1.1823893983041283e-05
2025-12-05,2025-12-08 00:00:00,0001318894-25-000011,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Kinney Jonathan Craig,0001318894,,true,false,false,P,500.0,19.63,9815.0,325652.0,D,318369735.50330734,3.082893537127067e-05
2025-12-02,2025-12-04 00:00:00,0001318894-25-000009,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Kinney Jonathan Craig,0001318894,,true,false,false,P,900.0,19.3,17370.0,324707.0,D,318369735.50330734,5.45592060518565e-05
2025-12-02,2025-12-04 00:00:00,0001318894-25-000009,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Kinney Jonathan Craig,0001318894,,true,false,false,P,445.0,19.4,8633.0,325152.0,D,318369735.50330734,2.711627091800099e-05
2025-11-06,2025-11-10 00:00:00,0001318894-25-000007,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Kinney Jonathan Craig,0001318894,,true,false,false,P,500.0,18.9,9450.0,323807.0,D,318369735.50330734,2.9682469613704316e-05
2025-11-05,2025-11-06 00:00:00,0001318894-25-000005,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Kinney Jonathan Craig,0001318894,,true,false,false,P,500.0,18.71,9355.0,323307.0,D,318369735.50330734,2.938407441652951e-05
2025-11-05,2025-11-06 00:00:00,0001318894-25-000005,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Kinney Jonathan Craig,0001318894,,true,false,false,P,300.0,18.7,5610.0,322807.0,D,318369735.50330734,1.762102164369113e-05
2025-11-04,2025-11-06 00:00:00,0001318894-25-000005,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Kinney Jonathan Craig,0001318894,,true,false,false,P,400.0,18.95,7580.0,322507.0,D,318369735.50330734,2.3808795732473938e-05
2025-10-31,2025-11-03 00:00:00,0001318894-25-000003,JMSB,"John Marshall Bancorp, Inc.",0001710482,NASDAQ,6022,State Commercial Banks,"Finance, Insurance, Real Estate",Kinney Jonathan Craig,0001318894,,true,false,false,P,500.0,18.85,9425.0,322107.0,D,318369735.50330734,2.960394456181621e-05
