txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-21,2026-04-23 00:00:00,0001214659-26-005023,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,509.0,8.58,4367.22,1645803.0,D,130050668.78726006,3.358091150722186e-05
2026-02-12,2026-02-17 00:00:00,0001214659-26-002092,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,15397.0,8.5,130874.5,1645294.0,D,130050668.78726006,0.0010063346941651457
2026-02-11,2026-02-13 00:00:00,0001214659-26-001739,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,448.0,8.7,3897.5999999999995,1639597.0,D,130050668.78726006,2.9969857412850257e-05
2026-01-26,2026-01-27 00:00:00,0001214659-26-000898,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,725.0,10.0,7250.0,1639149.0,D,130050668.78726006,5.5747502628069685e-05
2026-01-23,2026-01-27 00:00:00,0001214659-26-000898,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,16753.0,10.0,167530.0,1638424.0,D,130050668.78726006,0.0012881902227973123
2026-01-06,2026-01-08 00:00:00,0001214659-26-000288,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,5240.0,8.89,46583.600000000006,1621671.0,D,130050668.78726006,0.00035819577426550995
2026-01-02,2026-01-05 00:00:00,0001214659-26-000129,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,1393.0,8.7,12119.099999999999,1616431.0,D,130050668.78726006,9.318752539308127e-05
2025-12-31,2026-01-05 00:00:00,0001214659-26-000129,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,11.0,8.7,95.69999999999999,1615038.0,D,130050668.78726006,7.358670346905198e-07
2025-12-05,2025-12-09 00:00:00,0001214659-25-017802,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,10000.0,8.41,84100.0,1615027.0,D,130050668.78726006,0.0006466710304856083
2025-12-01,2025-12-03 00:00:00,0001214659-25-017579,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,13000.0,8.41,109330.0,1605027.0,D,130050668.78726006,0.0008406723396312909
2025-11-25,2025-11-25 00:00:00,0001214659-25-017240,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,2081.0,8.43,17542.829999999998,1592027.0,D,130050668.78726006,0.00013489227055569374
2025-11-24,2025-11-25 00:00:00,0001214659-25-017240,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,4680.0,8.36,39124.799999999996,1589946.0,D,130050668.78726006,0.0003008427435617518
2025-11-21,2025-11-25 00:00:00,0001214659-25-017240,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",JOBSON CHARLES E,0001232587,,false,false,true,P,10000.0,8.5,85000.0,1599946.0,D,130050668.78726006,0.0006535914101221963
2025-08-20,2025-08-22 00:00:00,0000950170-25-111000,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",Grandpre Christopher M,0002075919,,true,false,false,P,10000.0,10.4082,104082.00000000001,39383.0,D,130050668.78726006,0.0008003188370392758
2025-08-18,2025-08-19 00:00:00,0000950170-25-110202,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",Grandpre Christopher M,0002075919,,true,false,false,P,10000.0,10.6978,106978.00000000001,29383.0,D,130050668.78726006,0.0008225870808476744
2025-08-15,2025-08-19 00:00:00,0000950170-25-110202,JYNT,JOINT Corp,0001612630,NASDAQ,6794,Patent Owners & Lessors,"Finance, Insurance, Real Estate",Grandpre Christopher M,0002075919,,true,false,false,P,14388.0,10.8793,156531.3684,19383.0,D,130050668.78726006,0.0012036183270695646
