txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-17,2026-09-18 00:00:00,0001982651-26-000004,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Wong-Zaza Melvina,0001982651,,true,false,false,P,1560.0,9.635,15030.6,35470.0,D,590038398.1394768,2.5473935336064312e-05
2026-08-10,2026-08-11 00:00:00,0001246479-26-000002,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",MONTANARO LEOPOLD W,0001246479,,true,false,false,P,4773.0,9.46,45152.58,270000.0,D,590038398.1394768,7.65248162532747e-05
2026-07-27,2026-07-28 00:00:00,0001310881-26-000010,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Fields Curtland E,0001310881,,true,false,false,P,9742.0,9.41,91672.22,57200.0,D,590038398.1394768,0.00015536653256646184
2026-07-27,2026-07-28 00:00:00,0001310881-26-000010,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Fields Curtland E,0001310881,,true,false,false,P,3900.0,9.3999,36659.61,47458.0,D,590038398.1394768,6.213088862622493e-05
2026-07-27,2026-07-28 00:00:00,0001310881-26-000010,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Fields Curtland E,0001310881,,true,false,false,P,700.0,9.395,6576.5,57900.0,D,590038398.1394768,1.1145884777562236e-05
2026-07-27,2026-07-28 00:00:00,0001310881-26-000010,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Fields Curtland E,0001310881,,true,false,false,P,358.0,9.4,3365.2000000000003,43558.0,D,590038398.1394768,5.703357629963117e-06
2026-06-18,2026-06-18 00:00:00,0001310881-26-000008,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Fields Curtland E,0001310881,,true,false,false,P,1972.0,8.41,16584.52,42800.0,D,590038398.1394768,2.8107526649612477e-05
2026-06-18,2026-06-18 00:00:00,0001310881-26-000008,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Fields Curtland E,0001310881,,true,false,false,P,1228.0,8.4,10315.2,40828.0,D,590038398.1394768,1.7482252057706985e-05
2026-06-18,2026-06-18 00:00:00,0001310881-26-000008,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Fields Curtland E,0001310881,,true,false,false,P,400.0,8.42,3368.0,43200.0,D,590038398.1394768,5.708103083833286e-06
2026-06-17,2026-06-18 00:00:00,0001310881-26-000008,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Fields Curtland E,0001310881,,true,false,false,P,4950.0,8.335,41258.25000000001,39600.0,D,590038398.1394768,6.992468647819618e-05
2026-06-12,2026-06-15 00:00:00,0001310881-26-000006,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Fields Curtland E,0001310881,,true,false,false,P,4950.0,8.7146,43137.270000000004,34650.0,D,590038398.1394768,7.310925888217017e-05
2026-06-11,2026-06-12 00:00:00,0001982651-26-000002,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Wong-Zaza Melvina,0001982651,,true,false,false,P,3500.0,8.575,30012.499999999996,33910.0,D,590038398.1394768,5.0865333670886726e-05
2026-06-10,2026-06-11 00:00:00,0001310881-26-000004,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Fields Curtland E,0001310881,,true,false,false,P,4800.0,8.6098,41327.04,29700.0,D,590038398.1394768,7.004127211095653e-05
2026-06-08,2026-06-09 00:00:00,0001310881-26-000002,KRNY,Kearny Financial Corp.,0001617242,NASDAQ,6035,"Savings Institution, Federally Chartered","Finance, Insurance, Real Estate",Fields Curtland E,0001310881,,true,false,false,P,1840.0,8.41,15474.4,23740.0,D,590038398.1394768,2.6226089774486286e-05
