txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-18,2026-05-18 00:00:00,0001549592-26-000006,KRO,KRONOS WORLDWIDE INC,0001257640,NYSE,2810,Industrial Inorganic Chemicals,Manufacturing,Kramer Kevin B,0001549592,,true,false,false,P,6800.0,6.77,46036.0,44411.461,D,782361210.7446404,5.8842385547442445e-05
2026-05-18,2026-05-18 00:00:00,0001549592-26-000006,KRO,KRONOS WORLDWIDE INC,0001257640,NYSE,2810,Industrial Inorganic Chemicals,Manufacturing,Kramer Kevin B,0001549592,,true,false,false,P,3735.0,6.75,25211.25,37276.461,D,782361210.7446404,3.222456539736203e-05
2026-05-18,2026-05-18 00:00:00,0001549592-26-000006,KRO,KRONOS WORLDWIDE INC,0001257640,NYSE,2810,Industrial Inorganic Chemicals,Manufacturing,Kramer Kevin B,0001549592,,true,false,false,P,3731.0,6.7,24997.7,33541.461,D,782361210.7446404,3.195160963592193e-05
2026-05-18,2026-05-18 00:00:00,0001549592-26-000006,KRO,KRONOS WORLDWIDE INC,0001257640,NYSE,2810,Industrial Inorganic Chemicals,Manufacturing,Kramer Kevin B,0001549592,,true,false,false,P,335.0,6.76,2264.6,37611.461,D,782361210.7446404,2.8945709077838682e-06
2025-08-15,2025-08-18 00:00:00,0001813137-25-000004,KRO,KRONOS WORLDWIDE INC,0001257640,NYSE,2810,Industrial Inorganic Chemicals,Manufacturing,McCoy Kristin B,0001813137,"Executive VP, Global Tax",false,true,false,P,2000.0,6.05,12100.0,2000.0,D,782361210.7446404,1.5466001935964322e-05
2025-08-13,2025-08-14 00:00:00,0001364549-25-000005,KRO,KRONOS WORLDWIDE INC,0001257640,NYSE,2810,Industrial Inorganic Chemicals,Manufacturing,NACE ANDREW B,0001364549,Executive Vice President,false,true,false,P,1000.0,5.77,5770.0,18453.147,D,782361210.7446404,7.3751100140920784e-06
2025-08-13,2025-08-14 00:00:00,0001364549-25-000005,KRO,KRONOS WORLDWIDE INC,0001257640,NYSE,2810,Industrial Inorganic Chemicals,Manufacturing,NACE ANDREW B,0001364549,Executive Vice President,false,true,false,P,1000.0,5.76,5760.0,17453.147,D,782361210.7446404,7.3623281943102896e-06
2025-08-13,2025-08-14 00:00:00,0001364549-25-000005,KRO,KRONOS WORLDWIDE INC,0001257640,NYSE,2810,Industrial Inorganic Chemicals,Manufacturing,NACE ANDREW B,0001364549,Executive Vice President,false,true,false,P,500.0,5.98,2990.0,19453.147,D,782361210.7446404,3.82176411475482e-06
2025-08-13,2025-08-14 00:00:00,0001364549-25-000005,KRO,KRONOS WORLDWIDE INC,0001257640,NYSE,2810,Industrial Inorganic Chemicals,Manufacturing,NACE ANDREW B,0001364549,Executive Vice President,false,true,false,P,500.0,5.96,2980.0,18953.147,D,782361210.7446404,3.808982294973032e-06
2025-08-11,2025-08-12 00:00:00,0001890996-25-000004,KRO,KRONOS WORLDWIDE INC,0001257640,NYSE,2810,Industrial Inorganic Chemicals,Manufacturing,Reichert Bart W,0001890996,"Vice President, Internal Audit",false,true,false,P,20000.0,4.96,99200.0,20000.0,D,782361210.7446404,0.00012679565223534388
2025-08-11,2025-08-11 00:00:00,0001771420-25-000004,KRO,KRONOS WORLDWIDE INC,0001257640,NYSE,2810,Industrial Inorganic Chemicals,Manufacturing,Simmons Michael Shawn,0001771420,Vice Chairman of the Board,true,true,false,P,5000.0,4.87,24350.0,5000.0,D,782361210.7446404,3.112373116865548e-05
2025-08-11,2025-08-11 00:00:00,0001675650-25-000005,KRO,KRONOS WORLDWIDE INC,0001257640,NYSE,2810,Industrial Inorganic Chemicals,Manufacturing,Samford Amy A.,0001675650,"Executive VP, Finance",false,true,false,P,3000.0,4.825,14475.0,5000.0,D,782361210.7446404,1.850168413413914e-05
2025-08-11,2025-08-12 00:00:00,0001715111-25-000004,KRO,KRONOS WORLDWIDE INC,0001257640,NYSE,2810,Industrial Inorganic Chemicals,Manufacturing,Hanley Bryan A.,0001715111,Senior VP and Treasurer,false,true,false,P,2500.0,4.9,12250.0,6000.0,D,782361210.7446404,1.5657729232691155e-05
