txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-30,2026-07-01 00:00:00,0001072627-26-000043,KWY,KINGSWAY Corp,0001072627,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",Fitzgerald John Taylor Maloney,0001584349,President and CEO,true,true,false,P,239.0,10.45,2497.5499999999997,1425880.0,D,300570312.0,8.309370221500784e-06
2026-06-30,2026-07-01 00:00:00,0001072627-26-000044,KWY,KINGSWAY Corp,0001072627,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",Hansen Kent A,0001686017,CFO & EVP,false,true,false,P,149.0,10.45,1557.05,135702.0,D,300570312.0,5.180318673655301e-06
2026-06-15,2026-06-15 00:00:00,0001072627-26-000040,KWY,KINGSWAY Corp,0001072627,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",Fitzgerald John Taylor Maloney,0001584349,President and CEO,true,true,false,P,240.0,10.43,2503.2,1455874.0,D,300570312.0,8.328167819847756e-06
2026-06-15,2026-06-15 00:00:00,0001072627-26-000041,KWY,KINGSWAY Corp,0001072627,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",Hansen Kent A,0001686017,CFO & EVP,false,true,false,P,150.0,10.43,1564.5,135553.0,D,300570312.0,5.205104887404848e-06
2026-05-29,2026-06-01 00:00:00,0001104659-26-069022,KWY,KINGSWAY Corp,0001072627,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",Horowitz Joshua,0001612424,,true,false,false,P,3800.0,9.9105,37659.9,372000.0,I,300570312.0,0.0001252948095552431
2026-05-29,2026-06-01 00:00:00,0001072627-26-000038,KWY,KINGSWAY Corp,0001072627,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",Fitzgerald John Taylor Maloney,0001584349,President and CEO,true,true,false,P,250.0,10.03,2507.5,1455634.0,D,300570312.0,8.342473956642797e-06
2026-05-29,2026-06-01 00:00:00,0001072627-26-000039,KWY,KINGSWAY Corp,0001072627,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",Hansen Kent A,0001686017,CFO & EVP,false,true,false,P,156.0,10.03,1564.6799999999998,135403.0,D,300570312.0,5.2057037489451046e-06
2026-05-28,2026-06-01 00:00:00,0001104659-26-069022,KWY,KINGSWAY Corp,0001072627,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",Horowitz Joshua,0001612424,,true,false,false,P,700.0,9.95,6964.999999999999,368200.0,I,300570312.0,2.3172614599408605e-05
2026-05-15,2026-05-19 00:00:00,0001072627-26-000032,KWY,KINGSWAY Corp,0001072627,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",Fitzgerald John Taylor Maloney,0001584349,President and CEO,true,true,false,P,230.0,10.85,2495.5,1461641.0,D,300570312.0,8.302549853958962e-06
2026-05-15,2026-05-19 00:00:00,0001072627-26-000031,KWY,KINGSWAY Corp,0001072627,NYSE,6331,"Fire, Marine & Casualty Insurance","Finance, Insurance, Real Estate",Hansen Kent A,0001686017,CFO & EVP,false,true,false,P,144.0,10.85,1562.3999999999999,135247.0,D,300570312.0,5.198118169435176e-06
