txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-24,2026-06-24 00:00:00,0001352283-26-000003,KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",0001293613,NYSE,,,,Hennigan Michael J,0001352283,,true,false,false,P,5000.0,13.61,68050.0,20000.0,D,2347469426.794939,2.898866295051622e-05
2026-06-24,2026-06-24 00:00:00,0001352283-26-000003,KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",0001293613,NYSE,,,,Hennigan Michael J,0001352283,,true,false,false,P,5000.0,13.58,67900.0,10000.0,D,2347469426.794939,2.892476435473992e-05
2026-06-24,2026-06-24 00:00:00,0001352283-26-000003,KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",0001293613,NYSE,,,,Hennigan Michael J,0001352283,,true,false,false,P,5000.0,13.53,67650.0,15000.0,D,2347469426.794939,2.8818266695112745e-05
2026-06-23,2026-06-24 00:00:00,0001352283-26-000003,KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",0001293613,NYSE,,,,Hennigan Michael J,0001352283,,true,false,false,P,5000.0,13.6,68000.0,5000.0,D,2347469426.794939,2.8967363418590786e-05
2026-06-02,2026-06-02 00:00:00,0001221455-26-000005,KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",0001293613,NYSE,,,,Ladhani Holli C.,0001221455,,true,false,false,P,3621.0,13.81,50006.01,7221.0,D,2347469426.794939,2.130209212917184e-05
2026-05-13,2026-05-13 00:00:00,0001921778-26-000002,KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",0001293613,NYSE,,,,Parker Austin Colby,0001921778,CFO and Treasurer,false,true,false,P,2500.0,13.99,34975.0,14622.89,D,2347469426.794939,1.4899022581841364e-05
2026-04-27,2026-04-27 00:00:00,0001331674-26-000004,KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",0001293613,NYSE,,,,Baker James C,0001331674,President,true,true,false,P,25000.0,13.57,339250.0,1003019.0,D,2347469426.794939,0.00014451732411407243
2026-04-17,2026-04-20 00:00:00,0002025837-26-000002,KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",0001293613,NYSE,,,,Little Harrison James,0002025837,Executive Vice President,false,true,false,P,5000.0,13.1901,65950.5,20661.884,D,2347469426.794939,2.809429560496723e-05
2026-04-08,2026-04-08 00:00:00,0001331674-26-000003,KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",0001293613,NYSE,,,,Baker James C,0001331674,President,true,true,false,P,25000.0,13.67,341750.0,978019.0,D,2347469426.794939,0.00014558230071034413
2026-03-27,2026-03-27 00:00:00,0001331674-26-000002,KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",0001293613,NYSE,,,,Baker James C,0001331674,President,true,true,false,P,25000.0,14.38,359500.0,936040.0,D,2347469426.794939,0.00015314363454387335
