txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-03,2026-03-04 00:00:00,0001625641-26-000071,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,Hill Scott A,0001397778,,true,false,false,P,8918.0,3.73,33264.14,50000.0,I,261548830.93743038,0.0001271813751978027
2026-03-02,2026-03-04 00:00:00,0001625641-26-000071,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,Hill Scott A,0001397778,,true,false,false,P,41082.0,3.31,135981.42,41082.0,I,261548830.93743038,0.000519908345652405
2026-02-27,2026-03-03 00:00:00,0001193125-26-089363,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,GOODMAN ROBERT P,0001252022,,true,false,false,P,1026700.0,3.19,3275173.0,1038475.0,I,261548830.93743038,0.01252222381672014
2026-02-27,2026-03-02 00:00:00,0001625641-26-000065,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,Srinivasan Krishna,0001439921,,true,false,false,P,40000.0,3.25,130000.0,45000.0,D,261548830.93743038,0.0004970391170706458
2026-02-27,2026-03-02 00:00:00,0001625641-26-000063,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,Friedrichsen Eric,0002019077,Chief Executive Officer,true,true,false,P,15500.0,2.9,44950.0,1508172.0,D,261548830.93743038,0.00017186083317173484
2026-02-26,2026-03-02 00:00:00,0001625641-26-000065,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,Srinivasan Krishna,0001439921,,true,false,false,P,5000.0,2.77,13850.0,5000.0,D,261548830.93743038,5.295378285714188e-05
2026-02-09,2026-02-11 00:00:00,0001625641-26-000011,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,Offerdahl James,0001490198,,true,false,false,P,3000.0,3.99,11970.0,223652.0,D,261548830.93743038,4.576583254873561e-05
2025-11-10,2025-11-12 00:00:00,0001625641-25-000176,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,Friedrichsen Eric,0002019077,Chief Executive Officer,true,true,false,P,6660.0,6.68,44488.799999999996,1153727.0,D,261548830.93743038,0.0001700974913194811
2025-11-04,2025-11-05 00:00:00,0001625641-25-000174,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,BOGAN THOMAS F,0001145713,,true,false,false,P,7001.0,5.98,41865.98,171090.0,D,261548830.93743038,0.00016006945949613322
2025-10-20,2025-10-21 00:00:00,0001625641-25-000163,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,BOGAN THOMAS F,0001145713,,true,false,false,P,6929.0,5.98,41435.420000000006,164089.0,D,261548830.93743038,0.00015842326594039523
2025-10-17,2025-10-21 00:00:00,0001625641-25-000163,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,BOGAN THOMAS F,0001145713,,true,false,false,P,17902.0,5.94,106337.88,157160.0,D,261548830.93743038,0.0004065698922028022
2025-10-07,2025-10-09 00:00:00,0001625641-25-000161,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,BOGAN THOMAS F,0001145713,,true,false,false,P,13680.0,5.95,81396.0,139258.0,D,261548830.93743038,0.00031120766133140216
2025-09-16,2025-09-17 00:00:00,0001625641-25-000157,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,BOGAN THOMAS F,0001145713,,true,false,false,P,6500.0,5.99,38935.0,125578.0,D,261548830.93743038,0.0001488632155626584
2025-09-15,2025-09-16 00:00:00,0001625641-25-000155,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,BOGAN THOMAS F,0001145713,,true,false,false,P,17988.0,5.98,107568.24,119078.0,D,261548830.93743038,0.0004112740233418717
2025-09-12,2025-09-16 00:00:00,0001625641-25-000155,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,BOGAN THOMAS F,0001145713,,true,false,false,P,30000.0,5.8,174000.0,101090.0,D,261548830.93743038,0.0006652677413099413
2025-08-14,2025-08-15 00:00:00,0001625641-25-000129,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,Offerdahl James,0001490198,,true,false,false,P,6500.0,4.92,31980.0,220652.0,D,261548830.93743038,0.00012227162279937885
2025-08-11,2025-08-12 00:00:00,0001625641-25-000122,LAW,"CS Disco, Inc.",0001625641,NYSE,7372,Services-Prepackaged Software,Services,Friedrichsen Eric,0002019077,Chief Executive Officer,true,true,false,P,10000.0,4.51,45100.0,1147067.0,D,261548830.93743038,0.00017243433984527788
