txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-04,2026-08-05 00:00:00,0001475597-26-000186,LGHL,Lion Group Holding Ltd,0001806524,NASDAQ,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",HRT FINANCIAL LP,0001475597,,false,false,true,P,13764.0,0.92,12662.880000000001,86647.0,D,6553357.257090151,0.001932273719138368
2026-07-31,2026-08-03 00:00:00,0001475597-26-000184,LGHL,Lion Group Holding Ltd,0001806524,NASDAQ,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",HRT FINANCIAL LP,0001475597,,false,false,true,P,34355.0,0.943,32396.765,74710.0,D,6553357.257090151,0.0049435371412034
2026-07-24,2026-07-27 00:00:00,0001475597-26-000166,LGHL,Lion Group Holding Ltd,0001806524,NASDAQ,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",HRT FINANCIAL LP,0001475597,,false,false,true,P,27702.0,0.954,26427.708,82962.0,D,6553357.257090151,0.004032697587394242
2026-07-17,2026-07-21 00:00:00,0001475597-26-000162,LGHL,Lion Group Holding Ltd,0001806524,NASDAQ,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",HRT FINANCIAL LP,0001475597,,false,false,true,P,36.0,1.77,63.72,103050.0,D,6553357.257090151,9.723260536583842e-06
2026-07-16,2026-07-17 00:00:00,0001475597-26-000161,LGHL,Lion Group Holding Ltd,0001806524,NASDAQ,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",HRT FINANCIAL LP,0001475597,,false,false,true,P,32033.0,1.82,58300.060000000005,103014.0,D,6553357.257090151,0.008896212691124769
2026-07-15,2026-07-17 00:00:00,0001475597-26-000161,LGHL,Lion Group Holding Ltd,0001806524,NASDAQ,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",HRT FINANCIAL LP,0001475597,,false,false,true,P,66757.0,1.89,126170.73,70981.0,D,6553357.257090151,0.019252838667309716
2026-04-09,2026-04-13 00:00:00,0001475597-26-000014,LGHL,Lion Group Holding Ltd,0001806524,NASDAQ,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",HRT FINANCIAL LP,0001475597,,false,false,true,P,1452.0,0.89,1292.28,43217.0,D,6553357.257090151,0.00019719358327395742
2026-04-08,2026-04-09 00:00:00,0001475597-26-000013,LGHL,Lion Group Holding Ltd,0001806524,NASDAQ,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",HRT FINANCIAL LP,0001475597,,false,false,true,P,590.0,0.96,566.4,41765.0,D,6553357.257090151,8.642898254741193e-05
2026-04-07,2026-04-09 00:00:00,0001475597-26-000013,LGHL,Lion Group Holding Ltd,0001806524,NASDAQ,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",HRT FINANCIAL LP,0001475597,,false,false,true,P,24433.0,0.9,21989.7,41175.0,D,6553357.257090151,0.0033554862244400143
2026-04-02,2026-04-09 00:00:00,0001475597-26-000013,LGHL,Lion Group Holding Ltd,0001806524,NASDAQ,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",HRT FINANCIAL LP,0001475597,,false,false,true,P,31629.0,0.83,26252.07,23179.0,D,6553357.257090151,0.004005896362753242
2026-03-19,2026-03-23 00:00:00,0001475597-26-000011,LGHL,Lion Group Holding Ltd,0001806524,NASDAQ,6211,"Security Brokers, Dealers & Flotation Companies","Finance, Insurance, Real Estate",HRT FINANCIAL LP,0001475597,,false,false,true,P,4122.0,1.1,4534.200000000001,23549.0,D,6553357.257090151,0.000691889641007195
