txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-24,2026-08-24 00:00:00,0001193125-26-363730,LIEN,"Chicago Atlantic BDC, Inc.",0001843162,NASDAQ,,,,Gordon Scott,0001784452,Co-Chief Investment Officer,true,true,false,P,1520.0,10.1094,15366.288,88323.0,D,232085402.04107285,6.62096274253414e-05
2026-08-21,2026-08-24 00:00:00,0001193125-26-363730,LIEN,"Chicago Atlantic BDC, Inc.",0001843162,NASDAQ,,,,Gordon Scott,0001784452,Co-Chief Investment Officer,true,true,false,P,195.0,9.95,1940.2499999999998,86803.0,D,232085402.04107285,8.360069107908079e-06
2026-08-20,2026-08-24 00:00:00,0001193125-26-363730,LIEN,"Chicago Atlantic BDC, Inc.",0001843162,NASDAQ,,,,Gordon Scott,0001784452,Co-Chief Investment Officer,true,true,false,P,7500.0,9.7045,72783.75,86608.0,D,232085402.04107285,0.0003136076175403709
2026-08-19,2026-08-19 00:00:00,0001193125-26-357041,LIEN,"Chicago Atlantic BDC, Inc.",0001843162,NASDAQ,,,,Gordon Scott,0001784452,Co-Chief Investment Officer,true,true,false,P,8200.0,9.57,78474.0,79108.0,D,232085402.04107285,0.0003381255318510391
2026-08-18,2026-08-19 00:00:00,0001193125-26-357041,LIEN,"Chicago Atlantic BDC, Inc.",0001843162,NASDAQ,,,,Gordon Scott,0001784452,Co-Chief Investment Officer,true,true,false,P,17584.0,9.54,167751.36,70908.0,D,232085402.04107285,0.000722800135315329
2026-08-17,2026-08-19 00:00:00,0001193125-26-357420,LIEN,"Chicago Atlantic BDC, Inc.",0001843162,NASDAQ,,,,Mazarakis John,0001867660,,false,false,true,P,60000.0,9.44,566400.0,60000.0,D,232085402.04107285,0.002440480939424887
2026-08-17,2026-08-19 00:00:00,0001193125-26-357041,LIEN,"Chicago Atlantic BDC, Inc.",0001843162,NASDAQ,,,,Gordon Scott,0001784452,Co-Chief Investment Officer,true,true,false,P,18300.0,9.54,174581.99999999997,53324.0,D,232085402.04107285,0.0007522317149835372
2026-08-17,2026-08-19 00:00:00,0001193125-26-356876,LIEN,"Chicago Atlantic BDC, Inc.",0001843162,NASDAQ,,,,Mahajan Umesh,0001968790,Secretary; Co-CIO,false,true,false,P,4000.0,9.6,38400.0,6997.0,D,232085402.04107285,0.00016545633487626352
2026-08-17,2026-08-19 00:00:00,0001193125-26-356878,LIEN,"Chicago Atlantic BDC, Inc.",0001843162,NASDAQ,,,,Fazio Gianni James Lezziere,0002076621,Chief Accounting Officer,false,true,false,P,200.0,9.55,1910.0000000000002,200.0,D,232085402.04107285,8.229729156605817e-06
2025-09-19,2025-09-22 00:00:00,0001193125-25-210569,LIEN,"Chicago Atlantic BDC, Inc.",0001843162,NASDAQ,,,,Sack Peter,0001897415,Chief Executive Officer,true,true,false,P,450.0,11.23,5053.5,5918.0,D,232085402.04107285,2.177431219523952e-05
