txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-13,2026-03-17 00:00:00,0001193125-26-110847,LOAR,Loar Holdings Inc.,0002000178,NYSE,3728,"Aircraft Parts & Auxiliary Equipment, Nec",Manufacturing,LEVY PAUL S,0001110176,,true,false,false,P,75000.0,64.9,4867500.0,8087580.0,I,5366554649.148079,0.0009070065094320241
2026-03-13,2026-03-13 00:00:00,0001193125-26-106500,LOAR,Loar Holdings Inc.,0002000178,NYSE,3728,"Aircraft Parts & Auxiliary Equipment, Nec",Manufacturing,Carpenito Anthony,0002020972,,true,false,true,P,50.0,64.7,3235.0,4800.0,D,5366554649.148079,6.028076133564659e-07
2026-03-12,2026-03-13 00:00:00,0001193125-26-105003,LOAR,Loar Holdings Inc.,0002000178,NYSE,3728,"Aircraft Parts & Auxiliary Equipment, Nec",Manufacturing,Charles Dirkson R,0001335344,See Remarks,true,true,false,P,36434.0,67.45,2457473.3000000003,4087005.0,I,5366554649.148079,0.00045792383766931645
2026-03-12,2026-03-12 00:00:00,0001193125-26-104753,LOAR,Loar Holdings Inc.,0002000178,NYSE,3728,"Aircraft Parts & Auxiliary Equipment, Nec",Manufacturing,Charles Dirkson R,0001335344,See Remarks,true,true,false,P,36434.0,67.45,2457473.3000000003,4087005.0,I,5366554649.148079,0.00045792383766931645
2026-03-12,2026-03-13 00:00:00,0001193125-26-106019,LOAR,Loar Holdings Inc.,0002000178,NYSE,3728,"Aircraft Parts & Auxiliary Equipment, Nec",Manufacturing,Bobbili Raja,0002021281,,true,false,true,P,30000.0,64.1742,1925226.0,50000.0,I,5366554649.148079,0.0003587452520036524
2026-03-12,2026-03-13 00:00:00,0001193125-26-106019,LOAR,Loar Holdings Inc.,0002000178,NYSE,3728,"Aircraft Parts & Auxiliary Equipment, Nec",Manufacturing,Bobbili Raja,0002021281,,true,false,true,P,20000.0,62.763,1255260.0,20000.0,I,5366554649.148079,0.0002339042611257612
2026-03-12,2026-03-13 00:00:00,0001193125-26-106500,LOAR,Loar Holdings Inc.,0002000178,NYSE,3728,"Aircraft Parts & Auxiliary Equipment, Nec",Manufacturing,Carpenito Anthony,0002020972,,true,false,true,P,3490.0,65.1635,227420.615,4750.0,D,5366554649.148079,4.237739664797827e-05
2026-03-12,2026-03-13 00:00:00,0001193125-26-106500,LOAR,Loar Holdings Inc.,0002000178,NYSE,3728,"Aircraft Parts & Auxiliary Equipment, Nec",Manufacturing,Carpenito Anthony,0002020972,,true,false,true,P,1260.0,64.4459,81201.83399999999,1260.0,D,5366554649.148079,1.5131092350450673e-05
2026-03-11,2026-03-13 00:00:00,0001193125-26-105003,LOAR,Loar Holdings Inc.,0002000178,NYSE,3728,"Aircraft Parts & Auxiliary Equipment, Nec",Manufacturing,Charles Dirkson R,0001335344,See Remarks,true,true,false,P,4166.0,67.49,281163.33999999997,4050571.0,I,5366554649.148079,5.239177803670249e-05
2026-03-11,2026-03-12 00:00:00,0001193125-26-104753,LOAR,Loar Holdings Inc.,0002000178,NYSE,3728,"Aircraft Parts & Auxiliary Equipment, Nec",Manufacturing,Charles Dirkson R,0001335344,See Remarks,true,true,false,P,4166.0,67.49,281163.33999999997,4050571.0,I,5366554649.148079,5.239177803670249e-05
2026-03-10,2026-03-13 00:00:00,0001193125-26-105003,LOAR,Loar Holdings Inc.,0002000178,NYSE,3728,"Aircraft Parts & Auxiliary Equipment, Nec",Manufacturing,Charles Dirkson R,0001335344,See Remarks,true,true,false,P,3400.0,67.41,229194.0,4046405.0,I,5366554649.148079,4.270784795536997e-05
2026-03-10,2026-03-12 00:00:00,0001193125-26-104753,LOAR,Loar Holdings Inc.,0002000178,NYSE,3728,"Aircraft Parts & Auxiliary Equipment, Nec",Manufacturing,Charles Dirkson R,0001335344,See Remarks,true,true,false,P,3400.0,67.41,229194.0,4046405.0,I,5366554649.148079,4.270784795536997e-05
