txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-27,2026-03-02 00:00:00,0001193805-26-000205,LRMR,"Larimar Therapeutics, Inc.",0001374690,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Flynn James E,0001352546,,true,false,true,P,2000000.0,5.0,10000000.0,6207982.0,I,471628530.01718044,0.02120312780831075
2026-02-27,2026-03-02 00:00:00,0001193805-26-000205,LRMR,"Larimar Therapeutics, Inc.",0001374690,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Flynn James E,0001352546,,true,false,true,P,1084012.0,5.0,5420060.0,10622957.0,I,471628530.01718044,0.011492222490871276
2026-02-27,2026-03-02 00:00:00,0001193805-26-000205,LRMR,"Larimar Therapeutics, Inc.",0001374690,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Flynn James E,0001352546,,true,false,true,P,1084010.0,5.0,5420050.0,10622928.0,I,471628530.01718044,0.011492201287743468
2026-02-27,2026-03-02 00:00:00,0001193805-26-000205,LRMR,"Larimar Therapeutics, Inc.",0001374690,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Flynn James E,0001352546,,true,false,true,P,831978.0,5.0,4159890.0,8153107.0,I,471628530.01718044,0.008820267933851381
2026-02-27,2026-03-02 00:00:00,0001193125-26-085515,LRMR,"Larimar Therapeutics, Inc.",0001374690,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Hamilton Thomas Edward,0001769848,,true,false,false,P,100000.0,5.0,500000.0,664798.0,D,471628530.01718044,0.0010601563904155376
2026-02-27,2026-03-02 00:00:00,0001193125-26-085510,LRMR,"Larimar Therapeutics, Inc.",0001374690,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,SHERMAN JEFFREY W,0001230482,,true,false,false,P,5000.0,5.0,25000.0,5000.0,D,471628530.01718044,5.300781952077687e-05
2026-02-27,2026-03-02 00:00:00,0001193125-26-085514,LRMR,"Larimar Therapeutics, Inc.",0001374690,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,THOMAS FRANK E,0001242616,,true,false,false,P,5000.0,5.0,25000.0,7000.0,D,471628530.01718044,5.300781952077687e-05
2025-07-31,2025-08-04 00:00:00,0001193805-25-001155,LRMR,"Larimar Therapeutics, Inc.",0001374690,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Flynn James E,0001352546,,true,false,true,P,3387539.0,3.2,10840124.8,9538945.0,I,471628530.01718044,0.022984455159243904
2025-07-31,2025-08-04 00:00:00,0001193805-25-001155,LRMR,"Larimar Therapeutics, Inc.",0001374690,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Flynn James E,0001352546,,true,false,true,P,3387529.0,3.2,10840092.8,9538918.0,I,471628530.01718044,0.022984387309234917
2025-07-31,2025-08-04 00:00:00,0001193805-25-001155,LRMR,"Larimar Therapeutics, Inc.",0001374690,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Flynn James E,0001352546,,true,false,true,P,2599932.0,3.2,8319782.4,7321129.0,I,471628530.01718044,0.017640540956453437
