txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-09-22,2026-09-23 00:00:00,0001628280-26-063239,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Lavan Robert M.,0001733907,President and CFO,false,true,false,P,387.116,5.475,2119.4601,81571.3952,D,707542431.6007519,2.9955236680362897e-06
2026-09-10,2026-09-11 00:00:00,0001628280-26-061489,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Bass Robert J,0001552681,,true,false,false,P,600.0,5.446,3267.6,51848.0,D,707542431.6007519,4.618238926826403e-06
2026-09-09,2026-09-09 00:00:00,0001628280-26-061140,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Shannon Thomas F.,0001882143,Chief Executive Officer,true,true,true,P,30000.0,5.86,175800.0,3144000.0,D,707542431.6007519,0.0002484656638927903
2026-09-01,2026-09-01 00:00:00,0001628280-26-059899,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Young John Alan,0001432026,,true,false,false,P,1000.0,614.0,614000.0,89718.0,D,707542431.6007519,0.0008677924779873337
2026-08-31,2026-09-01 00:00:00,0001628280-26-059899,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Young John Alan,0001432026,,true,false,false,P,400.0,6.25,2500.0,88718.0,D,707542431.6007519,3.5333569950624334e-06
2026-08-28,2026-09-01 00:00:00,0001628280-26-059898,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,MATHRANI SANDEEP,0001246485,,true,false,false,P,9350.0,6.4125,59956.875,9350.0,I,707542431.6007519,8.473961747333358e-05
2026-08-28,2026-09-01 00:00:00,0001628280-26-059899,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Young John Alan,0001432026,,true,false,false,P,2800.0,6.23,17444.0,88318.0,D,707542431.6007519,2.4654351768747636e-05
2026-06-08,2026-06-09 00:00:00,0001628280-26-041792,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Bass Robert J,0001552681,,true,false,false,P,745.0,8.1,6034.5,51248.0,D,707542431.6007519,8.528817114681702e-06
2026-06-05,2026-06-09 00:00:00,0001628280-26-041791,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Lavan Robert M.,0001733907,Chief Financial Officer,false,true,false,P,276.7454,7.5985,2102.8499219,81184.2792,D,707542431.6007519,2.972047792444743e-06
2026-03-06,2026-03-10 00:00:00,0001628280-26-016245,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Lavan Robert M.,0001733907,Chief Financial Officer,false,true,false,P,246.4016,8.47,2087.021552,80907.5338,D,707542431.6007519,2.9496768798421028e-06
2026-02-12,2026-02-13 00:00:00,0001628280-26-007896,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Harinstein Jason,0001842522,,true,false,false,P,13000.0,7.54,98020.0,13000.0,D,707542431.6007519,0.00013853586106240789
2026-02-06,2026-02-10 00:00:00,0001628280-26-006686,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Young John Alan,0001432026,,true,false,false,P,6000.0,6.5,39000.0,85518.0,D,707542431.6007519,5.512036912297396e-05
2025-12-08,2025-12-09 00:00:00,0001628280-25-056115,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Bass Robert J,0001552681,,true,false,false,P,520.0,8.465,4401.8,50503.0,D,707542431.6007519,6.221252328346328e-06
2025-12-08,2025-12-09 00:00:00,0001628280-25-056116,LUCK,Lucky Strike Entertainment Corp,0001840572,NYSE,7900,Services-Amusement & Recreation Services,Services,Lavan Robert M.,0001733907,Chief Financial Officer,false,true,false,P,243.0352,8.5316,2073.47911232,80661.1322,D,707542431.6007519,2.9305367702526864e-06
