txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-02-06,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,19338.0,36.55,706803.8999999999,520453.0,I,4521289507.14,0.00015632794557477868
2026-02-06,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,11183.0,35.97,402252.51,501115.0,I,4521289507.14,8.896853637988999e-05
2026-02-05,2026-02-05 00:00:00,0001628280-26-005905,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"Longitude Capital Partners V, LLC",0002018312,,false,false,true,P,882353.0,17.0,15000001.0,2053474.0,I,4521289507.14,0.003317637805832178
2026-02-05,2026-02-05 00:00:00,0001628280-26-005904,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,ENRIGHT PATRICK G,0001253886,,true,false,true,P,882353.0,17.0,15000001.0,2053474.0,I,4521289507.14,0.003317637805832178
2026-02-05,2026-02-05 00:00:00,0001628280-26-005906,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,CHILDS JOHN W,0001027035,,true,false,false,P,294117.0,17.0,4999989.0,2202006.0,I,4521289507.14,0.0011058767619512176
2026-02-05,2026-02-27 00:00:00,0001027035-26-000004,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,CHILDS JOHN W,0001027035,,true,false,false,P,294117.0,17.0,4999989.0,294117.0,I,4521289507.14,0.0011058767619512176
2026-02-05,2026-02-05 00:00:00,0001628280-26-005905,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"Longitude Capital Partners V, LLC",0002018312,,false,false,true,P,192647.0,17.0,3274999.0,2600399.0,I,4521289507.14,0.0007243506514741283
2026-02-05,2026-02-05 00:00:00,0001628280-26-005904,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,ENRIGHT PATRICK G,0001253886,,true,false,true,P,192647.0,17.0,3274999.0,2600399.0,I,4521289507.14,0.0007243506514741283
2026-02-05,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,38771.0,37.63,1458952.7300000002,455534.0,I,4521289507.14,0.00032268509408566484
2026-02-05,2026-02-05 00:00:00,0001628280-26-005907,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,Coric Vlad,0001704317,,true,false,false,P,58823.0,17.0,999991.0,319398.0,I,4521289507.14,0.00022117384839453848
2026-02-05,2026-02-05 00:00:00,0001628280-26-005907,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,Coric Vlad,0001704317,,true,false,false,P,58823.0,17.0,999991.0,319398.0,I,4521289507.14,0.00022117384839453848
2026-02-05,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,19199.0,36.93,709019.07,416763.0,I,4521289507.14,0.00015681788765800557
2026-02-05,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,17835.0,38.67,689679.4500000001,473369.0,I,4521289507.14,0.0001525404309790075
2026-02-05,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,16563.0,39.8,659207.3999999999,489932.0,I,4521289507.14,0.00014580074975490564
2026-02-05,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,3832.0,36.07,138220.24,397564.0,I,4521289507.14,3.057097754561463e-05
2026-02-04,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,53344.0,37.11,1979595.84,3604141.0,I,4521289507.14,0.0004378387707475558
2026-02-04,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,25908.0,38.09,986835.7200000001,3630049.0,I,4521289507.14,0.00021826421830355996
2026-02-04,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,18489.0,38.9,719222.1,3648538.0,I,4521289507.14,0.000159074551378364
2026-02-04,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,14659.0,36.27,531681.93,3550797.0,I,4521289507.14,0.00011759519693670806
2026-02-04,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,10676.0,34.74,370884.24000000005,3536138.0,I,4521289507.14,8.203063294538013e-05
2026-02-04,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,10004.0,34.25,342637.0,3525462.0,I,4521289507.14,7.578302593959294e-05
2026-02-04,2026-02-09 00:00:00,0000899140-26-000140,MANE,"Veradermics, Inc",0001827635,NYSE,2834,Pharmaceutical Preparations,Manufacturing,"SUVRETTA CAPITAL MANAGEMENT, LLC",0001569064,,true,false,true,P,9168.0,37.11,340224.48,386101.0,I,4521289507.14,7.524943480454393e-05
