txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-15,2026-04-16 00:00:00,0001193125-26-159445,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,3000.0,6.84,20520.0,49000.0,I,81704858.6390667,0.00025114785511896697
2026-04-10,2026-04-13 00:00:00,0001193125-26-152107,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,2000.0,6.19,12380.0,46000.0,I,81704858.6390667,0.000151520976918753
2026-04-09,2026-04-13 00:00:00,0001193125-26-152107,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,4000.0,6.05,24200.0,44000.0,I,81704858.6390667,0.00029618801627090646
2026-03-02,2026-03-03 00:00:00,0001193125-26-088972,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,1242.0,6.24,7750.08,40000.0,I,81704858.6390667,9.485457938598458e-05
2026-02-27,2026-03-03 00:00:00,0001193125-26-088972,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,3800.0,5.94,22572.0,38758.0,I,81704858.6390667,0.00027626264063086367
2026-01-30,2026-03-03 00:00:00,0001193125-26-088958,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,400.0,7.08,2832.0,34958.0,I,81704858.6390667,3.46613414082317e-05
2026-01-30,2026-02-02 00:00:00,0001193125-26-032787,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,400.0,7.08,2832.0,1345058.0,I,81704858.6390667,3.46613414082317e-05
2026-01-29,2026-03-03 00:00:00,0001193125-26-088958,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,4480.0,6.96,31180.8,34558.0,I,81704858.6390667,0.0003816272437082595
2026-01-29,2026-02-02 00:00:00,0001193125-26-032787,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,4480.0,6.96,31180.8,1344658.0,I,81704858.6390667,0.0003816272437082595
2025-12-10,2025-12-11 00:00:00,0001193125-25-315070,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,1315.0,7.47,9823.05,1340178.0,I,81704858.6390667,0.00012022602038140197
2025-12-09,2025-12-11 00:00:00,0001193125-25-315070,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,2758.0,7.11,19609.38,1338863.0,I,81704858.6390667,0.00024000261828522265
2025-09-19,2025-09-22 00:00:00,0001193125-25-211315,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,4537.0,7.76,35207.12,1336105.0,I,81704858.6390667,0.0004309060756781718
2025-08-29,2025-09-02 00:00:00,0001193125-25-193477,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,3500.0,8.0,28000.0,1331568.0,I,81704858.6390667,0.0003426968783299744
2025-08-21,2025-08-22 00:00:00,0001193125-25-185823,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,4800.0,7.78,37344.0,1328068.0,I,81704858.6390667,0.0004570597222983773
2025-07-16,2025-07-17 00:00:00,0000950170-25-096448,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,500.0,7.94,3970.0,1323268.0,I,81704858.6390667,4.8589521677499944e-05
2025-07-16,2025-07-17 00:00:00,0000950170-25-096448,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,300.0,7.92,2376.0,1322768.0,I,81704858.6390667,2.9080277961143546e-05
2025-07-15,2025-07-17 00:00:00,0000950170-25-096448,MHH,"Mastech Digital, Inc.",0001437226,AMEX,8742,Services-Management Consulting Services,Services,SHAW STEVEN A,0001190614,,false,false,true,P,3068.0,7.9,24237.2,1322468.0,I,81704858.6390667,0.0002966433135521163
