txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-10,2026-08-10 00:00:00,0001582328-26-000012,MKZR,"MacKenzie Realty Capital, Inc.",0001550913,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",DIXON ROBERT E,0001103016,CEO/President,false,true,false,P,23400.0,1.6,37440.0,100000.0,I,3405222.118493557,0.010994877484398332
2026-08-10,2026-08-10 00:00:00,0001582328-26-000011,MKZR,"MacKenzie Realty Capital, Inc.",0001550913,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",FULLER GLEN W,0001103014,Treasurer,false,true,false,P,23400.0,1.6,37440.0,100000.0,I,3405222.118493557,0.010994877484398332
2026-08-10,2026-08-10 00:00:00,0001582328-26-000010,MKZR,"MacKenzie Realty Capital, Inc.",0001550913,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",PATTERSON CHARLES E. II,0001582726,General Counsel/Secretary,true,true,false,P,23400.0,1.6,37440.0,100000.0,I,3405222.118493557,0.010994877484398332
2026-08-07,2026-08-10 00:00:00,0001582328-26-000012,MKZR,"MacKenzie Realty Capital, Inc.",0001550913,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",DIXON ROBERT E,0001103016,CEO/President,false,true,false,P,10000.0,1.59,15900.0,76600.0,I,3405222.118493557,0.004669298931675574
2026-08-07,2026-08-10 00:00:00,0001582328-26-000011,MKZR,"MacKenzie Realty Capital, Inc.",0001550913,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",FULLER GLEN W,0001103014,Treasurer,false,true,false,P,10000.0,1.59,15900.0,76600.0,I,3405222.118493557,0.004669298931675574
2026-08-07,2026-08-10 00:00:00,0001582328-26-000010,MKZR,"MacKenzie Realty Capital, Inc.",0001550913,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",PATTERSON CHARLES E. II,0001582726,General Counsel/Secretary,true,true,false,P,10000.0,1.59,15900.0,76600.0,I,3405222.118493557,0.004669298931675574
2026-08-03,2026-08-04 00:00:00,0001582328-26-000008,MKZR,"MacKenzie Realty Capital, Inc.",0001550913,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",DIXON ROBERT E,0001103016,CEO/President,false,true,false,P,30000.0,1.2,36000.0,66600.0,I,3405222.118493557,0.010571997581152242
2026-08-03,2026-08-04 00:00:00,0001582328-26-000007,MKZR,"MacKenzie Realty Capital, Inc.",0001550913,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",FULLER GLEN W,0001103014,Treasurer,false,true,false,P,30000.0,1.2,36000.0,66600.0,I,3405222.118493557,0.010571997581152242
2026-08-03,2026-08-04 00:00:00,0001582328-26-000006,MKZR,"MacKenzie Realty Capital, Inc.",0001550913,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",PATTERSON CHARLES E. II,0001582726,General Counsel/Secretary,true,true,false,P,30000.0,1.2,36000.0,66600.0,I,3405222.118493557,0.010571997581152242
2026-07-31,2026-08-04 00:00:00,0001582328-26-000008,MKZR,"MacKenzie Realty Capital, Inc.",0001550913,NASDAQ,6798,Real Estate Investment Trusts,"Finance, Insurance, Real Estate",DIXON ROBERT E,0001103016,CEO/President,false,true,false,P,36600.0,1.41,51606.0,36600.0,I,3405222.118493557,0.01515495853258174
