txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-12-12,2025-12-12 00:00:00,0001203720-25-000019,MMLP,MARTIN MIDSTREAM PARTNERS L.P.,0001176334,NASDAQ,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Martin Product Sales LLC,0001203720,,false,false,true,P,7012.0,2.5944,18191.9328,2781179.2337,D,99376700.94751167,0.00018306034137326142
2025-12-11,2025-12-12 00:00:00,0001203720-25-000019,MMLP,MARTIN MIDSTREAM PARTNERS L.P.,0001176334,NASDAQ,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Martin Product Sales LLC,0001203720,,false,false,true,P,5573.0,2.5542,14234.556599999998,2774167.2337,D,99376700.94751167,0.00014323836939926534
2025-12-08,2025-12-08 00:00:00,0001203720-25-000017,MMLP,MARTIN MIDSTREAM PARTNERS L.P.,0001176334,NASDAQ,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Martin Product Sales LLC,0001203720,,false,false,true,P,12228.0,2.5891,31659.5148,2768594.2337,D,99376700.94751167,0.0003185808594785389
2025-12-04,2025-12-08 00:00:00,0001203720-25-000017,MMLP,MARTIN MIDSTREAM PARTNERS L.P.,0001176334,NASDAQ,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Martin Product Sales LLC,0001203720,,false,false,true,P,2190.0,2.6,5694.0,2756366.2337,D,99376700.94751167,5.7297132483874976e-05
2025-12-01,2025-12-03 00:00:00,0001203720-25-000015,MMLP,MARTIN MIDSTREAM PARTNERS L.P.,0001176334,NASDAQ,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Martin Product Sales LLC,0001203720,,false,false,true,P,2239.0,2.5911,5801.4729,2754176.2337,D,99376700.94751167,5.8378602274834974e-05
2025-11-25,2025-11-25 00:00:00,0001203720-25-000013,MMLP,MARTIN MIDSTREAM PARTNERS L.P.,0001176334,NASDAQ,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Martin Product Sales LLC,0001203720,,false,false,true,P,15040.0,2.5924,38989.696,2751937.2337,D,99376700.94751167,0.0003923424266276801
2025-11-17,2025-11-19 00:00:00,0001203720-25-000011,MMLP,MARTIN MIDSTREAM PARTNERS L.P.,0001176334,NASDAQ,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Martin Product Sales LLC,0001203720,,false,false,true,P,1945.0,2.5989,5054.8605,2736897.2337,D,99376700.94751167,5.086565011521013e-05
2025-11-10,2025-11-10 00:00:00,0001203720-25-000009,MMLP,MARTIN MIDSTREAM PARTNERS L.P.,0001176334,NASDAQ,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Martin Product Sales LLC,0001203720,,false,false,true,P,12272.0,2.576,31612.672000000002,2734952.2337,D,99376700.94751167,0.00031810949345860293
2025-11-07,2025-11-10 00:00:00,0001203720-25-000009,MMLP,MARTIN MIDSTREAM PARTNERS L.P.,0001176334,NASDAQ,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Martin Product Sales LLC,0001203720,,false,false,true,P,12237.0,2.5907,31702.3959,2722680.2337,D,99376700.94751167,0.00031901236001730853
2025-11-06,2025-11-10 00:00:00,0001203720-25-000009,MMLP,MARTIN MIDSTREAM PARTNERS L.P.,0001176334,NASDAQ,5171,Wholesale-Petroleum Bulk Stations & Terminals,Wholesale Trade,Martin Product Sales LLC,0001203720,,false,false,true,P,3605.0,2.5912,9341.276,2710443.2337,D,99376700.94751167,9.399865271170384e-05
