txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-13,2026-04-13 00:00:00,0001213900-26-043053,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,WARD TOM L.,0001038276,See Remarks,true,true,true,P,76628.0,13.05,999995.4,76628.0,I,2481307141.75,0.00040301153499873856
2026-04-13,2026-04-13 00:00:00,0001213900-26-043053,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,WARD TOM L.,0001038276,See Remarks,true,true,true,P,76628.0,13.05,999995.4,13295039.0,I,2481307141.75,0.00040301153499873856
2026-03-23,2026-03-23 00:00:00,0001213900-26-032917,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,McMullen William Wallace,0001730172,,true,false,true,P,3215.0,13.63,43820.450000000004,74859917.0,I,2481307141.75,1.766022805588453e-05
2026-03-20,2026-03-23 00:00:00,0001213900-26-032917,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,McMullen William Wallace,0001730172,,true,false,true,P,2500.0,14.0,35000.0,74856702.0,I,2481307141.75,1.4105468610111455e-05
2026-03-20,2026-03-23 00:00:00,0001213900-26-032918,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Burn Christopher,0002101878,,true,false,false,P,1000.0,13.85,13850.0,15587.0,D,2481307141.75,5.581735435715533e-06
2026-03-19,2026-03-23 00:00:00,0001213900-26-032917,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,McMullen William Wallace,0001730172,,true,false,true,P,3570.0,14.0,49980.0,74854202.0,I,2481307141.75,2.0142609175239157e-05
2026-03-19,2026-03-23 00:00:00,0001213900-26-032918,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Burn Christopher,0002101878,,true,false,false,P,1000.0,14.07,14070.0,14587.0,D,2481307141.75,5.670398381264805e-06
2025-12-09,2025-12-10 00:00:00,0001213900-25-120073,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,McMullen William Wallace,0001730172,,true,false,true,P,17500.0,12.32,215600.0,74850632.0,I,2481307141.75,8.688968663828657e-05
2025-12-08,2025-12-10 00:00:00,0001213900-25-120073,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,McMullen William Wallace,0001730172,,true,false,true,P,12500.0,12.53,156625.0,74833132.0,I,2481307141.75,6.312197203024877e-05
2025-11-26,2025-12-01 00:00:00,0001213900-25-116662,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,WARD TOM L.,0001038276,See Remarks,true,true,true,P,40000.0,11.63,465200.00000000006,167030.0,I,2481307141.75,0.00018748182849782428
2025-11-25,2025-11-25 00:00:00,0001213900-25-114737,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,WARD TOM L.,0001038276,See Remarks,true,true,true,P,43660.0,11.45,499906.99999999994,127030.0,I,2481307141.75,0.00020146921418499962
2025-11-17,2025-11-18 00:00:00,0001213900-25-112089,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,WARD TOM L.,0001038276,See Remarks,true,true,true,P,41740.0,11.98,500045.2,83370.0,I,2481307141.75,0.00020152491063534013
2025-11-14,2025-11-18 00:00:00,0001213900-25-112089,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,WARD TOM L.,0001038276,See Remarks,true,true,true,P,41630.0,12.01,499976.3,41630.0,I,2481307141.75,0.00020149714301284766
2025-11-14,2025-11-18 00:00:00,0001213900-25-112091,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,McMullen William Wallace,0001730172,,true,false,true,P,4608.0,11.85,54604.799999999996,74820632.0,I,2481307141.75,2.2006465496040398e-05
2025-08-11,2025-08-12 00:00:00,0001213900-25-074636,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,McMullen William Wallace,0001730172,,true,false,true,P,3085.0,14.39,44393.15,74816024.0,I,2481307141.75,1.789103382368484e-05
2025-06-16,2025-06-17 00:00:00,0001213900-25-055246,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,McMullen William Wallace,0001730172,,true,false,true,P,144900.0,14.96,2167704.0,74812939.0,I,2481307141.75,0.0008736137350860869
2025-06-13,2025-06-17 00:00:00,0001213900-25-055246,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,McMullen William Wallace,0001730172,,true,false,true,P,135500.0,14.72,1994560.0,74668039.0,I,2481307141.75,0.0008038343848852544
2025-06-12,2025-06-12 00:00:00,0001213900-25-053925,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,McMullen William Wallace,0001730172,,true,false,true,P,93500.0,14.29,1336115.0,74532539.0,I,2481307141.75,0.0005384722340571162
2025-06-11,2025-06-12 00:00:00,0001213900-25-053925,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,McMullen William Wallace,0001730172,,true,false,true,P,72411.0,14.01,1014478.11,74439039.0,I,2481307141.75,0.00040884826103571985
2025-06-10,2025-06-12 00:00:00,0001213900-25-053925,MNR,MACH NATURAL RESOURCES LP,0001980088,NYSE,1311,Crude Petroleum & Natural Gas,Mining,McMullen William Wallace,0001730172,,true,false,true,P,79218.0,13.58,1075780.44,74366628.0,I,2481307141.75,0.00043355392079405395
