txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-18,2026-08-20 00:00:00,0001193125-26-359683,MOBI,"Mobia Medical, Inc.",0001489993,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Tansey Casey M,0001474322,,true,false,false,P,16441.0,12.0749,198523.4309,318332.0,D,364076609.3582554,0.0005452792785835104
2026-08-17,2026-08-17 00:00:00,0001193125-26-354538,MOBI,"Mobia Medical, Inc.",0001489993,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Tansey Casey M,0001474322,,true,false,false,P,17166.0,11.8509,203432.5494,301891.0,D,364076609.3582554,0.0005587630300078414
2026-08-14,2026-08-17 00:00:00,0001193125-26-354538,MOBI,"Mobia Medical, Inc.",0001489993,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Tansey Casey M,0001474322,,true,false,false,P,15721.0,11.65,183149.65,284625.0,D,364076609.3582554,0.0005030525040398262
2026-08-14,2026-08-17 00:00:00,0001193125-26-354538,MOBI,"Mobia Medical, Inc.",0001489993,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Tansey Casey M,0001474322,,true,false,false,P,100.0,12.53,1253.0,284725.0,D,364076609.3582554,3.441583358537143e-06
2026-08-13,2026-08-17 00:00:00,0001193125-26-354538,MOBI,"Mobia Medical, Inc.",0001489993,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Tansey Casey M,0001474322,,true,false,false,P,35572.0,11.5073,409337.6756,268904.0,D,364076609.3582554,0.001124317424076006
2026-06-09,2026-06-11 00:00:00,0001193125-26-268109,MOBI,"Mobia Medical, Inc.",0001489993,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Curnes Nelson Bunker,0002124944,Chief Financial Officer,false,true,false,P,5000.0,12.7938,63968.99999999999,366997.0,D,364076609.3582554,0.00017570203181345768
2026-05-11,2026-05-11 00:00:00,0001628280-26-033811,MOBI,"Mobia Medical, Inc.",0001489993,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,HARRINGTON WILLIAM T,0001256742,,true,false,true,P,266667.0,15.0,4000005.0,1404183.0,I,364076609.3582554,0.010986712403882973
2026-05-11,2026-05-12 00:00:00,0001193125-26-219510,MOBI,"Mobia Medical, Inc.",0001489993,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"Osage University GP III, LLC",0001880476,,false,false,true,P,266667.0,15.0,4000005.0,1404183.0,I,364076609.3582554,0.010986712403882973
2026-05-11,2026-05-11 00:00:00,0001628280-26-033811,MOBI,"Mobia Medical, Inc.",0001489993,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,HARRINGTON WILLIAM T,0001256742,,true,false,true,P,266666.0,15.0,3999990.0,2006716.0,I,364076609.3582554,0.010986671203762958
2026-05-11,2026-05-12 00:00:00,0001193125-26-219510,MOBI,"Mobia Medical, Inc.",0001489993,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,"Osage University GP III, LLC",0001880476,,false,false,true,P,266666.0,15.0,3999990.0,2006716.0,I,364076609.3582554,0.010986671203762958
