txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-07-30,2026-07-30 00:00:00,0001900201-26-000003,MPLT,"MapLight Therapeutics, Inc.",0001770069,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Catalyst4, Inc.",0001900201,,false,false,true,P,1000000.0,13.0,13000000.0,20906689.0,I,602190565.1713982,0.021587850676969476
2026-07-29,2026-07-30 00:00:00,0001900201-26-000003,MPLT,"MapLight Therapeutics, Inc.",0001770069,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Catalyst4, Inc.",0001900201,,false,false,true,P,3000.0,12.63,37890.0,19906689.0,I,602190565.1713982,6.292028170387488e-05
2026-07-28,2026-07-30 00:00:00,0001900201-26-000003,MPLT,"MapLight Therapeutics, Inc.",0001770069,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Catalyst4, Inc.",0001900201,,false,false,true,P,141088.0,10.7416,1515510.8608,19838552.0,I,602190565.1713982,0.0025166632432519903
2026-07-28,2026-07-30 00:00:00,0001900201-26-000003,MPLT,"MapLight Therapeutics, Inc.",0001770069,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Catalyst4, Inc.",0001900201,,false,false,true,P,65137.0,11.6891,761392.9066999999,19903689.0,I,602190565.1713982,0.0012643720289494886
2026-07-28,2026-07-28 00:00:00,0001696923-26-000007,MPLT,"MapLight Therapeutics, Inc.",0001770069,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Cox Troy,0001696923,,true,false,false,P,15620.0,9.52,148702.4,15620.0,I,602190565.1713982,0.000246935785115922
2026-02-20,2026-02-20 00:00:00,0001470798-26-000002,MPLT,"MapLight Therapeutics, Inc.",0001770069,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Pavlov George,0001470798,,true,false,false,P,9920.0,17.86,177171.19999999998,25000.0,D,602190565.1713982,0.00029421118537380724
2026-02-19,2026-02-20 00:00:00,0001470798-26-000002,MPLT,"MapLight Therapeutics, Inc.",0001770069,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Pavlov George,0001470798,,true,false,false,P,4422.0,17.57,77694.54000000001,15080.0,D,602190565.1713982,0.00012901985599506402
2026-02-18,2026-02-20 00:00:00,0001470798-26-000002,MPLT,"MapLight Therapeutics, Inc.",0001770069,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Pavlov George,0001470798,,true,false,false,P,10658.0,17.48,186301.84,10658.0,D,602190565.1713982,0.00030937356175112765
2026-02-10,2026-02-12 00:00:00,0001998937-26-000002,MPLT,"MapLight Therapeutics, Inc.",0001770069,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Garnett Timothy John,0001998937,,true,false,false,P,14124.0,17.89,252678.36000000002,14124.0,I,602190565.1713982,0.00041959866961396446
2025-10-28,2025-10-29 00:00:00,0001900201-25-000008,MPLT,"MapLight Therapeutics, Inc.",0001770069,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"Catalyst4, Inc.",0001900201,,false,false,true,P,5441176.0,17.0,92499992.0,19697464.0,I,602190565.1713982,0.15360584730129778
2025-10-28,2025-10-30 00:00:00,0001388325-25-000018,MPLT,"MapLight Therapeutics, Inc.",0001770069,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Novo Holdings A/S,0001388325,,false,false,true,P,952941.0,17.0,16199997.0,3686622.0,D,602190565.1713982,0.02690177816948873
