txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-05,2026-03-09 00:00:00,0001193125-26-098539,MRP,"Millrose Properties, Inc.",0002017206,NYSE,6500,Real Estate,"Finance, Insurance, Real Estate",Gorson Matthew B.,0002046065,,true,false,false,P,1000.0,30.665,30665.0,25611.0,D,5096307484.550617,6.017101615819004e-06
2025-11-26,2025-12-01 00:00:00,0001193125-25-303919,MRP,"Millrose Properties, Inc.",0002017206,NYSE,6500,Real Estate,"Finance, Insurance, Real Estate",MIGOYA CARLOS A.,0001367430,,true,false,false,P,219.0,,,16985.0,D,5096307484.550617,
2025-11-24,2025-11-25 00:00:00,0001193125-25-297265,MRP,"Millrose Properties, Inc.",0002017206,NYSE,6500,Real Estate,"Finance, Insurance, Real Estate",Lynch Kathleen B.,0001863429,,true,false,false,P,1860.0,31.738,59032.68,9510.0,D,5096307484.550617,1.1583421953827692e-05
2025-11-12,2025-11-14 00:00:00,0001193125-25-283179,MRP,"Millrose Properties, Inc.",0002017206,NYSE,6500,Real Estate,"Finance, Insurance, Real Estate",MIGOYA CARLOS A.,0001367430,,true,false,false,P,1000.0,32.2359,32235.9,16766.0,D,5096307484.550617,6.325344398414473e-06
2025-10-30,2025-10-31 00:00:00,0001193125-25-260664,MRP,"Millrose Properties, Inc.",0002017206,NYSE,6500,Real Estate,"Finance, Insurance, Real Estate",Presa Rachel,0001958568,General Counsel and Secretary,false,true,false,P,242.0,32.371,7833.782,1468.0,D,5096307484.550617,1.5371486166696177e-06
2025-10-30,2025-10-31 00:00:00,0001193125-25-260664,MRP,"Millrose Properties, Inc.",0002017206,NYSE,6500,Real Estate,"Finance, Insurance, Real Estate",Presa Rachel,0001958568,General Counsel and Secretary,false,true,false,P,234.0,32.33,7565.219999999999,1226.0,D,5096307484.550617,1.4844512468947085e-06
2025-10-29,2025-10-30 00:00:00,0001193125-25-258495,MRP,"Millrose Properties, Inc.",0002017206,NYSE,6500,Real Estate,"Finance, Insurance, Real Estate",Gorson Matthew B.,0002046065,,true,false,false,P,2500.0,32.69,81725.0,18160.0,D,5096307484.550617,1.6036120318043635e-05
2025-10-28,2025-10-29 00:00:00,0001193125-25-256840,MRP,"Millrose Properties, Inc.",0002017206,NYSE,6500,Real Estate,"Finance, Insurance, Real Estate",BARTELS PATRICK J JR,0001581475,,true,false,false,P,7500.0,32.5152,243864.0,30660.0,D,5096307484.550617,4.785111587934406e-05
2025-05-21,2025-05-23 00:00:00,0000950170-25-076692,MRP,"Millrose Properties, Inc.",0002017206,NYSE,6500,Real Estate,"Finance, Insurance, Real Estate",Pasha Adil,0002045759,Chief Technology Officer,false,true,false,P,2500.0,28.342,70855.0,2500.0,D,5096307484.550617,1.3903203488956644e-05
2025-05-20,2025-05-22 00:00:00,0000950170-25-076260,MRP,"Millrose Properties, Inc.",0002017206,NYSE,6500,Real Estate,"Finance, Insurance, Real Estate",BARTELS PATRICK J JR,0001581475,,true,false,false,P,8750.0,28.6202,250426.75,23160.0,D,5096307484.550617,4.913886196214908e-05
2025-05-19,2025-05-22 00:00:00,0000950170-25-076260,MRP,"Millrose Properties, Inc.",0002017206,NYSE,6500,Real Estate,"Finance, Insurance, Real Estate",BARTELS PATRICK J JR,0001581475,,true,false,false,P,8750.0,28.3649,248192.875,14410.0,D,5096307484.550617,4.8700529893926756e-05
2025-05-19,2025-05-20 00:00:00,0000950170-25-075108,MRP,"Millrose Properties, Inc.",0002017206,NYSE,6500,Real Estate,"Finance, Insurance, Real Estate",Gorson Matthew B.,0002046065,,true,false,false,P,7500.0,28.2421,211815.75,15660.0,D,5096307484.550617,4.156259225765251e-05
