txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-21,2026-08-24 00:00:00,0001325533-26-000005,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,3410.0,3.669,12511.29,336820.0,I,18033992.166335583,0.0006937615301483317
2026-08-21,2026-08-24 00:00:00,0001325533-26-000005,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,1802.0,3.669,6611.5380000000005,180229.0,I,18033992.166335583,0.00036661533059451426
2026-08-20,2026-08-24 00:00:00,0001325533-26-000005,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,17949.0,3.862,69319.038,333410.0,I,18033992.166335583,0.00384379883059943
2026-08-20,2026-08-24 00:00:00,0001325533-26-000005,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,5194.0,3.862,20059.228,178427.0,I,18033992.166335583,0.001112301026582731
2026-08-18,2026-08-19 00:00:00,0001325533-26-000004,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,12815.0,3.998,51234.37,315461.0,I,18033992.166335583,0.0028409888130948753
2026-08-18,2026-08-19 00:00:00,0001325533-26-000004,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,6894.0,3.998,27562.212000000003,173233.0,I,18033992.166335583,0.0015283477859911096
2026-08-17,2026-08-19 00:00:00,0001325533-26-000004,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,6765.0,3.865,26146.725000000002,302646.0,I,18033992.166335583,0.0014498578439447601
2026-08-17,2026-08-19 00:00:00,0001325533-26-000004,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,3639.0,3.865,14064.735,166339.0,I,18033992.166335583,0.0007799013590709508
2026-07-02,2026-07-06 00:00:00,0001325533-26-000003,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,8208.0,4.141,33989.328,295881.0,I,18033992.166335583,0.00188473676191612
2026-07-02,2026-07-06 00:00:00,0001325533-26-000003,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,4529.0,4.141,18754.589,162700.0,I,18033992.166335583,0.0010399576991615628
2026-07-01,2026-07-06 00:00:00,0001325533-26-000003,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,2062.0,4.07,8392.34,287673.0,I,18033992.166335583,0.0004653622959682854
2026-07-01,2026-07-06 00:00:00,0001325533-26-000003,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,1138.0,4.07,4631.660000000001,158171.0,I,18033992.166335583,0.00025682943395339907
2026-06-30,2026-07-02 00:00:00,0001325533-26-000002,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,17879.0,3.953,70675.68699999999,285611.0,I,18033992.166335583,0.003919026156168112
2026-06-30,2026-07-02 00:00:00,0001325533-26-000002,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,"Red Oak Partners, LLC",0001325533,,false,false,true,P,9865.0,3.953,38996.345,157033.0,I,18033992.166335583,0.0021623800565243267
2025-12-12,2025-12-12 00:00:00,0001493152-25-027596,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,Delta John,0001825769,,true,false,false,P,4000.0,2.59,10360.0,12000.0,D,18033992.166335583,0.0005744706942558853
2025-12-11,2025-12-12 00:00:00,0001493152-25-027596,MSGM,Motorsport Games Inc.,0001821175,NASDAQ,7372,Services-Prepackaged Software,Services,Delta John,0001825769,,true,false,false,P,1000.0,2.66,2660.0,8000.0,D,18033992.166335583,0.00014749923230894353
