txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-19,2026-03-23 00:00:00,0001193125-26-119680,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Le Phong,0001651669,President & CEO,true,true,false,P,2509.0,99.62,249946.58000000002,8009.0,D,58505384364.60205,4.27219789622008e-06
2026-01-20,2026-01-21 00:00:00,0001193125-26-018099,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Dietze Jane A,0001341187,,true,false,false,P,1000.0,99.485,99485.0,3600.0,D,58505384364.60205,1.7004417812216299e-06
2026-01-12,2026-01-12 00:00:00,0001193125-26-010377,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",RICKERTSEN CARL J,0001203479,,true,false,false,P,5000.0,155.879,779395.0,5000.0,D,58505384364.60205,1.3321765312109687e-05
2026-01-08,2026-01-09 00:00:00,0001193125-26-009023,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Le Phong,0001651669,President & CEO,true,true,false,P,12.0,99.99,1199.8799999999999,28.0,I,58505384364.60205,2.0508881584683206e-08
2025-11-21,2025-11-25 00:00:00,0001193125-25-297328,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Dietze Jane A,0001341187,,true,false,false,P,1100.0,95.28,104808.0,2600.0,D,58505384364.60205,1.7914248600922407e-06
2025-10-17,2025-10-20 00:00:00,0001193125-25-243613,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Patten Jarrod M,0001309191,,true,false,false,P,12000.0,96.875,1162500.0,29335.0,D,58505384364.60205,1.9869966031765035e-05
2025-10-16,2025-10-20 00:00:00,0001193125-25-243613,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Patten Jarrod M,0001309191,,true,false,false,P,11780.0,97.946,1153803.88,17335.0,D,58505384364.60205,1.9721328088532216e-05
2025-09-15,2025-09-16 00:00:00,0001193125-25-205032,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Shao Wei-Ming,0001663488,EVP & General Counsel,false,true,false,P,12500.0,96.916,1211450.0,15000.0,D,58505384364.60205,2.0706641160586454e-05
2025-08-26,2025-08-28 00:00:00,0000950170-25-111976,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Le Phong,0001651669,President & CEO,true,true,false,P,71.0,95.02,6746.42,71.0,I,58505384364.60205,1.1531280536431852e-07
2025-08-26,2025-08-28 00:00:00,0000950170-25-111976,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Le Phong,0001651669,President & CEO,true,true,false,P,32.0,95.05,3041.6,32.0,I,58505384364.60205,5.1988377361046477e-08
2025-08-26,2025-08-28 00:00:00,0000950170-25-111976,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Le Phong,0001651669,President & CEO,true,true,false,P,16.0,95.05,1520.8,16.0,I,58505384364.60205,2.5994188680523238e-08
2025-08-08,2025-08-12 00:00:00,0000950170-25-107378,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",WINIARSKI GREGG,0001466505,,true,false,false,P,10000.0,97.652,976520.0,10000.0,D,58505384364.60205,1.6691113315560595e-05
2025-07-29,2025-07-29 00:00:00,0000950170-25-099806,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Briger Peter L JR,0001380193,,true,false,false,P,220000.0,90.0,19800000.0,220000.0,I,58505384364.60205,0.0003384303891861916
2025-07-29,2025-07-29 00:00:00,0000950170-25-099673,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Patten Jarrod M,0001309191,,true,false,false,P,5555.0,90.0,499950.0,5555.0,D,58505384364.60205,8.545367326951337e-06
2025-07-29,2025-07-29 00:00:00,0000950170-25-099706,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Le Phong,0001651669,President & CEO,true,true,false,P,5500.0,90.0,495000.0,5500.0,D,58505384364.60205,8.460759729654789e-06
2025-07-29,2025-07-29 00:00:00,0000950170-25-099671,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Montgomery Jeanine,0001444548,VP & CAO,false,true,false,P,5000.0,90.0,450000.0,5000.0,D,58505384364.60205,7.691599754231626e-06
2025-07-29,2025-07-29 00:00:00,0000950170-25-099672,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Kang Andrew,0001825170,EVP & CFO,false,true,false,P,2800.0,90.0,252000.0,2800.0,D,58505384364.60205,4.307295862369711e-06
2025-07-29,2025-07-29 00:00:00,0000950170-25-099670,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Shao Wei-Ming,0001663488,EVP & General Counsel,false,true,false,P,2500.0,90.0,225000.0,2500.0,D,58505384364.60205,3.845799877115813e-06
2025-07-29,2025-07-29 00:00:00,0000950170-25-099667,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Dietze Jane A,0001341187,,true,false,false,P,1500.0,90.0,135000.0,1500.0,D,58505384364.60205,2.307479926269488e-06
2025-06-05,2025-06-09 00:00:00,0000950170-25-084003,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Patten Jarrod M,0001309191,,true,false,false,P,5000.0,85.0,425000.0,5000.0,D,58505384364.60205,7.264288656774314e-06
2025-06-05,2025-06-09 00:00:00,0000950170-25-083986,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Le Phong,0001651669,President & CEO,true,true,false,P,4500.0,85.0,382500.0,4500.0,D,58505384364.60205,6.537859791096883e-06
2025-06-05,2025-06-09 00:00:00,0000950170-25-083995,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Shao Wei-Ming,0001663488,EVP & General Counsel,false,true,false,P,3527.0,85.0,299795.0,3527.0,D,58505384364.60205,5.1242292184886015e-06
2025-06-05,2025-06-09 00:00:00,0000950170-25-083989,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Kang Andrew,0001825170,EVP & CFO,false,true,false,P,2250.0,85.0,191250.0,2250.0,D,58505384364.60205,3.2689298955484414e-06
2025-05-27,2025-05-29 00:00:00,0000950170-25-079133,MSTR,Strategy Inc,0001050446,NASDAQ,6199,Finance Services,"Finance, Insurance, Real Estate",Patten Jarrod M,0001309191,,true,false,false,P,10000.0,101.378,1013780.0,10000.0,D,58505384364.60205,1.7327977775210975e-05
