txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-08-11,2026-08-12 00:00:00,0001540655-26-000015,MTDR,Matador Resources Co,0001520006,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Foran Joseph Wm,0001540655,Chairman and CEO,true,true,false,P,709.0,51.68,36641.12,15617.0,D,6385717356.766052,5.73798023822281e-06
2026-08-10,2026-08-12 00:00:00,0001540655-26-000015,MTDR,Matador Resources Co,0001520006,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Foran Joseph Wm,0001540655,Chairman and CEO,true,true,false,P,3130.0,51.04,159755.2,14908.0,D,6385717356.766052,2.5017580809574942e-05
2026-08-10,2026-08-12 00:00:00,0001934692-26-000004,MTDR,Matador Resources Co,0001520006,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Elsener William Thomas,0001934692,"EVP, Reservoir Engineering",false,true,false,P,850.0,50.94,43299.0,114879.0,D,6385717356.766052,6.780600765882959e-06
2026-06-15,2026-06-17 00:00:00,0001688490-26-000006,MTDR,Matador Resources Co,0001520006,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Baty Robert Gaines,0001688490,,true,false,false,P,500.0,51.44,25720.0,77538.0,D,6385717356.766052,4.027738555128518e-06
2026-06-09,2026-06-11 00:00:00,0001540655-26-000012,MTDR,Matador Resources Co,0001520006,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Foran Joseph Wm,0001540655,Chairman and CEO,true,true,false,P,2000.0,53.07,106140.0,11479.0,D,6385717356.766052,1.662146851638184e-05
2026-06-09,2026-06-11 00:00:00,0002020289-26-000006,MTDR,Matador Resources Co,0001520006,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Stetson Glenn W,0002020289,EVP and COO,false,true,false,P,500.0,53.41,26705.0,95470.0,D,6385717356.766052,4.181989040229669e-06
2026-06-08,2026-06-10 00:00:00,0001786877-26-000002,MTDR,Matador Resources Co,0001520006,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Ehrman Monika U,0001786877,,true,false,false,P,362.0,55.28,20011.36,41825.0,D,6385717356.766052,3.1337685152626994e-06
2026-06-04,2026-06-08 00:00:00,0001540655-26-000010,MTDR,Matador Resources Co,0001520006,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Foran Joseph Wm,0001540655,Chairman and CEO,true,true,false,P,2000.0,56.25,112500.0,9479.0,D,6385717356.766052,1.7617441191755764e-05
2026-05-29,2026-06-02 00:00:00,0002020286-26-000005,MTDR,Matador Resources Co,0001520006,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Calvert Christopher P,0002020286,EVP and CFO,false,true,false,P,1500.0,53.24,79860.0,41500.0,I,6385717356.766052,1.2506034253987693e-05
2026-05-29,2026-06-02 00:00:00,0001540655-26-000008,MTDR,Matador Resources Co,0001520006,NYSE,1311,Crude Petroleum & Natural Gas,Mining,Foran Joseph Wm,0001540655,Chairman and CEO,true,true,false,P,482.0,52.7,25401.4,7479.0,D,6385717356.766052,3.977845961673466e-06
