txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-05,2026-06-09 00:00:00,0001193125-26-263732,MYO,"MYOMO, INC.",0001369290,AMEX,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,KIRK THOMAS F,0001258258,,true,false,false,P,40002.0,1.27,50802.54,693865.0,D,51094130.14908028,0.0009942930792983561
2026-05-28,2026-06-01 00:00:00,0001193125-26-249844,MYO,"MYOMO, INC.",0001369290,AMEX,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,KIRK THOMAS F,0001258258,,true,false,false,P,25000.0,0.993,24825.0,653863.0,D,51094130.14908028,0.0004858679446653984
2026-05-18,2026-05-18 00:00:00,0001193125-26-229323,MYO,"MYOMO, INC.",0001369290,AMEX,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,KIRK THOMAS F,0001258258,,true,false,false,P,43401.0,0.91,39494.91,628863.0,D,51094130.14908028,0.0007729833130491397
2026-05-15,2026-05-18 00:00:00,0001193125-26-229323,MYO,"MYOMO, INC.",0001369290,AMEX,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,KIRK THOMAS F,0001258258,,true,false,false,P,31605.0,0.9096,28747.908,585462.0,D,51094130.14908028,0.0005626460009421939
2026-05-15,2026-05-18 00:00:00,0001664091-26-000002,MYO,"MYOMO, INC.",0001369290,AMEX,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Manko Joseph M. Jr.,0001664091,,true,false,false,P,30367.0,0.8878,26959.8226,2309775.0,I,51094130.14908028,0.0005276500944695169
2026-05-14,2026-05-18 00:00:00,0001664091-26-000002,MYO,"MYOMO, INC.",0001369290,AMEX,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Manko Joseph M. Jr.,0001664091,,true,false,false,P,170830.0,0.8602,146947.966,2279408.0,I,51094130.14908028,0.002876024419463478
2026-03-16,2026-03-17 00:00:00,0001193125-26-111290,MYO,"MYOMO, INC.",0001369290,AMEX,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Getz Heather C,0001481485,,true,false,false,P,20000.0,0.6986,13972.0,131754.0,D,51094130.14908028,0.0002734560694004007
2026-03-13,2026-03-16 00:00:00,0001193125-26-108732,MYO,"MYOMO, INC.",0001369290,AMEX,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,KIRK THOMAS F,0001258258,,true,false,false,P,72000.0,0.7099,51112.799999999996,553857.0,D,51094130.14908028,0.0010003654010913826
2026-03-12,2026-03-12 00:00:00,0001193125-26-104456,MYO,"MYOMO, INC.",0001369290,AMEX,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Getz Heather C,0001481485,,true,false,false,P,70000.0,0.728,50960.0,111754.0,D,51094130.14908028,0.0009973748423020626
2025-11-21,2025-11-24 00:00:00,0001193125-25-293665,MYO,"MYOMO, INC.",0001369290,AMEX,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,KIRK THOMAS F,0001258258,,true,false,false,P,2535.0,0.72,1825.2,481857.0,D,51094130.14908028,3.572230302530857e-05
2025-11-20,2025-11-24 00:00:00,0001193125-25-293665,MYO,"MYOMO, INC.",0001369290,AMEX,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,KIRK THOMAS F,0001258258,,true,false,false,P,4902.0,0.72,3529.44,479322.0,D,51094130.14908028,6.907721082053752e-05
2025-11-19,2025-11-21 00:00:00,0001193125-25-291710,MYO,"MYOMO, INC.",0001369290,AMEX,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Crowley Thomas Aloysius Jr.,0001706753,,true,false,false,P,385.0,0.765,294.525,479.0,I,51094130.14908028,5.764360781574077e-06
2025-11-18,2025-11-21 00:00:00,0001193125-25-291710,MYO,"MYOMO, INC.",0001369290,AMEX,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",Manufacturing,Crowley Thomas Aloysius Jr.,0001706753,,true,false,false,P,4000.0,0.7345,2938.0,75748.0,D,51094130.14908028,5.750171284700667e-05
