txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-09-19,2025-09-19 00:00:00,0001213900-25-089528,MYSE,"Myseum.AI, Inc.",0001648960,NASDAQ,4822,Telegraph & Other Message Communications,"Transportation, Communications, Electric, Gas",Myman Darin M,0001349673,Chief Executive Officer,true,true,false,P,2700.0,2.1695,5857.650000000001,194516.0,D,16260077.042294025,0.00036024737058524934
2025-09-19,2025-09-19 00:00:00,0001213900-25-089528,MYSE,"Myseum.AI, Inc.",0001648960,NASDAQ,4822,Telegraph & Other Message Communications,"Transportation, Communications, Electric, Gas",Myman Darin M,0001349673,Chief Executive Officer,true,true,false,P,1000.0,2.15,2150.0,191816.0,D,16260077.042294025,0.00013222569575824537
2025-09-19,2025-09-19 00:00:00,0001213900-25-089528,MYSE,"Myseum.AI, Inc.",0001648960,NASDAQ,4822,Telegraph & Other Message Communications,"Transportation, Communications, Electric, Gas",Myman Darin M,0001349673,Chief Executive Officer,true,true,false,P,300.0,2.145,643.5,190816.0,D,16260077.042294025,3.957545824206088e-05
2025-09-03,2025-09-03 00:00:00,0001213900-25-084207,MYSE,"Myseum.AI, Inc.",0001648960,NASDAQ,4822,Telegraph & Other Message Communications,"Transportation, Communications, Electric, Gas",Myman Darin M,0001349673,Chief Executive Officer,true,true,false,P,2600.0,1.9499,5069.74,190516.0,D,16260077.042294025,0.0003117906506108869
2025-09-03,2025-09-03 00:00:00,0001213900-25-084207,MYSE,"Myseum.AI, Inc.",0001648960,NASDAQ,4822,Telegraph & Other Message Communications,"Transportation, Communications, Electric, Gas",Myman Darin M,0001349673,Chief Executive Officer,true,true,false,P,400.0,1.935,774.0,187916.0,D,16260077.042294025,4.7601250472968335e-05
2025-09-02,2025-09-02 00:00:00,0001213900-25-083530,MYSE,"Myseum.AI, Inc.",0001648960,NASDAQ,4822,Telegraph & Other Message Communications,"Transportation, Communications, Electric, Gas",Myman Darin M,0001349673,Chief Executive Officer,true,true,false,P,3000.0,1.99,5970.0,187516.0,D,16260077.042294025,0.00036715693194266274
2025-08-28,2025-08-28 00:00:00,0001213900-25-081924,MYSE,"Myseum.AI, Inc.",0001648960,NASDAQ,4822,Telegraph & Other Message Communications,"Transportation, Communications, Electric, Gas",Myman Darin M,0001349673,Chief Executive Officer,true,true,false,P,500.0,2.65,1325.0,184516.0,D,16260077.042294025,8.148792878124424e-05
2025-08-28,2025-08-28 00:00:00,0001213900-25-081924,MYSE,"Myseum.AI, Inc.",0001648960,NASDAQ,4822,Telegraph & Other Message Communications,"Transportation, Communications, Electric, Gas",Myman Darin M,0001349673,Chief Executive Officer,true,true,false,P,600.0,2.07,1242.0,183516.0,D,16260077.042294025,7.638340192173989e-05
2025-08-28,2025-08-28 00:00:00,0001213900-25-081924,MYSE,"Myseum.AI, Inc.",0001648960,NASDAQ,4822,Telegraph & Other Message Communications,"Transportation, Communications, Electric, Gas",Myman Darin M,0001349673,Chief Executive Officer,true,true,false,P,500.0,2.05,1025.0,184016.0,D,16260077.042294025,6.303783169869837e-05
2025-08-28,2025-08-28 00:00:00,0001213900-25-081924,MYSE,"Myseum.AI, Inc.",0001648960,NASDAQ,4822,Telegraph & Other Message Communications,"Transportation, Communications, Electric, Gas",Myman Darin M,0001349673,Chief Executive Officer,true,true,false,P,400.0,2.0,800.0,182916.0,D,16260077.042294025,4.9200258886788976e-05
2025-08-18,2025-08-19 00:00:00,0001213900-25-078520,MYSE,"Myseum.AI, Inc.",0001648960,NASDAQ,4822,Telegraph & Other Message Communications,"Transportation, Communications, Electric, Gas",Myman Darin M,0001349673,Chief Executive Officer,true,true,false,P,3000.0,1.9132,5739.6,180016.0,D,16260077.042294025,0.0003529872573832675
2025-08-18,2025-08-19 00:00:00,0001213900-25-078520,MYSE,"Myseum.AI, Inc.",0001648960,NASDAQ,4822,Telegraph & Other Message Communications,"Transportation, Communications, Electric, Gas",Myman Darin M,0001349673,Chief Executive Officer,true,true,false,P,2500.0,2.15,5375.0,182516.0,D,16260077.042294025,0.0003305642393956134
2025-08-18,2025-08-19 00:00:00,0001213900-25-078520,MYSE,"Myseum.AI, Inc.",0001648960,NASDAQ,4822,Telegraph & Other Message Communications,"Transportation, Communications, Electric, Gas",Myman Darin M,0001349673,Chief Executive Officer,true,true,false,P,616.0,1.93,1188.8799999999999,177016.0,D,16260077.042294025,7.311650473165709e-05
