txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-03-30,2026-03-31 00:00:00,0001303170-26-000003,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,Williams Anre D,0001303170,,true,false,false,P,100000.0,12.0,1200000.0,215024.0,D,5020744859.769449,0.0002390083610134102
2026-01-07,2026-01-09 00:00:00,0001231919-26-000037,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,"Andreessen Horowitz LSV Fund I, L.P.",0001772284,,false,false,true,P,46337.0,18.11,839163.07,8346792.0,I,5020744859.769449,0.00016713915831973467
2026-01-07,2026-01-09 00:00:00,0001231919-26-000036,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,"Andreessen Horowitz LSV Fund III, L.P.",0001889367,,false,false,true,P,46337.0,18.11,839163.07,8346792.0,I,5020744859.769449,0.00016713915831973467
2026-01-07,2026-01-09 00:00:00,0001231919-26-000035,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,"Andreessen Horowitz Fund V, L.P.",0001675239,,false,false,true,P,46337.0,18.11,839163.07,8346792.0,I,5020744859.769449,0.00016713915831973467
2026-01-07,2026-01-09 00:00:00,0001166586-26-000004,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,HOROWITZ BENJAMIN A,0001166586,,true,false,true,P,46337.0,18.11,839163.07,8346792.0,I,5020744859.769449,0.00016713915831973467
2026-01-06,2026-01-06 00:00:00,0001231919-26-000015,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,"Andreessen Horowitz LSV Fund I, L.P.",0001772284,,false,false,true,P,308188.0,16.74,5159067.119999999,8300455.0,I,5020744859.769449,0.0010275501472578118
2026-01-06,2026-01-06 00:00:00,0001231919-26-000013,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,"Andreessen Horowitz Fund V, L.P.",0001675239,,false,false,true,P,308188.0,16.74,5159067.119999999,8300455.0,I,5020744859.769449,0.0010275501472578118
2026-01-06,2026-01-06 00:00:00,0001231919-26-000014,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,"Andreessen Horowitz LSV Fund III, L.P.",0001889367,,false,false,true,P,308188.0,16.74,5159067.119999999,8300455.0,I,5020744859.769449,0.0010275501472578118
2026-01-06,2026-01-06 00:00:00,0001166586-26-000002,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,HOROWITZ BENJAMIN A,0001166586,,true,false,true,P,308188.0,16.74,5159067.119999999,8300455.0,I,5020744859.769449,0.0010275501472578118
2026-01-05,2026-01-06 00:00:00,0001166586-26-000002,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,HOROWITZ BENJAMIN A,0001166586,,true,false,true,P,202729.0,15.77,3197036.33,7992267.0,I,5020744859.769449,0.00063676534444469
2026-01-05,2026-01-06 00:00:00,0001231919-26-000015,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,"Andreessen Horowitz LSV Fund I, L.P.",0001772284,,false,false,true,P,202729.0,15.77,3197036.33,7992267.0,I,5020744859.769449,0.00063676534444469
2026-01-05,2026-01-06 00:00:00,0001231919-26-000013,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,"Andreessen Horowitz Fund V, L.P.",0001675239,,false,false,true,P,202729.0,15.77,3197036.33,7992267.0,I,5020744859.769449,0.00063676534444469
2026-01-05,2026-01-06 00:00:00,0001231919-26-000014,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,"Andreessen Horowitz LSV Fund III, L.P.",0001889367,,false,false,true,P,202729.0,15.77,3197036.33,7992267.0,I,5020744859.769449,0.00063676534444469
2026-01-02,2026-01-06 00:00:00,0001166586-26-000002,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,HOROWITZ BENJAMIN A,0001166586,,true,false,true,P,466058.0,16.27,7582763.66,7789538.0,I,5020744859.769449,0.001510286595273873
2026-01-02,2026-01-06 00:00:00,0001231919-26-000014,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,"Andreessen Horowitz LSV Fund III, L.P.",0001889367,,false,false,true,P,466058.0,16.27,7582763.66,7789538.0,I,5020744859.769449,0.001510286595273873
2026-01-02,2026-01-06 00:00:00,0001231919-26-000013,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,"Andreessen Horowitz Fund V, L.P.",0001675239,,false,false,true,P,466058.0,16.27,7582763.66,7789538.0,I,5020744859.769449,0.001510286595273873
2026-01-02,2026-01-06 00:00:00,0001231919-26-000015,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,"Andreessen Horowitz LSV Fund I, L.P.",0001772284,,false,false,true,P,466058.0,16.27,7582763.66,7789538.0,I,5020744859.769449,0.001510286595273873
2025-12-29,2025-12-29 00:00:00,0001166586-25-000011,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,HOROWITZ BENJAMIN A,0001166586,,true,false,true,P,99502.0,16.16,1607952.32,7323480.0,I,5020744859.769449,0.00032026170715909204
2025-12-29,2025-12-29 00:00:00,0001231919-25-000664,NAVN,"Navan, Inc.",0001639723,NASDAQ,7372,Services-Prepackaged Software,Services,"Andreessen Horowitz LSV Fund I, L.P.",0001772284,,false,false,true,P,99502.0,16.16,1607952.32,7323480.0,I,5020744859.769449,0.00032026170715909204
