txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-19,2026-05-19 00:00:00,0001104659-26-063829,NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,NYSE,4400,Water Transportation,"Transportation, Communications, Electric, Gas",Cil Jose E.,0001552282,,true,false,false,P,10000.0,14.91,149100.0,74295.0,I,6790238953.086338,2.1957990142928656e-05
2026-05-18,2026-05-19 00:00:00,0001104659-26-063829,NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,NYSE,4400,Water Transportation,"Transportation, Communications, Electric, Gas",Cil Jose E.,0001552282,,true,false,false,P,5000.0,15.25,76250.0,64295.0,I,6790238953.086338,1.122935444935151e-05
2026-05-11,2026-05-12 00:00:00,0001104659-26-059407,NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,NYSE,4400,Water Transportation,"Transportation, Communications, Electric, Gas",MacDonald Brian P,0001469829,,true,false,false,P,15000.0,16.54,248100.0,23912.0,D,6790238953.086338,3.653774214929979e-05
2026-05-07,2026-05-11 00:00:00,0001104659-26-058286,NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,NYSE,4400,Water Transportation,"Transportation, Communications, Electric, Gas",Byng-Thorne Zillah,0001951623,,true,false,false,P,25015.0,17.67,442015.05000000005,99811.0,D,6790238953.086338,6.509565466751253e-05
2026-05-07,2026-05-11 00:00:00,0001104659-26-058839,NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,NYSE,4400,Water Transportation,"Transportation, Communications, Electric, Gas",Lansberry Kevin Allen,0002128572,,true,false,false,P,11400.0,17.28,196992.0,20312.0,D,6790238953.086338,2.901105562867741e-05
2026-05-07,2026-05-11 00:00:00,0001104659-26-058286,NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,NYSE,4400,Water Transportation,"Transportation, Communications, Electric, Gas",Byng-Thorne Zillah,0001951623,,true,false,false,P,4452.0,17.83,79379.15999999999,25742.0,I,6790238953.086338,1.1690186538121773e-05
2025-11-25,2025-11-25 00:00:00,0001104659-25-115961,NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,NYSE,4400,Water Transportation,"Transportation, Communications, Electric, Gas",Dahlgren Patrik,0001981441,"EVP, Chief Vessel Ops & NO",false,true,false,P,5550.0,17.942,99578.1,144817.0,D,6790238953.086338,1.466488892187501e-05
2025-11-07,2025-11-12 00:00:00,0001104659-25-109850,NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,NYSE,4400,Water Transportation,"Transportation, Communications, Electric, Gas",Curtis Harry C,0001886680,,true,false,false,P,5000.0,19.2499,96249.5,50325.0,D,6790238953.086338,1.4174685259971908e-05
2025-11-06,2025-11-10 00:00:00,0001104659-25-108843,NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,NYSE,4400,Water Transportation,"Transportation, Communications, Electric, Gas",Byng-Thorne Zillah,0001951623,,true,false,false,P,29008.0,18.11,525334.88,66017.0,D,6790238953.086338,7.736618455249234e-05
2025-11-06,2025-11-06 00:00:00,0001104659-25-107857,NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,NYSE,4400,Water Transportation,"Transportation, Communications, Electric, Gas",Sommer Harry,0001666918,Pres. & CEO of NCLH,true,true,false,P,25000.0,18.5173,462932.49999999994,720728.0,D,6790238953.086338,6.817617217868088e-05
2025-11-06,2025-11-06 00:00:00,0001104659-25-107862,NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,NYSE,4400,Water Transportation,"Transportation, Communications, Electric, Gas",Montague Jason,0001626783,Chief Luxury Officer,false,true,false,P,13400.0,18.8075,252020.5,13400.0,I,6790238953.086338,3.711511505577432e-05
2025-11-06,2025-11-06 00:00:00,0001104659-25-107865,NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,NYSE,4400,Water Transportation,"Transportation, Communications, Electric, Gas",Kempa Mark,0001733565,EVP & CFO,false,true,false,P,10635.0,18.5285,197050.5975,369352.0,D,6790238953.086338,2.9019685295527845e-05
2025-11-06,2025-11-10 00:00:00,0001104659-25-108845,NCLH,Norwegian Cruise Line Holdings Ltd.,0001513761,NYSE,4400,Water Transportation,"Transportation, Communications, Electric, Gas",David Stella,0001693125,,true,false,false,P,6986.0,18.59,129869.74,103474.0,D,6790238953.086338,1.9125945478099984e-05
