txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2025-08-15,2025-08-18 00:00:00,0001376474-25-000760,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,11111.0,104.72,1163543.92,3511111.0,D,351934052.3413067,0.003306141909995091
2025-08-07,2025-08-14 00:00:00,0001376474-25-000750,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,49374.0,55.55,2742725.6999999997,3500000.0,D,351934052.3413067,0.007793294458872358
2025-08-06,2025-08-06 00:00:00,0001376474-25-000709,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,55555.0,55.55,3086080.25,3444443.0,D,351934052.3413067,0.008768916305396644
2025-08-06,2025-08-14 00:00:00,0001376474-25-000750,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,6183.0,58.78,363436.74,3450626.0,D,351934052.3413067,0.0010326842133694355
2025-08-04,2025-08-06 00:00:00,0001376474-25-000709,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,55555.0,52.52,2917748.6,3388888.0,D,351934052.3413067,0.008290611779647737
2025-07-29,2025-07-29 00:00:00,0001376474-25-000686,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,132700.0,42.42,5629134.0,3327276.0,D,351934052.3413067,0.015994854611399892
2025-07-29,2025-07-29 00:00:00,0001376474-25-000686,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,6057.0,40.4,244702.8,3333333.0,D,351934052.3413067,0.000695308676077433
2025-07-17,2025-07-21 00:00:00,0001376474-25-000644,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,166495.0,29.54,4918262.3,3055552.0,D,351934052.3413067,0.013974954305445425
2025-07-17,2025-07-21 00:00:00,0001376474-25-000644,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,139004.0,30.19,4196530.76,3194576.0,D,351934052.3413067,0.011924196400097686
2025-07-17,2025-07-21 00:00:00,0001376474-25-000644,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,111300.0,29.24,3254412.0,2889077.0,D,351934052.3413067,0.009247221115289696
2025-07-17,2025-07-18 00:00:00,0001376474-25-000637,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,66666.0,28.82,1921314.12,2777777.0,D,351934052.3413067,0.0054593015572608015
2025-07-17,2025-07-18 00:00:00,0001376474-25-000637,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,44445.0,30.3,1346683.5,2711111.0,D,351934052.3413067,0.003826522301666854
2025-07-16,2025-07-18 00:00:00,0001376474-25-000637,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,66666.0,28.28,1885314.48,26622221.0,D,351934052.3413067,0.0053570106883877675
2025-07-16,2025-07-18 00:00:00,0001376474-25-000637,NEGG,"Newegg Commerce, Inc.",0001474627,NASDAQ,5990,"Retail-Retail Stores, Nec",Retail Trade,Galkin Vladimir,0002020621,,false,false,true,P,44445.0,28.0,1244460.0,2666666.0,D,351934052.3413067,0.0035360602127614492
