txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-01-14,2026-01-16 00:00:00,0001628280-26-002269,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",SLOANE BARRY,0001124485,"President, Chairman & CEO",true,true,false,P,3595.0,13.91,50006.45,1194180.0,D,374232739.9819908,0.00013362393146683653
2026-01-14,2026-01-16 00:00:00,0001628280-26-002273,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Schwartz Michael Adam,0001337003,Chief Legal Officer,false,true,false,P,2247.0,13.91,31255.77,49713.0,D,374232739.9819908,8.35196033396333e-05
2026-01-14,2026-01-16 00:00:00,0001628280-26-002271,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",DeMaria Frank M,0001871721,Cheif Financial Officer,false,true,false,P,1556.0,13.91,21643.96,35220.0,D,374232739.9819908,5.783555976700908e-05
2026-01-14,2026-01-16 00:00:00,0001628280-26-002276,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Razon-Feingold Halli,0001886713,"SVP, Human Resources & CAO",true,true,false,P,1258.0,13.91,17498.78,22915.0,D,374232739.9819908,4.675908366767187e-05
2025-12-15,2025-12-15 00:00:00,0001628280-25-056889,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Zink Gregory L,0001702555,,true,false,false,P,500.0,12.06,6030.0,37707.0,D,374232739.9819908,1.6112967562084978e-05
2025-12-08,2025-12-08 00:00:00,0001628280-25-055767,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",SALUTE RICHARD J,0001235974,,true,false,false,P,900.0,11.28,10152.0,44505.0,D,374232739.9819908,2.712750359706247e-05
2025-12-05,2025-12-08 00:00:00,0001628280-25-055719,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Brunet Craig Jeffry,0001368936,,true,false,false,P,789.0,11.3114,8924.6946,5572.0,D,374232739.9819908,2.3847979202539796e-05
2025-11-03,2025-11-03 00:00:00,0001628280-25-048009,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",SLOANE BARRY,0001124485,Chairman & CEO,true,true,false,P,2000.0,10.265,20530.0,1208459.0,D,374232739.9819908,5.4858909460962617e-05
2025-11-03,2025-11-03 00:00:00,0001628280-25-048009,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",SLOANE BARRY,0001124485,Chairman & CEO,true,true,false,P,2000.0,10.245,20490.0,1210459.0,D,374232739.9819908,5.47520241040002e-05
2025-11-03,2025-11-03 00:00:00,0001628280-25-048009,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",SLOANE BARRY,0001124485,Chairman & CEO,true,true,false,P,2000.0,10.23,20460.0,1212459.0,D,374232739.9819908,5.467186008627838e-05
2025-11-03,2025-11-03 00:00:00,0001628280-25-048009,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",SLOANE BARRY,0001124485,Chairman & CEO,true,true,false,P,2000.0,10.185,20370.0,1204459.0,D,374232739.9819908,5.443136803311294e-05
2025-11-03,2025-11-03 00:00:00,0001628280-25-048009,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",SLOANE BARRY,0001124485,Chairman & CEO,true,true,false,P,2000.0,10.16,20320.0,1206459.0,D,374232739.9819908,5.429776133690991e-05
2025-11-03,2025-11-04 00:00:00,0001628280-25-048530,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",Zink Gregory L,0001702555,,true,false,false,P,1000.0,10.43,10430.0,37207.0,D,374232739.9819908,2.7870356827951297e-05
2025-08-01,2025-08-04 00:00:00,0001587987-25-000133,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",SALUTE RICHARD J,0001235974,,true,false,false,P,1400.0,11.2499,15749.86,43605.0,D,374232739.9819908,4.2085735205203935e-05
2025-08-01,2025-08-04 00:00:00,0001587987-25-000133,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",SALUTE RICHARD J,0001235974,,true,false,false,P,700.0,11.23,7861.0,42205.0,D,374232739.9819908,2.1005644777039804e-05
2025-06-20,2025-06-23 00:00:00,0001587987-25-000111,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",SLOANE BARRY,0001124485,Chairman & CEO,true,true,false,P,1000.0,10.3925,10392.5,1202459.0,D,374232739.9819908,2.7770151805799027e-05
2025-06-20,2025-06-23 00:00:00,0001587987-25-000111,NEWT,"NewtekOne, Inc.",0001587987,NASDAQ,6021,National Commercial Banks,"Finance, Insurance, Real Estate",SLOANE BARRY,0001124485,Chairman & CEO,true,true,false,P,1000.0,10.3923,10392.300000000001,1201459.0,D,374232739.9819908,2.776961737901422e-05
