txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-24,2026-04-24 00:00:00,0001193125-26-178241,NMM,Navios Maritime Partners L.P.,0001415921,NYSE,4412,Deep Sea Foreign Transportation of Freight,"Transportation, Communications, Electric, Gas",Frangou Angeliki,0001310495,See Remarks,true,true,true,P,1196.0,70.39,84186.44,4706675.0,I,2077007821.3408585,4.053255800724505e-05
2026-04-23,2026-04-24 00:00:00,0001193125-26-178241,NMM,Navios Maritime Partners L.P.,0001415921,NYSE,4412,Deep Sea Foreign Transportation of Freight,"Transportation, Communications, Electric, Gas",Frangou Angeliki,0001310495,See Remarks,true,true,true,P,1187.0,70.2178,83348.52859999999,4705479.0,I,2077007821.3408585,4.012913564581211e-05
2026-04-22,2026-04-24 00:00:00,0001193125-26-178241,NMM,Navios Maritime Partners L.P.,0001415921,NYSE,4412,Deep Sea Foreign Transportation of Freight,"Transportation, Communications, Electric, Gas",Frangou Angeliki,0001310495,See Remarks,true,true,true,P,1214.0,69.575,84464.05,4704292.0,I,2077007821.3408585,4.0666216627664097e-05
2026-04-21,2026-04-21 00:00:00,0001193125-26-167756,NMM,Navios Maritime Partners L.P.,0001415921,NYSE,4412,Deep Sea Foreign Transportation of Freight,"Transportation, Communications, Electric, Gas",Frangou Angeliki,0001310495,See Remarks,true,true,true,P,1190.0,69.2251,82377.86899999999,4703078.0,I,2077007821.3408585,3.9661800092220706e-05
2026-04-20,2026-04-21 00:00:00,0001193125-26-167756,NMM,Navios Maritime Partners L.P.,0001415921,NYSE,4412,Deep Sea Foreign Transportation of Freight,"Transportation, Communications, Electric, Gas",Frangou Angeliki,0001310495,See Remarks,true,true,true,P,1190.0,70.2968,83653.19200000001,4701888.0,I,2077007821.3408585,4.02758194458776e-05
2026-04-17,2026-04-21 00:00:00,0001193125-26-167756,NMM,Navios Maritime Partners L.P.,0001415921,NYSE,4412,Deep Sea Foreign Transportation of Freight,"Transportation, Communications, Electric, Gas",Frangou Angeliki,0001310495,See Remarks,true,true,true,P,1201.0,70.3947,84544.0347,4700698.0,I,2077007821.3408585,4.0704726208214625e-05
2026-04-16,2026-04-16 00:00:00,0001193125-26-159866,NMM,Navios Maritime Partners L.P.,0001415921,NYSE,4412,Deep Sea Foreign Transportation of Freight,"Transportation, Communications, Electric, Gas",Frangou Angeliki,0001310495,See Remarks,true,true,true,P,1199.0,69.7124,83585.1676,4699497.0,I,2077007821.3408585,4.024306829332965e-05
2026-04-15,2026-04-16 00:00:00,0001193125-26-159866,NMM,Navios Maritime Partners L.P.,0001415921,NYSE,4412,Deep Sea Foreign Transportation of Freight,"Transportation, Communications, Electric, Gas",Frangou Angeliki,0001310495,See Remarks,true,true,true,P,1201.0,70.2259,84341.30589999999,4698298.0,I,2077007821.3408585,4.060712002786373e-05
2026-04-14,2026-04-16 00:00:00,0001193125-26-159866,NMM,Navios Maritime Partners L.P.,0001415921,NYSE,4412,Deep Sea Foreign Transportation of Freight,"Transportation, Communications, Electric, Gas",Frangou Angeliki,0001310495,See Remarks,true,true,true,P,1192.0,70.3857,83899.7544,4697097.0,I,2077007821.3408585,4.039452983178304e-05
2026-04-13,2026-04-13 00:00:00,0001193125-26-153427,NMM,Navios Maritime Partners L.P.,0001415921,NYSE,4412,Deep Sea Foreign Transportation of Freight,"Transportation, Communications, Electric, Gas",Frangou Angeliki,0001310495,See Remarks,true,true,true,P,1204.0,70.2395,84568.35800000001,4695905.0,I,2077007821.3408585,4.0716436948901345e-05
