txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-06-03,2026-06-04 00:00:00,0001000753-26-000078,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,SARVADI PAUL J,0001032399,Chairman of the Board & CEO,true,true,false,P,233000.0,34.05,7933649.999999999,1105912.0,I,2016328338.268814,0.00393470143201563
2026-05-05,2026-05-06 00:00:00,0001000753-26-000053,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,SARVADI PAUL J,0001032399,Chairman of the Board & CEO,true,true,false,P,49543.0,29.26,1449628.1800000002,699270.0,D,2016328338.268814,0.0007189445054591788
2026-05-05,2026-05-06 00:00:00,0001000753-26-000053,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,SARVADI PAUL J,0001032399,Chairman of the Board & CEO,true,true,false,P,50057.0,28.2,1411607.4,649727.0,D,2016328338.268814,0.0007000880626475659
2026-05-05,2026-05-06 00:00:00,0001000753-26-000053,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,SARVADI PAUL J,0001032399,Chairman of the Board & CEO,true,true,false,P,400.0,30.0,12000.0,699670.0,D,2016328338.268814,5.951411668549479e-06
2026-03-19,2026-03-19 00:00:00,0001000753-26-000037,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,SARVADI PAUL J,0001032399,Chairman of the Board & CEO,true,true,false,P,22991.0,23.57,541897.87,995903.0,I,2016328338.268814,0.0002687547755566757
2026-03-19,2026-03-19 00:00:00,0001000753-26-000037,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,SARVADI PAUL J,0001032399,Chairman of the Board & CEO,true,true,false,P,2009.0,23.93,48075.37,997912.0,I,2016328338.268814,2.384302649898613e-05
2026-03-18,2026-03-19 00:00:00,0001000753-26-000037,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,SARVADI PAUL J,0001032399,Chairman of the Board & CEO,true,true,false,P,160000.0,23.22,3715200.0,972912.0,I,2016328338.268814,0.0018425570525829186
2026-03-17,2026-03-19 00:00:00,0001000753-26-000037,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,SARVADI PAUL J,0001032399,Chairman of the Board & CEO,true,true,false,P,14987.0,22.53,337657.11000000004,472670.0,D,2016328338.268814,0.00016746137203522458
2026-03-17,2026-03-19 00:00:00,0001000753-26-000037,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,SARVADI PAUL J,0001032399,Chairman of the Board & CEO,true,true,false,P,2000.0,22.98,45960.0,474670.0,D,2016328338.268814,2.2793906690544503e-05
2026-03-11,2026-03-11 00:00:00,0001000753-26-000034,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,Callens Christian P,0002007014,"SVP Legal, Gen Counsel & Sec",false,true,false,P,1250.0,19.28,24100.0,29600.0,D,2016328338.268814,1.1952418434336869e-05
2026-03-11,2026-03-11 00:00:00,0001000753-26-000035,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,MASTERSON ELLEN H,0001045311,,true,false,false,P,1200.0,19.9,23880.0,20980.0,D,2016328338.268814,1.1843309220413462e-05
2026-03-10,2026-03-11 00:00:00,0001000753-26-000033,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,ALLISON JAMES D,0001740766,"EVP, Finance, CFO & Treasurer",false,true,false,P,10000.0,20.45,204500.0,94272.0,D,2016328338.268814,0.0001014219738515307
2025-11-07,2025-11-10 00:00:00,0001000753-25-000109,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,Mehl Randall,0001694310,,true,false,false,P,1000.0,33.88,33880.0,25707.0,D,2016328338.268814,1.6802818944204693e-05
2025-11-06,2025-11-10 00:00:00,0001000753-25-000109,NSP,"INSPERITY, INC.",0001000753,NYSE,7363,Services-Help Supply Services,Services,Mehl Randall,0001694310,,true,false,false,P,2000.0,34.25,68500.0,24707.0,D,2016328338.268814,3.397264160796994e-05
