txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-14,2026-05-15 00:00:00,0001493152-26-023727,NSPR,"InspireMD, Inc.",0001433607,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Stuka Paul,0001528577,,true,false,false,P,5000.0,1.15,5750.0,647871.0,D,46838962.0,0.0001227610466687968
2026-05-13,2026-05-15 00:00:00,0001493152-26-023727,NSPR,"InspireMD, Inc.",0001433607,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Stuka Paul,0001528577,,true,false,false,P,10000.0,1.1575,11575.0,642871.0,D,46838962.0,0.00024712332438109964
2026-05-12,2026-05-13 00:00:00,0001493152-26-022775,NSPR,"InspireMD, Inc.",0001433607,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Slosman Marvin,0001796908,CEO and President,true,true,false,P,21000.0,1.2,25200.0,3556658.0,D,46838962.0,0.0005380136306180312
2026-05-11,2026-05-12 00:00:00,0001493152-26-022564,NSPR,"InspireMD, Inc.",0001433607,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Stuka Paul,0001528577,,true,false,false,P,10000.0,1.19,11900.0,632871.0,D,46838962.0,0.0002540619922362925
2026-05-11,2026-05-13 00:00:00,0001493152-26-022763,NSPR,"InspireMD, Inc.",0001433607,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Stuka Paul,0001528577,,true,false,false,P,10000.0,1.19,11900.0,632871.0,D,46838962.0,0.0002540619922362925
2026-05-08,2026-05-12 00:00:00,0001493152-26-022564,NSPR,"InspireMD, Inc.",0001433607,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Stuka Paul,0001528577,,true,false,false,P,65626.0,1.16,76126.15999999999,622871.0,D,46838962.0,0.001625274274865442
2026-05-08,2026-05-13 00:00:00,0001493152-26-022763,NSPR,"InspireMD, Inc.",0001433607,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Stuka Paul,0001528577,,true,false,false,P,65626.0,1.16,76126.15999999999,622871.0,D,46838962.0,0.001625274274865442
2026-05-07,2026-05-08 00:00:00,0001493152-26-022013,NSPR,"InspireMD, Inc.",0001433607,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,ROUBIN GARY S,0001162533,,true,false,false,P,90000.0,1.18,106200.0,834478.0,D,46838962.0,0.0022673431576045603
2026-05-07,2026-05-08 00:00:00,0001493152-26-022020,NSPR,"InspireMD, Inc.",0001433607,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Ward Scott R.,0001174531,,true,false,false,P,73255.0,1.15,84243.25,237096.0,D,46838962.0,0.0017985720947445419
2026-05-07,2026-05-08 00:00:00,0001493152-26-022016,NSPR,"InspireMD, Inc.",0001433607,NASDAQ,3841,Surgical & Medical Instruments & Apparatus,Manufacturing,Stuka Paul,0001528577,,true,false,false,P,6378.0,1.15,7334.7,531599.0,D,46838962.0,0.0001565939911307172
