txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-04-28,2026-04-28 00:00:00,0001213900-26-048701,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",0001979414,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Heshmatpour Amir F,0001443035,President,true,true,true,P,10000.0,4.518,45180.0,3062000.0,D,108313818.50446987,0.0004171212927751737
2026-04-23,2026-04-23 00:00:00,0001213900-26-047218,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",0001979414,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Heshmatpour Amir F,0001443035,President,true,true,true,P,10000.0,4.9,49000.0,3052000.0,D,108313818.50446987,0.0004523891842847169
2026-04-23,2026-04-24 00:00:00,0001213900-26-047648,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",0001979414,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Neman-Ebrahim Yousha,0002071642,Chief Clinical Officer,false,true,false,P,500.0,4.88,2440.0,134760.0,D,108313818.50446987,2.2527134890912435e-05
2026-04-10,2026-04-10 00:00:00,0001213900-26-042427,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",0001979414,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Heshmatpour Amir F,0001443035,President,true,true,true,P,10000.0,4.895,48949.99999999999,3042000.0,D,108313818.50446987,0.00045192756266809975
2026-04-09,2026-04-09 00:00:00,0001213900-26-041899,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",0001979414,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Heshmatpour Amir F,0001443035,President,true,true,true,P,5000.0,5.19,25950.000000000004,3032000.0,D,108313818.50446987,0.00023958161902425316
2026-04-09,2026-04-13 00:00:00,0001213900-26-043112,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",0001979414,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,"SUH, DAVID JR.",0002128933,Chief Accounting Officer,false,true,false,P,200.0,5.0,1000.0,111866.0,D,108313818.50446987,9.232432332341162e-06
2026-04-08,2026-04-09 00:00:00,0001213900-26-041899,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",0001979414,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Heshmatpour Amir F,0001443035,President,true,true,true,P,10000.0,5.605,56050.00000000001,3027000.0,D,108313818.50446987,0.0005174778322277222
2026-04-06,2026-04-06 00:00:00,0001213900-26-040635,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",0001979414,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Heshmatpour Amir F,0001443035,President,true,true,true,P,5000.0,6.32,31600.0,3017000.0,D,108313818.50446987,0.0002917448617019807
2026-04-02,2026-04-06 00:00:00,0001213900-26-040635,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",0001979414,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Heshmatpour Amir F,0001443035,President,true,true,true,P,20000.0,6.0899,121798.0,3012000.0,D,108313818.50446987,0.0011244917932144887
2025-11-24,2025-11-24 00:00:00,0001213900-25-114323,NTHI,"NEONC TECHNOLOGIES HOLDINGS, INC.",0001979414,NASDAQ,2834,Pharmaceutical Preparations,Manufacturing,Heshmatpour Amir F,0001443035,President,true,true,true,P,6000.0,6.51,39060.0,2992000.0,D,108313818.50446987,0.00036061880690124574
