txn_date,filed_at,accession_no,ticker,company_name,cik,exchange,sic_code,sic_industry,sic_major_group,insider_name,insider_cik,insider_title,is_director,is_officer,is_ten_percent,txn_code,shares,price_per_share,total_value_usd,shares_owned_after,ownership_form,market_cap_usd,ratio_to_mcap
2026-05-20,2026-05-20 00:00:00,0001493152-26-024570,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAJEEB,0001135216,CEO,true,true,false,P,2000.0,4.03,8060.000000000001,980999.0,D,50237231.44652462,0.0001604387775345368
2026-05-20,2026-05-20 00:00:00,0001493152-26-024570,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAJEEB,0001135216,CEO,true,true,false,P,2000.0,4.01,8020.0,982999.0,D,50237231.44652462,0.00015964255531352174
2026-05-20,2026-05-20 00:00:00,0001493152-26-024570,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAJEEB,0001135216,CEO,true,true,false,P,1000.0,4.04,4040.0,983999.0,D,50237231.44652462,8.041844432252216e-05
2026-02-18,2026-02-18 00:00:00,0001493152-26-007314,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAJEEB,0001135216,CEO,true,true,false,P,3000.0,3.26,9780.0,934002.0,D,50237231.44652462,0.00019467633303818486
2026-02-18,2026-02-18 00:00:00,0001493152-26-007314,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAJEEB,0001135216,CEO,true,true,false,P,3000.0,3.24,9720.0,937002.0,D,50237231.44652462,0.00019348199970666225
2025-11-17,2025-11-17 00:00:00,0001493152-25-023804,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAJEEB,0001135216,CEO,true,true,false,P,3450.0,2.93,10108.5,931002.0,D,50237231.44652462,0.00020121530802827113
2025-11-17,2025-11-17 00:00:00,0001493152-25-023804,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAJEEB,0001135216,CEO,true,true,false,P,2500.0,3.04,7600.0,927552.0,D,50237231.44652462,0.0001512822219928635
2025-11-14,2025-11-17 00:00:00,0001493152-25-023804,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAJEEB,0001135216,CEO,true,true,false,P,1714.0,2.9,4970.599999999999,925052.0,D,50237231.44652462,9.894255429443778e-05
2025-07-14,2025-07-15 00:00:00,0001641172-25-019686,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAEEM,0001115428,President,false,true,false,P,18279.0,3.85,70374.15000000001,459853.0,D,50237231.44652462,0.0014008365503761942
2025-07-14,2025-07-15 00:00:00,0001641172-25-019593,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAJEEB,0001135216,CEO,true,true,false,P,3025.0,3.71,11222.75,921338.0,D,50237231.44652462,0.00022339507327242219
2025-07-14,2025-07-15 00:00:00,0001641172-25-019593,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAJEEB,0001135216,CEO,true,true,false,P,2000.0,3.66,7320.0,923338.0,D,50237231.44652462,0.000145708666445758
2025-07-07,2025-07-07 00:00:00,0001641172-25-017984,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAJEEB,0001135216,CEO,true,true,false,P,2500.0,3.4,8500.0,910813.0,D,50237231.44652462,0.00016919722196570257
2025-07-07,2025-07-07 00:00:00,0001641172-25-017984,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAJEEB,0001135216,CEO,true,true,false,P,2500.0,3.34,8350.0,913313.0,D,50237231.44652462,0.00016621138863689606
2025-06-30,2025-06-30 00:00:00,0001641172-25-017159,NTWK,NETSOL TECHNOLOGIES INC,0001039280,NASDAQ,7372,Services-Prepackaged Software,Services,GHAURI NAJEEB,0001135216,CEO,true,true,false,P,4950.0,3.11,15394.5,908313.0,D,50237231.44652462,0.00030643607453541277
